---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.FileName = "MyC3DData\GaitNormal0001-processed-output-euler-trunk.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
1.824615384615383e+000 1.868456390357533e-001 9.603636692197545e-001 -2.953577618385451e-001 -8.248533287473238e-002 7.421657086987454e-002 -4.484310265929697e-002 -1.089315286090046e-001 1.680353040216581e-001 -1.704645626874271e-001
1.833435897435896e+000 1.972173496892310e-001 9.617782945695019e-001 -2.948147310861934e-001 -8.065660300266507e-002 7.062744227839546e-002 -4.326349080419778e-002 -1.098941826040608e-001 1.634821440179451e-001 -1.644902847319371e-001
1.842256410256409e+000 2.075325223685995e-001 9.630766045151158e-001 -2.942903141243768e-001 -7.856607974439427e-002 6.680744490925639e-002 -4.185709367527483e-002 -1.106714991937184e-001 1.585357608008152e-001 -1.585108186169354e-001
1.851076923076922e+000 2.177942377452544e-001 9.642515636310933e-001 -2.937850816288272e-001 -7.625890338378380e-002 6.276614731140784e-002 -4.060649444569156e-002 -1.113068648192273e-001 1.532587709736157e-001 -1.525432546478508e-001
1.859897435897434e+000 2.280055638807337e-001 9.652973713570892e-001 -2.933000009632609e-001 -7.377515086614553e-002 5.851212080155555e-002 -3.948587598682518e-002 -1.118515298624637e-001 1.477070376661017e-001 -1.465958376514396e-001
1.868717948717947e+000 2.381697750557001e-001 9.662094836163404e-001 -2.928360267442108e-001 -7.114641987427059e-002 5.405407749297164e-002 -3.846365147202596e-002 -1.123605722837833e-001 1.419247546562958e-001 -1.406708672873404e-001
1.877538461538460e+000 2.482903024681234e-001 9.669846304765898e-001 -2.923937470163191e-001 -6.839549589184492e-002 4.940328690734175e-002 -3.750796687304338e-002 -1.128865850161669e-001 1.359436455053605e-001 -1.347684691572696e-001
1.886358974358973e+000 2.583705802655707e-001 9.676208809740096e-001 -2.919732427382389e-001 -6.553846887443468e-002 4.457593534724880e-002 -3.659452213989392e-002 -1.134709371407792e-001 1.297857555436226e-001 -1.288896958643315e-001
1.895179487179485e+000 2.684139310231719e-001 9.681176831881156e-001 -2.915741971669047e-001 -6.258736105068789e-002 3.959419504219519e-002 -3.571228846999332e-002 -1.141372863366023e-001 1.234673981937518e-001 -1.230379309670486e-001
1.903999999999998e+000 2.784234806773416e-001 9.684758197479244e-001 -2.911961916983704e-001 -5.955290577388709e-002 3.448608289125765e-002 -3.486503700480033e-002 -1.148900821291249e-001 1.170036597234873e-001 -1.172190925238256e-001
1.912820512820511e+000 2.884021433939782e-001 9.686972590348126e-001 -2.908390775459129e-001 -5.644797480299015e-002 2.928459471789080e-002 -3.406984320691920e-002 -1.157167652242309e-001 1.104137703887363e-001 -1.114413143218004e-001
1.921641025641024e+000 2.983527388092434e-001 9.687849089356204e-001 -2.905033112592593e-001 -5.329142630159504e-002 2.402595626980553e-002 -3.335428734741133e-002 -1.165912433205003e-001 1.037266527952097e-001 -1.057139275714603e-001
1.930461538461537e+000 3.082782094684251e-001 9.687423283880143e-001 -2.901901520107535e-001 -5.011112630883841e-002 1.874664617517352e-002 -3.275322103323070e-002 -1.174773308008571e-001 9.698483376918891e-002 -1.000453965616791e-001
1.939282051282049e+000 3.181818212327887e-001 9.685734871705982e-001 -2.899016531776204e-001 -4.694480338070022e-002 1.347981989426761e-002 -3.230535693837989e-002 -1.183321116525909e-001 9.024511402051723e-002 -9.444107677486768e-002
1.948102564102562e+000 3.280672870542362e-001 9.682826138412595e-001 -2.896404689518096e-001 -4.383831000309596e-002 8.252853380290137e-003 -3.204971135093351e-002 -1.191096995085901e-001 8.357574611193505e-002 -8.890291721253009e-002
1.956923076923075e+000 3.379388437328065e-001 9.678740730983171e-001 -2.894095816715194e-001 -4.084197782713726e-002 3.087068166673701e-003 -3.202169738727075e-002 -1.197658345825390e-001 7.705113887379385e-002 -8.343197055033629e-002
1.965743589743588e+000 3.478012939201938e-001 9.673522284307874e-001 -2.892120212077396e-001 -3.800677533385256e-002 -2.001352009795676e-003 -3.224917332993621e-002 -1.202628291427502e-001 7.074615819125135e-002 -7.803147242420784e-002
1.974564102564100e+000 3.576599639353756e-001 9.667213094404387e-001 -2.890505970961767e-001 -3.538178936359031e-002 -7.000398195210034e-003 -3.274941104827627e-002 -1.205735984522642e-001 6.473202810541009e-002 -7.270874747141473e-002
1.983384615384613e+000 3.675206747589992e-001 9.659853017886930e-001 -2.889277187842428e-001 -3.301317738693971e-002 -1.190137019545712e-002 -3.352742535768347e-002 -1.206839257182247e-001 5.907436391789646e-002 -6.747600605323913e-002
1.992205128205126e+000 3.773899958246125e-001 9.651478097247886e-001 -2.888454303127267e-001 -3.094366452715201e-002 -1.669901276315522e-002 -3.457455845935372e-002 -1.205936261050998e-001 5.383228303399652e-002 -6.234925505160741e-002
2.001025641025639e+000 3.872758708936008e-001 9.642118028460953e-001 -2.888057208361876e-001 -2.921177599204989e-002 -2.139435497774977e-002 -3.586584901448801e-002 -1.203181363638723e-001 4.905733024945315e-002 -5.734376939937002e-002
2.009846153846151e+000 3.971883931945381e-001 9.631792307070128e-001 -2.888110055156709e-001 -2.785081256678468e-002 -2.600068110866083e-002 -3.735678485873323e-002 -1.198897995464927e-001 4.479197852516451e-002 -5.246538349785674e-002
2.018666666666664e+000 4.071399618858412e-001 9.620505477566527e-001 -2.888646178239585e-001 -2.688836292544222e-002 -3.054906767647991e-002 -3.897644155557416e-002 -1.193677528514981e-001 4.106866807088235e-002 -4.770608909642029e-002
2.027487179487177e+000 4.171456179777837e-001 9.608244284772897e-001 -2.889710206473407e-001 -2.634590813001245e-002 -3.509189484938236e-002 -4.063050924485333e-002 -1.188300143494755e-001 3.790930703097719e-002 -4.303429847813921e-002
2.036307692307690e+000 4.272224248506336e-001 9.594976425013513e-001 -2.891358519751882e-001 -2.623895320510152e-002 -3.969963271342647e-002 -4.220150690923353e-002 -1.183767970674602e-001 3.532581620937587e-002 -3.839932957151566e-002
2.045128205128203e+000 4.373887031816115e-001 9.580654693015573e-001 -2.893655800533599e-001 -2.657595734557135e-002 -4.445347341741912e-002 -4.355893392330132e-002 -1.181194545276747e-001 3.331974800307750e-002 -3.373698004852826e-002
2.053948717948715e+000 4.476626028031681e-001 9.565229619342238e-001 -2.896667063718855e-001 -2.735501675756032e-002 -4.943366202627408e-002 -4.457607683578702e-002 -1.181637076767226e-001 3.187934929405794e-002 -2.898122216146348e-002
2.062769230769228e+000 4.580601024813995e-001 9.548673085754200e-001 -2.900444881928844e-001 -2.855699078396088e-002 -5.470434276779379e-002 -4.515472519744655e-002 -1.185851483625371e-001 3.097231315296047e-002 -2.407972135816877e-002
2.071589743589741e+000 4.685927681897643e-001 9.531011265532114e-001 -2.905013622095938e-001 -3.013421957130760e-002 -6.029725140762943e-002 -4.525452281455258e-002 -1.194003118436818e-001 3.053332430738780e-002 -1.901038317416253e-002
2.080410256410254e+000 4.792659084571211e-001 9.512359317699471e-001 -2.910354794201956e-001 -3.199620327585179e-002 -6.619934898207469e-002 -4.491737958204565e-002 -1.205431487322789e-001 3.044809370852817e-002 -1.379449190370955e-002
2.089230769230766e+000 4.900779342208352e-001 9.492945017641212e-001 -2.916398643974472e-001 -3.399806913700343e-002 -7.235057078811669e-002 -4.427358285736671e-002 -1.218606015537014e-001 3.054031547256185e-002 -8.500838933728390e-003
2.098051282051279e+000 5.010215219770070e-001 9.473108368536726e-001 -2.923025545653725e-001 -3.594095052679840e-002 -7.865474239974013e-002 -4.352097634901962e-002 -1.231357284930977e-001 3.057147663624165e-002 -3.236431776350152e-003
2.106871794871792e+000 5.120864377655514e-001 9.453272584460907e-001 -2.930077172881496e-001 -3.758961227165744e-002 -8.500066503022752e-002 -4.288162858910802e-002 -1.241329903651339e-001 3.025953277615097e-002 1.875392671234566e-003
2.115692307692305e+000 5.232630063141337e-001 9.433895711319604e-001 -2.937374501856747e-001 -3.870224470514523e-002 -9.128525341070515e-002 -4.255274712320793e-002 -1.246477519363587e-001 2.931152588574384e-002 6.721318728304856e-003
2.124512820512817e+000 5.345448468616140e-001 9.415421373575594e-001 -2.944738774102829e-001 -3.906038051561215e-002 -9.742927119447331e-002 -4.267151010837618e-002 -1.245399297458756e-001 2.745796525799559e-002 1.121745018045968e-002
2.133333333333330e+000 5.459298843072261e-001 9.398244180759919e-001 -2.952011699371216e-001 -3.848973866171292e-002 -1.033803911804543e-001 -4.330498586167273e-002 -1.237415683298741e-001 2.447951670809476e-002 1.531504564920018e-002
2.142153846153843e+000 5.574194784669805e-001 9.382695000206761e-001 -2.959071355760898e-001 -3.687025313135242e-002 -1.091052723323394e-001 -4.446270916366058e-002 -1.222422841421065e-001 2.022343141295414e-002 1.899368062672844e-002
2.150974358974356e+000 5.690162735559181e-001 9.369042351669955e-001 -2.965841200218580e-001 -3.413833562812600e-002 -1.145771760926966e-001 -4.611979679115869e-002 -1.200657233652735e-001 1.461121276798991e-002 2.224812117622788e-002
2.159794871794869e+000 5.807216915577284e-001 9.357502504757332e-001 -2.972291643458296e-001 -3.028490719841551e-002 -1.197660527825630e-001 -4.823728836575884e-002 -1.172505003127951e-001 7.639396469042010e-003 2.507614295243440e-002
2.168615384615381e+000 5.925338584753230e-001 9.348251275887275e-001 -2.978435580891960e-001 -2.535156975799998e-002 -1.246351281189273e-001 -5.077199287065247e-002 -1.138427586977891e-001 -6.250425988015495e-004 2.747254302471006e-002
