---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.FileName = "RASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
 3.704303821656055e+000  -4.280289778119947e-001  -4.472711163506613e-001   9.574961277978880e-001
 3.716989171974527e+000  -4.142064158081663e-001  -4.460139429334207e-001   9.593567366732381e-001
 3.729674522292998e+000  -4.004758197679253e-001  -4.447640824583674e-001   9.609694638241673e-001
 3.742359872611469e+000  -3.867723882027342e-001  -4.435598413746867e-001   9.623254271299790e-001
 3.755045222929941e+000  -3.730435746007205e-001  -4.424379348061359e-001   9.634096454057776e-001
 3.767730573248412e+000  -3.592517577894115e-001  -4.414265743196355e-001   9.641962716796436e-001
 3.780415923566884e+000  -3.453712177563670e-001  -4.405419415706185e-001   9.646505770004114e-001
 3.793101273885355e+000  -3.313812083285220e-001  -4.397889842306331e-001   9.647381466173227e-001
 3.805786624203826e+000  -3.172612782768231e-001  -4.391619439178829e-001   9.644326053743231e-001
 3.818471974522298e+000  -3.029905792918319e-001  -4.386455321024886e-001   9.637189568980890e-001
 3.831157324840769e+000  -2.885489606627361e-001  -4.382195299047603e-001   9.625966922621539e-001
 3.843842675159241e+000  -2.739176912622860e-001  -4.378655392831468e-001   9.610835339205133e-001
 3.856528025477712e+000  -2.590788003875136e-001  -4.375715576773153e-001   9.592174958743971e-001
 3.869213375796183e+000  -2.440144410639837e-001  -4.373328077416414e-001   9.570550871197836e-001
 3.881898726114655e+000  -2.287088470814637e-001  -4.371515810037734e-001   9.546639746278957e-001
 3.894584076433126e+000  -2.131516207704587e-001  -4.370375505736444e-001   9.521146381751030e-001
 3.907269426751598e+000  -1.973392225107880e-001  -4.370087966008014e-001   9.494766967418261e-001
 3.919954777070069e+000  -1.812746833166218e-001  -4.370907341612510e-001   9.468196340831381e-001
 3.932640127388540e+000  -1.649650353885357e-001  -4.373116814710972e-001   9.442143390182233e-001
 3.945325477707012e+000  -1.484152575467058e-001  -4.376974528972823e-001   9.417324443166761e-001
 3.958010828025483e+000  -1.316246494528716e-001  -4.382665028267226e-001   9.394418084958117e-001
 3.970696178343955e+000  -1.145908704236834e-001  -4.390262770201997e-001   9.374019840042704e-001
 3.983381528662426e+000  -9.731636659082531e-002  -4.399718605770076e-001   9.356639722456640e-001
 3.996066878980897e+000  -7.981336213908631e-002  -4.410871984378116e-001   9.342755872869264e-001
 4.008752229299368e+000  -6.210766892676767e-002  -4.423486522207253e-001   9.332903500370022e-001
 4.021437579617840e+000  -4.424143583175628e-002  -4.437314717062944e-001   9.327704831197695e-001
 4.034122929936311e+000  -2.627296196769685e-002  -4.452158456699039e-001   9.327786994708098e-001
 4.046808280254783e+000  -8.269111169324075e-003  -4.467876600364474e-001   9.333642932738784e-001
 4.059493630573254e+000   9.705421196573926e-003  -4.484337440486328e-001   9.345480638332827e-001
 4.072178980891725e+000   2.759238478455570e-002  -4.501360912097468e-001   9.363072616830582e-001
 4.084864331210197e+000   4.533677806462060e-002  -4.518701360924380e-001   9.385673953797797e-001
 4.097549681528668e+000   6.288364748666450e-002  -4.536069033754020e-001   9.412089004582113e-001
 4.110235031847140e+000   8.018048516648788e-002  -4.553163809581329e-001   9.440870942936793e-001
 4.122920382165611e+000   9.718199444514294e-002  -4.569719267130001e-001   9.470585337374098e-001
 4.135605732484082e+000   1.138524646355816e-001  -4.585552861013852e-001   9.500047406013076e-001
 4.148291082802554e+000   1.301655952955629e-001  -4.600600251905301e-001   9.528470648121659e-001
 4.160976433121025e+000   1.461030135688692e-001  -4.614913118734744e-001   9.555497291444094e-001
 4.173661783439497e+000   1.616540175411082e-001  -4.628621761312221e-001   9.581137636884677e-001
 4.186347133757968e+000   1.768151792260076e-001  -4.641890220427311e-001   9.605631860124371e-001
 4.199032484076439e+000   1.915890302279129e-001  -4.654882705037802e-001   9.629282017758335e-001
 4.211717834394911e+000   2.059832066549701e-001  -4.667745794055298e-001   9.652311256189632e-001
 4.224403184713382e+000   2.200095189197602e-001  -4.680599921277291e-001   9.674762941580506e-001
 4.237088535031854e+000   2.336821192739317e-001  -4.693518884641967e-001   9.696444503098156e-001
 4.249773885350325e+000   2.470188341489654e-001  -4.706515938285807e-001   9.716945480008691e-001
 4.262459235668796e+000   2.600531864352266e-001  -4.719553800120614e-001   9.735782424498254e-001
 4.275144585987268e+000   2.728547172593547e-001  -4.732569753597570e-001   9.752650560324503e-001
 4.287829936305739e+000   2.855288157426698e-001  -4.745487267398323e-001   9.767551729661934e-001
 4.300515286624211e+000   2.981771768931968e-001  -4.758165571163892e-001   9.780587274347370e-001
 4.313200636942682e+000   3.108610569083846e-001  -4.770347815056933e-001   9.791698430654278e-001
 4.325885987261153e+000   3.236032781055739e-001  -4.781694662603622e-001   9.800672199629754e-001
 4.338571337579625e+000   3.364081249222887e-001  -4.791876602660273e-001   9.807282779201293e-001
 4.351256687898096e+000   3.492763897168367e-001  -4.800646513661936e-001   9.811386001084831e-001
 4.363942038216568e+000   3.622117318958169e-001  -4.807857344747242e-001   9.812935388045747e-001
 4.376627388535039e+000   3.752186579597093e-001  -4.813461755668303e-001   9.811945258522782e-001
 4.389312738853510e+000   3.882971242855457e-001  -4.817527726977028e-001   9.808441116839499e-001
 4.401998089171982e+000   4.014401061841739e-001  -4.820222807582867e-001   9.802433969920301e-001
 4.414683439490453e+000   4.146351804684937e-001  -4.821747451943091e-001   9.793924122358976e-001
