---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 4.617649044585996e+000   5.040649572040984e-001  -5.189593003726531e-001   7.144716024890246e-001
 4.630334394904467e+000   5.208377710277704e-001  -5.172149319298715e-001   7.131189012162134e-001
 4.643019745222938e+000   5.384150217820410e-001  -5.153636761029706e-001   7.116997128759690e-001
 4.655705095541410e+000   5.568082818638298e-001  -5.134694929868644e-001   7.102642640465169e-001
 4.668390445859881e+000   5.760342598164139e-001  -5.116205571745847e-001   7.088925003390694e-001
 4.681075796178353e+000   5.961235757916901e-001  -5.099251191928771e-001   7.077008281636569e-001
 4.693761146496824e+000   6.171257661021349e-001  -5.085043618828802e-001   7.068487662801493e-001
 4.706446496815295e+000   6.391083799593947e-001  -5.074823986868244e-001   7.065391711575579e-001
 4.719131847133767e+000   6.621496403237673e-001  -5.069778795658686e-001   7.070048866802152e-001
 4.731817197452238e+000   6.863222869844963e-001  -5.070933350080886e-001   7.084711455178485e-001
 4.744502547770710e+000   7.116594222968312e-001  -5.078904277970446e-001   7.110956907362774e-001
 4.757187898089181e+000   7.380776573130828e-001  -5.093485594556205e-001   7.149092452491412e-001
 4.769873248407652e+000   7.652608864170184e-001  -5.113159692827047e-001   7.197410516620763e-001
 4.782558598726124e+000   7.925166957910925e-001  -5.134490817382813e-001   7.251087487094619e-001
 4.795243949044595e+000   8.186102748934006e-001  -5.151403048684555e-001   7.301120159810722e-001
 4.807929299363067e+000   8.415851059229165e-001  -5.154406078294777e-001   7.333329481972325e-001
 4.820614649681538e+000   8.586396298425636e-001  -5.129998500183575e-001   7.327614557212734e-001
 4.833300000000009e+000   8.661074167319151e-001  -5.060441553624941e-001   7.257510030131802e-001
