---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.FileName = "LHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
 4.046808280254783e+000  -5.046641290101428e-001  -2.456435282264506e-001   1.160702863977687e-001
 4.059493630573254e+000  -4.971519856172675e-001  -2.427710416543416e-001   1.264911001334886e-001
 4.072178980891725e+000  -4.879084649203883e-001  -2.398138797313962e-001   1.379457961317610e-001
 4.084864331210197e+000  -4.767402779534147e-001  -2.368135174470654e-001   1.503497139971368e-001
 4.097549681528668e+000  -4.635171431260722e-001  -2.338196513321638e-001   1.635505995432271e-001
 4.110235031847140e+000  -4.481837388954950e-001  -2.309176403254738e-001   1.773204380103258e-001
 4.122920382165611e+000  -4.307553549542918e-001  -2.282497184036774e-001   1.913522248782577e-001
 4.135605732484082e+000  -4.113001902021906e-001  -2.260122362481166e-001   2.052706454156782e-001
 4.148291082802554e+000  -3.899253239155702e-001  -2.244264501353331e-001   2.186549553661168e-001
 4.160976433121025e+000  -3.667735648442621e-001  -2.236993344678754e-001   2.310618011271702e-001
 4.173661783439497e+000  -3.420104885516585e-001  -2.239824557158079e-001   2.420520525848914e-001
 4.186347133757968e+000  -3.157937833540825e-001  -2.253332613324040e-001   2.512254780929116e-001
 4.199032484076439e+000  -2.882443628117642e-001  -2.277001215545771e-001   2.582524864175746e-001
 4.211717834394911e+000  -2.594394114365881e-001  -2.309440796822651e-001   2.628903107573810e-001
 4.224403184713382e+000  -2.294245846843096e-001  -2.348753089139296e-001   2.649841596955693e-001
 4.237088535031854e+000  -1.982270031553775e-001  -2.392887602149878e-001   2.644588062975694e-001
 4.249773885350325e+000  -1.658564994170585e-001  -2.439930849831192e-001   2.613107185950825e-001
 4.262459235668796e+000  -1.323012254376665e-001  -2.488273436773288e-001   2.556026866239066e-001
 4.275144585987268e+000  -9.752640903901465e-002  -2.536667520769289e-001   2.474624557819321e-001
