---- AnyBody Output File ---------------------------------
Study: Main.OptStudy
Operation: Main.OptStudy.InverseDynamicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.OptStudy.MuscleOutputs.FileName = "MuscleActivityOutputs.txt"
Main.OptStudy.MuscleOutputs.Search = "Main.HumanModel.BodyModel.*.Leg.Mus.*.Activity"
Main.OptStudy.MuscleOutputs.SepSign = ","
Main.OptStudy.MuscleOutputs.LineSepSign = ""
Main.OptStudy.MuscleOutputs.Header.TitleSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ConstSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.VarSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ColumnNamesOnOff = On
Main.OptStudy.MuscleOutputs.Header.LinePrefix = ""
Main.OptStudy.MuscleOutputs.NumberFormat.Digits = 15
Main.OptStudy.MuscleOutputs.OutName = "MuscleActivityOutputs.txt"
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.OptStudy.t
col127  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusMid6.Activity
col128  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusProximal1.Activity
col129  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusProximal2.Activity
col130  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusProximal3.Activity
col131  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorMagnusProximal4.Activity
col132  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisProximal1.Activity
col133  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisProximal2.Activity
col134  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisMid3.Activity
col135  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisMid4.Activity
col136  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisDistal5.Activity
col137  Main.HumanModel.BodyModel.Right.Leg.Mus.AdductorBrevisDistal6.Activity
col138  Main.HumanModel.BodyModel.Right.Leg.Mus.GemellusInferior1.Activity
col139  Main.HumanModel.BodyModel.Right.Leg.Mus.GemellusSuperior1.Activity
col140  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorExternusSuperior1.Activity
col141  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorExternusSuperior2.Activity
col142  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorExternusSuperior3.Activity
col143  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorExternusInferior1.Activity
col144  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorExternusInferior2.Activity
col145  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorInternus1.Activity
col146  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorInternus2.Activity
col147  Main.HumanModel.BodyModel.Right.Leg.Mus.ObturatorInternus3.Activity
col148  Main.HumanModel.BodyModel.Right.Leg.Mus.Pectineus1.Activity
col149  Main.HumanModel.BodyModel.Right.Leg.Mus.Pectineus2.Activity
col150  Main.HumanModel.BodyModel.Right.Leg.Mus.Pectineus3.Activity
col151  Main.HumanModel.BodyModel.Right.Leg.Mus.Pectineus4.Activity
col152  Main.HumanModel.BodyModel.Right.Leg.Mus.Plantaris1.Activity
col153  Main.HumanModel.BodyModel.Right.Leg.Mus.Poplitues1.Activity
col154  Main.HumanModel.BodyModel.Right.Leg.Mus.Poplitues2.Activity
col155  Main.HumanModel.BodyModel.Right.Leg.Mus.QuadratusFemoris1.Activity
col156  Main.HumanModel.BodyModel.Right.Leg.Mus.QuadratusFemoris2.Activity
col157  Main.HumanModel.BodyModel.Right.Leg.Mus.QuadratusFemoris3.Activity
col158  Main.HumanModel.BodyModel.Right.Leg.Mus.QuadratusFemoris4.Activity
col159  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusMedialis1.Activity
col160  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusMedialis2.Activity
col161  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusMedialis3.Activity
col162  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusLateralis4.Activity
col163  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusLateralis5.Activity
col164  Main.HumanModel.BodyModel.Left.Leg.Mus.SoleusLateralis6.Activity
col165  Main.HumanModel.BodyModel.Left.Leg.Mus.GastrocnemiusLateralis1.Activity
col166  Main.HumanModel.BodyModel.Left.Leg.Mus.GastrocnemiusMedialis1.Activity
col167  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorDigitorumLongus1.Activity
col168  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorDigitorumLongus2.Activity
col169  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorDigitorumLongus3.Activity
col170  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorHallucisLongus1.Activity
col171  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorHallucisLongus2.Activity
col172  Main.HumanModel.BodyModel.Left.Leg.Mus.FlexorHallucisLongus3.Activity
col173  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorLateralis1.Activity
col174  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorLateralis2.Activity
col175  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorLateralis3.Activity
col176  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorMedialis1.Activity
col177  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorMedialis2.Activity
col178  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisPosteriorMedialis3.Activity
col179  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisAnterior1.Activity
col180  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisAnterior2.Activity
col181  Main.HumanModel.BodyModel.Left.Leg.Mus.TibialisAnterior3.Activity
col182  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusBrevis1.Activity
col183  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusBrevis2.Activity
