Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.927000000000000e+001, 5.002064208302189e-001, 8.076415091148079e-001, 9.321038152304294e-001, 1.570115885246358e+000, 4.943414001848421e-001,-1.098937487004237e+000,-3.704958121312897e-001, 3.983596496798703e-002, 3.628780327623073e-002, 5.551115123125783e-017, 1.387778780781446e-017, 0.000000000000000e+000
 1.928000000000000e+001, 5.002889028165918e-001, 8.075211536860244e-001, 9.333886253156789e-001, 1.569856936270119e+000, 4.927202892045757e-001,-1.098531605768733e+000,-3.706331371443439e-001, 4.037689648211304e-002, 3.569092172064666e-002, 1.110223024625157e-016, 6.938893903907230e-017, 0.000000000000000e+000
 1.929000000000000e+001, 5.003694604252017e-001, 8.074131952392917e-001, 9.346962430984688e-001, 1.569661004492366e+000, 4.910881770773199e-001,-1.098053804721052e+000,-3.707069794720509e-001, 4.093018967642007e-002, 3.497694562319784e-002, 1.110223024625156e-016, 2.775557561562891e-017, 2.220446049250313e-016
 1.930000000000000e+001, 5.004457447932920e-001, 8.073172457320300e-001, 9.360268518278212e-001, 1.569508210730528e+000, 4.894602178680558e-001,-1.097519049295568e+000,-3.706897497234871e-001, 4.150689604886779e-002, 3.419196440072185e-002, 0.000000000000000e+000,-2.775557561562890e-017, 1.110223024625156e-016
 1.931000000000000e+001, 5.005140302990273e-001, 8.072320285432801e-001, 9.373811071893333e-001, 1.569361616503397e+000, 4.878523081050852e-001,-1.096950858178658e+000,-3.705536298673211e-001, 4.212362641112232e-002, 3.340194979904664e-002, 5.551115123125783e-017,-1.249000902703301e-016,-2.220446049250313e-016
 1.932000000000000e+001, 5.005697696971192e-001, 8.071556050885197e-001, 9.387598677442328e-001, 1.569174462871428e+000, 4.862797526990055e-001,-1.096376133679791e+000,-3.702740744080380e-001, 4.279758715908933e-002, 3.267700566593987e-002, 1.665334536937735e-016,-4.163336342344338e-017, 2.220446049250314e-016
 1.933000000000000e+001, 5.006083287173465e-001, 8.070857385353570e-001, 9.401640356196951e-001, 1.568895207674275e+000, 4.847551442620710e-001,-1.095821980769111e+000,-3.698350006647059e-001, 4.354618586151166e-002, 3.207247781535691e-002, 2.775557561562890e-016,-1.665334536937734e-016, 2.220446049250312e-016
 1.934000000000000e+001, 5.006255838248261e-001, 8.070202735215246e-001, 9.415943839855121e-001, 1.568471901354070e+000, 4.832862779770246e-001,-1.095313114789980e+000,-3.692307180678169e-001, 4.438818197152224e-002, 3.162043705428338e-002, 1.665334536937735e-016,-1.942890293094024e-016, 1.110223024625157e-016
 1.935000000000000e+001, 5.006184206928416e-001, 8.069574981431656e-001, 9.430513790005289e-001, 1.567859548988804e+000, 4.818744054646449e-001,-1.094868082838689e+000,-3.684644293315252e-001, 4.534105609281573e-002, 3.133293344443310e-002,-1.665334536937735e-016, 8.326672684688673e-017,-1.110223024625156e-016
 1.936000000000000e+001, 5.005854812927839e-001, 8.068963672403470e-001, 9.445353364080981e-001, 1.567028928860690e+000, 4.805130045332238e-001,-1.094496179603386e+000,-3.675471156295846e-001, 4.641504716034034e-002, 3.120786743551636e-002,-5.551115123125782e-017, 4.163336342344336e-017, 1.110223024625156e-016
 1.937000000000000e+001, 5.005282776997838e-001, 8.068365467151265e-001, 9.460470844845699e-001, 1.565975784977330e+000, 4.791865944308387e-001,-1.094195916203057e+000,-3.664990695286188e-001, 4.760558442580038e-002, 3.123025128794973e-002, 0.000000000000000e+000, 1.249000902703301e-016, 1.110223024625156e-016
 1.938000000000000e+001, 5.004522625586793e-001, 8.067783256810067e-001, 9.475889904569358e-001, 1.564730042511401e+000, 4.778679486401183e-001,-1.093953724451803e+000,-3.653548527206039e-001, 4.888523512210940e-002, 3.136953739964105e-002, 1.110223024625156e-016, 1.387778780781445e-016, 3.330669073875469e-016
 1.939000000000000e+001, 5.003669880144256e-001, 8.067223825724001e-001, 9.491656223716559e-001, 1.563358518424986e+000, 4.765166131777843e-001,-1.093744328368170e+000,-3.641663171183437e-001, 5.020041758208176e-002, 3.158113360959337e-002,-1.110223024625156e-016,-6.938893903907227e-017,-2.220446049250313e-016
 1.940000000000000e+001, 5.002844216638057e-001, 8.066694092364621e-001, 9.507830240170723e-001, 1.561950654019334e+000, 4.750852911612786e-001,-1.093536939204611e+000,-3.629943186510897e-001, 5.148128763451952e-002, 3.181636380908234e-002,-1.665334536937735e-016, 9.714451465470117e-017,-2.220446049250313e-016
 1.941000000000000e+001, 5.002159697073996e-001, 8.066197497500696e-001, 9.524468553427903e-001, 1.560590938398788e+000, 4.735322462348339e-001,-1.093306214088780e+000,-3.618916968920338e-001, 5.266219063330224e-002, 3.203392304697499e-002,-2.220446049250313e-016, 6.938893903907227e-017,-2.220446049250313e-016
