Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 6.390000000000000e+000,-2.103981348873527e-001,-3.371678941082053e-001,-3.490610069489490e-001
 6.400000000000000e+000,-2.104790173455824e-001,-3.371637708170212e-001,-3.490609871947493e-001
 6.410000000000000e+000,-2.106528739501381e-001,-3.371579470922557e-001,-3.490609689891788e-001
 6.420000000000000e+000,-2.109165875394055e-001,-3.371360080391723e-001,-3.490609662587468e-001
 6.430000000000000e+000,-2.112153384974644e-001,-3.370701849656019e-001,-3.490609487093532e-001
 6.440000000000000e+000,-2.115325642737063e-001,-3.369533825326911e-001,-3.490609296957482e-001
 6.450000000000000e+000,-2.118393625129246e-001,-3.367794325063716e-001,-3.490609081592512e-001
 6.460000000000000e+000,-2.121150072194533e-001,-3.365492633776488e-001,-3.490608833394703e-001
 6.470000000000000e+000,-2.123475787712124e-001,-3.362714926578627e-001,-3.490608549126704e-001
 6.480000000000000e+000,-2.125313875101416e-001,-3.359605729777588e-001,-3.490608230056708e-001
 6.490000000000000e+000,-2.126669446270732e-001,-3.356329605308708e-001,-3.490607881889214e-001
 6.500000000000000e+000,-2.127612286529754e-001,-3.353037142683450e-001,-3.490607514179135e-001
 6.510000000000000e+000,-2.128259413938514e-001,-3.349841558291018e-001,-3.490607138001349e-001
 6.520000000000000e+000,-2.128751595174206e-001,-3.346801300325917e-001,-3.490606762562041e-001
 6.529999999999999e+000,-2.129218928442278e-001,-3.343925040325633e-001,-3.490606392829863e-001
 6.540000000000000e+000,-2.129744012504486e-001,-3.341207790951795e-001,-3.490606029229517e-001
 6.550000000000000e+000,-2.130351799837259e-001,-3.338662161483530e-001,-3.490605669042580e-001
 6.560000000000000e+000,-2.131026938700816e-001,-3.336316900242009e-001,-3.490605308868694e-001
 6.570000000000000e+000,-2.131734146230443e-001,-3.334204176229281e-001,-3.490604947118782e-001
 6.580000000000000e+000,-2.132422367909791e-001,-3.332348221342687e-001,-3.490604584816250e-001
 6.590000000000000e+000,-2.133017935140724e-001,-3.330751744392364e-001,-3.490604224577253e-001
 6.600000000000000e+000,-2.133425804314951e-001,-3.329394332602456e-001,-3.490603869694843e-001
 6.609999999999999e+000,-2.133543874240304e-001,-3.328240613015880e-001,-3.490603523810804e-001
 6.620000000000000e+000,-2.133283030868322e-001,-3.327242518128990e-001,-3.490603190270317e-001
 6.630000000000000e+000,-2.132586466420009e-001,-3.326337456347013e-001,-3.490602871602030e-001
 6.640000000000000e+000,-2.131445916084654e-001,-3.325443809919972e-001,-3.490602570032529e-001
 6.650000000000000e+000,-2.129919161005875e-001,-3.324457321540209e-001,-3.490602288818771e-001
 6.660000000000000e+000,-2.128141587412109e-001,-3.323259056044354e-001,-3.490602032933313e-001
 6.670000000000000e+000,-2.126309781198949e-001,-3.321731699988733e-001,-3.490601807813132e-001
 6.680000000000000e+000,-2.124643852959549e-001,-3.319773076145443e-001,-3.490601617359897e-001
 6.690000000000000e+000,-2.123359425466316e-001,-3.317309412929912e-001,-3.490601462827385e-001
 6.699999999999999e+000,-2.122655644936338e-001,-3.314318031623449e-001,-3.490601341961397e-001
 6.710000000000000e+000,-2.122707012446481e-001,-3.310847984653713e-001,-3.490601248351622e-001
 6.720000000000000e+000,-2.123656593062109e-001,-3.307017020971377e-001,-3.490601172801066e-001
 6.730000000000000e+000,-2.125610933732099e-001,-3.302989137004415e-001,-3.490601106048079e-001
 6.740000000000000e+000,-2.128632026405126e-001,-3.298945454659708e-001,-3.490601039837548e-001
 6.750000000000000e+000,-2.132733716067257e-001,-3.295056374789567e-001,-3.490600966454514e-001
 6.760000000000000e+000,-2.137893253383637e-001,-3.291469148728319e-001,-3.490600878834586e-001
 6.770000000000000e+000,-2.144068291413996e-001,-3.288303848964678e-001,-3.490600771042043e-001
 6.779999999999999e+000,-2.151207219181775e-001,-3.285639970321905e-001,-3.490600638467490e-001
 6.790000000000000e+000,-2.159257360662673e-001,-3.283506829356073e-001,-3.490600478709306e-001
 6.800000000000000e+000,-2.168176165734340e-001,-3.281888596649170e-001,-3.490600293242679e-001
 6.810000000000000e+000,-2.177935706762742e-001,-3.280728449726729e-001,-3.490600088068118e-001
 6.820000000000000e+000,-2.188501270761720e-001,-3.279936949676054e-001,-3.490599872845342e-001
 6.830000000000000e+000,-2.199778580845921e-001,-3.279424572696617e-001,-3.490599660411072e-001
 6.840000000000000e+000,-2.211556922945456e-001,-3.279142969148818e-001,-3.490599467504292e-001
 6.850000000000000e+000,-2.223476838859682e-001,-3.279109252363728e-001,-3.490599315560057e-001
 6.859999999999999e+000,-2.235015721544622e-001,-3.279419824138168e-001,-3.490599231103356e-001
 6.870000000000000e+000,-2.245474117019245e-001,-3.280268470306458e-001,-3.490599246168804e-001
 6.880000000000000e+000,-2.254003980725235e-001,-3.281956749439066e-001,-3.490599398057828e-001
 6.890000000000000e+000,-2.259760493557667e-001,-3.284864531254694e-001,-3.490599726727991e-001
 6.900000000000000e+000,-2.262129869183973e-001,-3.289371939277046e-001,-3.490600269443651e-001
 6.910000000000000e+000,-2.260872777932034e-001,-3.295763837277117e-001,-3.490601053768873e-001
 6.920000000000000e+000,-2.256150007871050e-001,-3.304132545699638e-001,-3.490602088984376e-001
 6.930000000000000e+000,-2.248520290712618e-001,-3.314266002953827e-001,-3.490603355320208e-001
 6.940000000000000e+000,-2.238939561806723e-001,-3.325558779872349e-001,-3.490604792927005e-001
 6.950000000000000e+000,-2.228675178316122e-001,-3.337064821294069e-001,-3.490606300877107e-001
 6.960000000000000e+000,-2.219040455692270e-001,-3.347754577721958e-001,-3.490607759700021e-001
 6.970000000000000e+000,-2.211048403395283e-001,-3.356825694269157e-001,-3.490609068141494e-001
 6.980000000000000e+000,-2.205218561782054e-001,-3.363854840260374e-001,-3.490610165074976e-001
 6.990000000000000e+000,-2.201606229392021e-001,-3.368768122853612e-001,-3.490611027542367e-001
 7.000000000000000e+000,-2.199952020315451e-001,-3.371733152909116e-001,-3.490611659160103e-001
 7.010000000000000e+000,-2.199851463235513e-001,-3.373046498643022e-001,-3.490612079367762e-001
 7.020000000000000e+000,-2.200869863541650e-001,-3.373050723483413e-001,-3.490612315479696e-001
 7.029999999999999e+000,-2.202581467427248e-001,-3.372090331646405e-001,-3.490612397781728e-001
 7.040000000000000e+000,-2.204585351234430e-001,-3.370490388840199e-001,-3.490612356671680e-001
 7.050000000000000e+000,-2.206532198280209e-001,-3.368535674632249e-001,-3.490612220193587e-001
 7.060000000000000e+000,-2.208148070625879e-001,-3.366449753244616e-001,-3.490612012180982e-001
 7.070000000000000e+000,-2.209246967590574e-001,-3.364388139179302e-001,-3.490611752121692e-001
 7.080000000000000e+000,-2.209729182409601e-001,-3.362444651552032e-001,-3.490611456104802e-001
 7.090000000000000e+000,-2.209567318886423e-001,-3.360656785800626e-001,-3.490611137414241e-001
 7.100000000000000e+000,-2.208801070702084e-001,-3.359007531618121e-001,-3.490610806620700e-001
 7.109999999999999e+000,-2.207534478665935e-001,-3.357435619175000e-001,-3.490610471985657e-001
 7.119999999999999e+000,-2.205915182258064e-001,-3.355862398154781e-001,-3.490610140669511e-001
 7.130000000000000e+000,-2.204116164648649e-001,-3.354229810273044e-001,-3.490609820367841e-001
 7.140000000000000e+000,-2.202320393011539e-001,-3.352529376336619e-001,-3.490609520168715e-001
 7.150000000000000e+000,-2.200679443207670e-001,-3.350799162711229e-001,-3.490609249648983e-001
 7.160000000000000e+000,-2.199276849209339e-001,-3.349094212575430e-001,-3.490609016930878e-001
 7.170000000000000e+000,-2.198141137905013e-001,-3.347460527184578e-001,-3.490608827121249e-001
 7.180000000000000e+000,-2.197279578485523e-001,-3.345925325128363e-001,-3.490608681613938e-001
 7.190000000000000e+000,-2.196685959074937e-001,-3.344495634558991e-001,-3.490608578427513e-001
 7.199999999999999e+000,-2.196361767365355e-001,-3.343155176980353e-001,-3.490608465348088e-001
 7.210000000000000e+000,-2.196171749981191e-001,-3.341879072505041e-001,-3.490608437061016e-001
 7.220000000000000e+000,-2.196064485999807e-001,-3.340623897579973e-001,-3.490608435117580e-001
 7.230000000000000e+000,-2.195974693032055e-001,-3.339366200264498e-001,-3.490608453546509e-001
 7.239999999999999e+000,-2.195884419139318e-001,-3.338114784411472e-001,-3.490608485717537e-001
 7.250000000000000e+000,-2.195815817124946e-001,-3.336906851773329e-001,-3.490608524519446e-001
 7.260000000000000e+000,-2.195802264329789e-001,-3.335794766654681e-001,-3.490608563435748e-001
 7.270000000000000e+000,-2.195876781174104e-001,-3.334830732628453e-001,-3.490608597772414e-001
 7.279999999999999e+000,-2.196076463077296e-001,-3.334046378358317e-001,-3.490608624695996e-001
 7.290000000000000e+000,-2.196441230315467e-001,-3.333438639955335e-001,-3.490608642513637e-001
 7.300000000000000e+000,-2.197007362476288e-001,-3.332975993580853e-001,-3.490608650413721e-001
 7.310000000000000e+000,-2.197799593302262e-001,-3.332620769191514e-001,-3.490608648682144e-001
 7.319999999999999e+000,-2.198817563068776e-001,-3.332352174153690e-001,-3.490608638806864e-001
 7.330000000000000e+000,-2.200027055515161e-001,-3.332173915961672e-001,-3.490608623329363e-001
 7.340000000000000e+000,-2.201369609884640e-001,-3.332103751292486e-001,-3.490608605585295e-001
 7.350000000000000e+000,-2.202778848361339e-001,-3.332159600186382e-001,-3.490608589350459e-001
 7.359999999999999e+000,-2.204188393540698e-001,-3.332350526208188e-001,-3.490608578299084e-001
 7.369999999999999e+000,-2.205539072399015e-001,-3.332669503201977e-001,-3.490608575447384e-001
 7.380000000000000e+000,-2.206790042155003e-001,-3.333089656046848e-001,-3.490608582762355e-001
 7.390000000000000e+000,-2.207920250565832e-001,-3.333563717954995e-001,-3.490608600652398e-001
 7.400000000000000e+000,-2.208917186312334e-001,-3.334024154686317e-001,-3.490608627499588e-001
 7.410000000000000e+000,-2.209763859178041e-001,-3.334396518455360e-001,-3.490608660298671e-001
 7.420000000000000e+000,-2.210429597762476e-001,-3.334632486799338e-001,-3.490608696617255e-001
 7.430000000000000e+000,-2.210871984124571e-001,-3.334737399504977e-001,-3.490608736367807e-001
 7.440000000000000e+000,-2.211054191741878e-001,-3.334767571195432e-001,-3.490608782172219e-001
 7.449999999999999e+000,-2.210964209660004e-001,-3.334805435050279e-001,-3.490608838633053e-001
 7.460000000000000e+000,-2.210627496158937e-001,-3.334934558890343e-001,-3.490608911109482e-001
 7.470000000000000e+000,-2.210118144335108e-001,-3.335221281123482e-001,-3.490609004446909e-001
 7.480000000000000e+000,-2.209556039799298e-001,-3.335700632822927e-001,-3.490609122344339e-001
 7.490000000000000e+000,-2.209076088691186e-001,-3.336377678076312e-001,-3.490609267628927e-001
