Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 6.500000000000000e+000,-3.477661564884739e-001, 3.288592768350775e-001,-3.483675699717317e-001
 6.510000000000000e+000,-3.476863350659254e-001, 3.290042305547898e-001,-3.483596472451078e-001
 6.520000000000000e+000,-3.476117655636723e-001, 3.291521377279896e-001,-3.483516077343817e-001
 6.529999999999999e+000,-3.475431676845852e-001, 3.293031873949448e-001,-3.483434460488433e-001
 6.540000000000000e+000,-3.474812996061253e-001, 3.294572148291814e-001,-3.483351750830784e-001
 6.550000000000000e+000,-3.474270130616818e-001, 3.296137058779398e-001,-3.483268261025874e-001
 6.560000000000000e+000,-3.473812515428862e-001, 3.297718826673106e-001,-3.483184443164320e-001
 6.570000000000000e+000,-3.473450045208369e-001, 3.299307810061527e-001,-3.483100846229120e-001
 6.580000000000000e+000,-3.473192649519161e-001, 3.300892672315379e-001,-3.483018104912146e-001
 6.590000000000000e+000,-3.473049976547059e-001, 3.302460544662962e-001,-3.482936929500651e-001
 6.600000000000000e+000,-3.473031106841216e-001, 3.303997612080571e-001,-3.482858074287643e-001
 6.609999999999999e+000,-3.473144073197933e-001, 3.305489837989033e-001,-3.482782297778058e-001
 6.620000000000000e+000,-3.473395520876386e-001, 3.306923618744420e-001,-3.482710327549862e-001
 6.630000000000000e+000,-3.473791247541455e-001, 3.308286427956386e-001,-3.482642830948894e-001
 6.640000000000000e+000,-3.474337020374417e-001, 3.309567393001280e-001,-3.482580390739195e-001
 6.650000000000000e+000,-3.475038516313724e-001, 3.310757761812475e-001,-3.482523481197332e-001
 6.660000000000000e+000,-3.475900493290788e-001, 3.311851173469780e-001,-3.482472449784969e-001
