Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 2.600000000000000e-001,-3.157582586733321e-001, 1.964425832495094e-001,-3.490657088861791e-001, 6.063536811187312e-001,-3.493448202487519e-001, 2.874034431615183e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 2.700000000000000e-001,-3.159230669678957e-001, 1.963759228560678e-001,-3.490657055039192e-001, 6.063408850450779e-001,-3.493438082078280e-001, 2.873852035895412e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 2.800000000000000e-001,-3.161025560076026e-001, 1.963227589210339e-001,-3.490657026823665e-001, 6.063228057681790e-001,-3.493456960130317e-001, 2.873762319178704e-001, 5.235987755982987e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.900000000000000e-001,-3.162905231487235e-001, 1.962832916296462e-001,-3.490657006846392e-001, 6.063004178057494e-001,-3.493501656538083e-001, 2.873759198429166e-001, 5.235987755982992e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 3.000000000000000e-001,-3.164797665763947e-001, 1.962583405927689e-001,-3.490656997964959e-001, 6.062747268392671e-001,-3.493569387405933e-001, 2.873838914618899e-001, 5.235987755982983e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 3.100000000000000e-001,-3.166651600802770e-001, 1.962492438422658e-001,-3.490657002665440e-001, 6.062462872542593e-001,-3.493659334820032e-001, 2.874003033943205e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.200000000000000e-001,-3.168447415512784e-001, 1.962570342394230e-001,-3.490657021804159e-001, 6.062151998054202e-001,-3.493771987297512e-001, 2.874255091403998e-001, 5.235987755982987e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 3.300000000000000e-001,-3.170166801466594e-001, 1.962809995682799e-001,-3.490657053477561e-001, 6.061819161717450e-001,-3.493905221482376e-001, 2.874588995894292e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 3.400000000000000e-001,-3.171768221840786e-001, 1.963177338263356e-001,-3.490657092959479e-001, 6.061478434303858e-001,-3.494051468537358e-001, 2.874980856002120e-001, 5.235987755982983e-001,-1.221730476396030e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 3.500000000000000e-001,-3.173200686667055e-001, 1.963620123475693e-001,-3.490657134431731e-001, 6.061149313099015e-001,-3.494199835572567e-001, 2.875395472883704e-001, 5.235987755982992e-001,-1.221730476396031e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
