---- AnyBody Output File ---------------------------------
Study: Main.Studies.InverseDynamicStudy
Operation: Main.Studies.InverseDynamicStudy.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.FileName = "..\Input\BareFootWalk-CoeffVec.txt"
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Digits = 15
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Width = 22
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.Style = ScientificNumber
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.NumberFormat.FormatStr = "%22.15e"
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Search = 
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.SepSign = " "
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.LineSepSign = ""
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.TitleSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.ConstSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.VarSectionOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.ColumnNamesOnOff = On
Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.InverseDynamicStudy.t
col83  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[82]
col84  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[83]
col85  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[84]
col86  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[85]
col87  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[86]
col88  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[87]
col89  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[88]
col90  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[89]
col91  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[90]
col92  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[91]
col93  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[92]
col94  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[93]
col95  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[94]
col96  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[95]
col97  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[96]
col98  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[97]
col99  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[98]
col100  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[99]
col101  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[100]
col102  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[101]
col103  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[102]
col104  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[103]
col105  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[104]
col106  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[105]
col107  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[106]
col108  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[107]
col109  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[108]
col110  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[109]
col111  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[110]
col112  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[111]
col113  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[112]
col114  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[113]
col115  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[114]
col116  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[115]
col117  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[116]
col118  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[117]
col119  Main.Studies.InverseDynamicStudy.EnvironmentModel.CoeffVecOutput.Ref1[118]
