Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
 7.592274000000000e+000, 1.850365772932409e+000, 1.061087145999334e+000,-9.356275623114859e+000,-8.300821634466304e-002, 2.994954232734963e+000, 1.303149029775774e-002,-2.594814892450999e-001, 8.864615549780420e-003, 3.153089631595440e-001,-1.465029164367979e-001, 2.685893809939177e-001,-2.745689550643317e-001
 7.596441000000000e+000, 1.847803895518780e+000, 1.061002546062775e+000,-9.355070129090942e+000,-8.318916591783143e-002, 3.000992900291657e+000, 1.227010560051811e-002,-2.593761610509672e-001, 7.149570348681414e-003, 3.137718172397317e-001,-1.470056813135661e-001, 2.686426365529139e-001,-2.748119833745019e-001
 7.600607999999999e+000, 1.845273107245959e+000, 1.060935888541845e+000,-9.353842942339886e+000,-8.331747507109899e-002, 3.007177185842091e+000, 1.151448869436411e-002,-2.593042026591121e-001, 5.461020763018014e-003, 3.122232497459275e-001,-1.474668758648521e-001, 2.687381890586804e-001,-2.750155905307781e-001
 7.604774999999999e+000, 1.842773853646218e+000, 1.060886331156965e+000,-9.352594003041849e+000,-8.339621750547366e-002, 3.013509238031921e+000, 1.076500369589839e-002,-2.592654249124113e-001, 3.804081683234347e-003, 3.106663352816623e-001,-1.478850728346468e-001, 2.688737119662616e-001,-2.751802419870806e-001
 7.608941999999999e+000, 1.840305540577212e+000, 1.060852971904930e+000,-9.351322788824103e+000,-8.342845877306093e-002, 3.019993502710749e+000, 1.002190998912500e-002,-2.592592274239826e-001, 2.182876688970483e-003, 3.091031628743583e-001,-1.482591581311482e-001, 2.690461510554825e-001,-2.753067568661065e-001
 7.613109000000000e+000, 1.837868309646302e+000, 1.060834901095084e+000,-9.350029216524659e+000,-8.341716591509973e-002, 3.026632201408743e+000, 9.285854979768082e-003,-2.592846653776206e-001, 6.016315508215755e-004, 3.075359857041908e-001,-1.485880807516049e-001, 2.692515772131463e-001,-2.753961718085287e-001
 7.617276000000000e+000, 1.835461532163531e+000, 1.060831192821756e+000,-9.348712887639701e+000,-8.336521263766583e-002, 3.033429215261659e+000, 8.557379461486825e-003,-2.593404849248182e-001,-9.363807925749969e-004, 3.059663222611755e-001,-1.488711317167935e-001, 2.694852541617923e-001,-2.754498000683001e-001
 7.621442999999999e+000, 1.833085166943581e+000, 1.060840928253654e+000,-9.347373821235259e+000,-8.327536956757120e-002, 3.040386356222848e+000, 7.837289454390106e-003,-2.594251548571333e-001,-2.428004528865488e-003, 3.043958752461242e-001,-1.491077991087522e-001, 2.697415241201323e-001,-2.754691505200438e-001
 7.625609999999999e+000, 1.830738398901615e+000, 1.060863204476024e+000,-9.346011715924044e+000,-8.315026514983970e-002, 3.047507206051325e+000, 7.126213645474167e-003,-2.595369422820821e-001,-3.871092665172060e-003, 3.028256812567600e-001,-1.492979567596566e-001, 2.700139681704512e-001,-2.754559217045560e-001
 7.629777000000000e+000, 1.828420853723103e+000, 1.060897140398793e+000,-9.344626629960192e+000,-8.299241933819346e-002, 3.054793607810411e+000, 6.424948434916811e-003,-2.596739159266054e-001,-5.263745629465609e-003, 3.012569375812204e-001,-1.494417570495727e-001, 2.702953391929394e-001,-2.754119464685177e-001
 7.633944000000000e+000, 1.826132374685132e+000, 1.060941874418709e+000,-9.343218884586563e+000,-8.280426143293918e-002, 3.062246138420913e+000, 5.734373956312489e-003,-2.598339719825572e-001,-6.604465003469087e-003, 2.996908881133664e-001,-1.495397003977694e-001, 2.705776660586053e-001,-2.753391765181454e-001
