---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 3.691618471337584e+000  -6.794155546823137e-001  -4.135570569605699e-001   9.959491590525726e-002
 3.704303821656055e+000  -6.326319411769260e-001  -4.128914775642927e-001   9.829683113950270e-002
 3.716989171974527e+000  -5.844562473800321e-001  -4.122946336729825e-001   9.596949600388680e-002
 3.729674522292998e+000  -5.351092926395437e-001  -4.118861419100277e-001   9.284581485153362e-002
 3.742359872611469e+000  -4.847868670721379e-001  -4.117418929406363e-001   8.918502708973322e-002
 3.755045222929941e+000  -4.336685638176354e-001  -4.118900396415589e-001   8.526171570696214e-002
 3.767730573248412e+000  -3.819188995148036e-001  -4.123185928297466e-001   8.136313813085927e-002
 3.780415923566884e+000  -3.296973424802243e-001  -4.129911344534601e-001   7.778583965507459e-002
 3.793101273885355e+000  -2.771840668444506e-001  -4.138634366976411e-001   7.482649486311674e-002
 3.805786624203826e+000  -2.246079912053449e-001  -4.148963391019203e-001   7.276841486009461e-002
 3.818471974522298e+000  -1.722628681876246e-001  -4.160588425418956e-001   7.186755223950037e-002
 3.831157324840769e+000  -1.205115075097133e-001  -4.173181121578481e-001   7.233429374602957e-002
 3.843842675159241e+000  -6.978378268188107e-002  -4.186261493562357e-001   7.430370091360654e-002
 3.856528025477712e+000  -2.056413020756733e-002  -4.199118572044386e-001   7.779940663261011e-002
 3.869213375796183e+000   2.663579273133929e-002  -4.210779149265857e-001   8.270320849749475e-002
 3.881898726114655e+000   7.131283436432809e-002  -4.220024533556208e-001   8.873709017931776e-002
 3.894584076433126e+000   1.130047650491721e-001  -4.225492090249410e-001   9.546871543079265e-002
 3.907269426751598e+000   1.513167051577984e-001  -4.225859186365072e-001   1.023466769143881e-001
 3.919954777070069e+000   1.859422180435255e-001  -4.220056063701918e-001   1.087584869038867e-001
 3.932640127388540e+000   2.166825836195150e-001  -4.207455420006582e-001   1.140956787343096e-001
 3.945325477707012e+000   2.434617999871728e-001  -4.187979885393714e-001   1.178170501235274e-001
 3.958010828025483e+000   2.663389699722152e-001  -4.162114789890278e-001   1.195091501175239e-001
 3.970696178343955e+000   2.855114768485293e-001  -4.130841319574925e-001   1.189363968038063e-001
 3.983381528662426e+000   3.013079957793260e-001  -4.095557559236775e-001   1.160769602729737e-001
