---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.FileName = "LKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LKNE.MarkerPositionFile.pz
 4.122920382165611e+000  -1.058698980638325e-001  -1.383371703601332e-001   4.717409581055550e-001
 4.135605732484082e+000  -7.793278300152433e-002  -1.385998929349192e-001   4.709557245586029e-001
 4.148291082802554e+000  -4.883800926955367e-002  -1.388801882745630e-001   4.702455710042026e-001
 4.160976433121025e+000  -1.886709556988996e-002  -1.391974838366404e-001   4.697883328906613e-001
 4.173661783439497e+000   1.167939768218108e-002  -1.395719647293460e-001   4.697576373946525e-001
 4.186347133757968e+000   4.250195506235749e-002  -1.400185611808719e-001   4.702908872866266e-001
 4.199032484076439e+000   7.332576162525900e-002  -1.405457644262376e-001   4.714655945926116e-001
 4.211717834394911e+000   1.039208575258765e-001  -1.411579708124798e-001   4.732908030570885e-001
 4.224403184713382e+000   1.341090631605914e-001  -1.418572307531897e-001   4.757121123723179e-001
 4.237088535031854e+000   1.637589938479345e-001  -1.426446819403958e-001   4.786236033713779e-001
 4.249773885350325e+000   1.927744728322589e-001  -1.435197076428182e-001   4.818869913600112e-001
 4.262459235668796e+000   2.210824688419381e-001  -1.444771472709049e-001   4.853571655200332e-001
 4.275144585987268e+000   2.486261530155953e-001  -1.455059313088961e-001   4.889003733583440e-001
 4.287829936305739e+000   2.753586655811208e-001  -1.465909798748254e-001   4.923982718897232e-001
 4.300515286624211e+000   3.012372936408442e-001  -1.477171907503286e-001   4.957424235959402e-001
 4.313200636942682e+000   3.262188909236490e-001  -1.488720013618707e-001   4.988279075690439e-001
 4.325885987261153e+000   3.502589946035876e-001  -1.500446369180493e-001   5.015518316378683e-001
 4.338571337579625e+000   3.733145479989552e-001  -1.512239282971158e-001   5.038173366134698e-001
 4.351256687898096e+000   3.953481472669542e-001  -1.523978016113517e-001   5.055375403648459e-001
 4.363942038216568e+000   4.163325466984035e-001  -1.535557778486489e-001   5.066332971698163e-001
 4.376627388535039e+000   4.362547103234380e-001  -1.546929770635152e-001   5.070296056199725e-001
 4.389312738853510e+000   4.551208082237376e-001  -1.558122622709242e-001   5.066572460718390e-001
 4.401998089171982e+000   4.729643565228794e-001  -1.569209265500951e-001   5.054641591452762e-001
 4.414683439490453e+000   4.898541801919787e-001  -1.580225007786230e-001   5.034350028298545e-001
 4.427368789808925e+000   5.058962971771186e-001  -1.591104702343974e-001   5.006071177695817e-001
 4.440054140127396e+000   5.212277847643813e-001  -1.601671471952394e-001   4.970755068800536e-001
 4.452739490445867e+000   5.360088399185817e-001  -1.611646186968411e-001   4.929884460847355e-001
 4.465424840764339e+000   5.504195150878795e-001  -1.620655019818052e-001   4.885366089149674e-001
 4.478110191082810e+000   5.646572047468625e-001  -1.628263437781017e-001   4.839364227050993e-001
 4.490795541401282e+000   5.789299382456785e-001  -1.634064425670824e-001   4.794108272908089e-001
 4.503480891719753e+000   5.934441376819066e-001  -1.637777430720782e-001   4.751706963266051e-001
 4.516166242038224e+000   6.083875682136117e-001  -1.639277247374407e-001   4.713987378215732e-001
 4.528851592356696e+000   6.239097013434570e-001  -1.638538197635168e-001   4.682371705892903e-001
 4.541536942675167e+000   6.401004105933453e-001  -1.635569693902329e-001   4.657781858996720e-001
 4.554222292993639e+000   6.569668451462003e-001  -1.630404281438466e-001   4.640592141654853e-001
 4.566907643312110e+000   6.744085826634187e-001  -1.623121808028176e-001   4.630621921499714e-001
 4.579592993630581e+000   6.922165863519857e-001  -1.613851987834841e-001   4.627222229883401e-001
 4.592278343949053e+000   7.101129353974156e-001  -1.602749332528559e-001   4.629463257305149e-001
 4.604963694267524e+000   7.278183947545180e-001  -1.589977761431564e-001   4.636342193363631e-001
 4.617649044585996e+000   7.451114649616897e-001  -1.575714282929589e-001   4.646880048012664e-001
 4.630334394904467e+000   7.618524497410107e-001  -1.560172351097543e-001   4.660084722167176e-001
 4.643019745222938e+000   7.779659864829235e-001  -1.543636025262185e-001   4.674894046272529e-001
 4.655705095541410e+000   7.933947534494805e-001  -1.526447670122032e-001   4.690254282610199e-001
 4.668390445859881e+000   8.080715976840951e-001  -1.508955313981038e-001   4.705349812785598e-001
