---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 3.526708917197456e+000  -9.025768344373079e-001  -5.127680885644891e-001   3.735673140152993e-001
 3.539394267515927e+000  -8.784153486823964e-001  -5.126847235309903e-001   3.754456229338116e-001
 3.552079617834398e+000  -8.522759508743245e-001  -5.125999855928350e-001   3.773777636301005e-001
 3.564764968152870e+000  -8.243455259758232e-001  -5.124809125047753e-001   3.793822461955922e-001
 3.577450318471341e+000  -7.948946704410133e-001  -5.122915693773346e-001   3.815120127991460e-001
 3.590135668789813e+000  -7.642524819764907e-001  -5.119993421255474e-001   3.838459458569898e-001
 3.602821019108284e+000  -7.327719613254177e-001  -5.115769907425561e-001   3.864669798088600e-001
 3.615506369426755e+000  -7.007932320784858e-001  -5.110027484634723e-001   3.894333508349467e-001
 3.628191719745227e+000  -6.686113880735662e-001  -5.102651589020780e-001   3.927556912009939e-001
 3.640877070063698e+000  -6.364481219063052e-001  -5.093695180700218e-001   3.963810200624593e-001
 3.653562420382170e+000  -6.044357371433328e-001  -5.083376441511045e-001   4.001863630276993e-001
 3.666247770700641e+000  -5.726237859881690e-001  -5.071992270389328e-001   4.039868919392272e-001
 3.678933121019112e+000  -5.410094041116681e-001  -5.059822019185568e-001   4.075640258987551e-001
 3.691618471337584e+000  -5.095763571444897e-001  -5.047106517741049e-001   4.107091387242353e-001
 3.704303821656055e+000  -4.783256347420835e-001  -5.034096865598251e-001   4.132597320469453e-001
 3.716989171974527e+000  -4.472864886726074e-001  -5.021106730281896e-001   4.151094032653809e-001
 3.729674522292998e+000  -4.165173633797876e-001  -5.008546881417595e-001   4.162041138552233e-001
 3.742359872611469e+000  -3.861105956267449e-001  -4.996936884900487e-001   4.165420150450130e-001
 3.755045222929941e+000  -3.561910830184166e-001  -4.986852470394820e-001   4.161691936305169e-001
 3.767730573248412e+000  -3.268951411463033e-001  -4.978800645161614e-001   4.151592034806405e-001
 3.780415923566884e+000  -2.983414379737223e-001  -4.973100673632385e-001   4.135866165544462e-001
 3.793101273885355e+000  -2.706167449128897e-001  -4.969832652951411e-001   4.115181259407243e-001
 3.805786624203826e+000  -2.437800115442182e-001  -4.968837940453434e-001   4.090156639728684e-001
 3.818471974522298e+000  -2.178742023267975e-001  -4.969706022471672e-001   4.061345997716524e-001
 3.831157324840769e+000  -1.929265261205720e-001  -4.971839719551829e-001   4.029262037570750e-001
 3.843842675159241e+000  -1.689405342014024e-001  -4.974634364249981e-001   3.994515800760282e-001
 3.856528025477712e+000  -1.458986528624975e-001  -4.977575040970972e-001   3.957892958071819e-001
 3.869213375796183e+000  -1.237703495621042e-001  -4.980210003531225e-001   3.920301057471146e-001
 3.881898726114655e+000  -1.025176315438937e-001  -4.982124402730541e-001   3.882652363567142e-001
 3.894584076433126e+000  -8.209513896686947e-002  -4.982943853038345e-001   3.845743752045882e-001
 3.907269426751598e+000  -6.244611480570888e-002  -4.982327494293007e-001   3.810181855783771e-001
 3.919954777070069e+000  -4.349674603270523e-002  -4.979977987690311e-001   3.776385859250370e-001
 3.932640127388540e+000  -2.515229476597715e-002  -4.975700621523992e-001   3.744634888232797e-001
 3.945325477707012e+000  -7.299573420181674e-003  -4.969469861733248e-001   3.715128399085519e-001
 3.958010828025483e+000   1.018205120561594e-002  -4.961460325947005e-001   3.688038132568047e-001
 3.970696178343955e+000   2.740319842642312e-002  -4.952037358754310e-001   3.663548978081305e-001
 3.983381528662426e+000   4.444806624683704e-002  -4.941760289915934e-001   3.641917382745709e-001
 3.996066878980897e+000   6.136743111897544e-002  -4.931386604551600e-001   3.623539496406352e-001
 4.008752229299368e+000   7.818253417145847e-002  -4.921843382937437e-001   3.609001205283032e-001
 4.021437579617840e+000   9.489294509147703e-002  -4.914153487024238e-001   3.599035142002403e-001
 4.034122929936311e+000   1.114759228275901e-001  -4.909291326306468e-001   3.594312733299950e-001
 4.046808280254783e+000   1.278681386663062e-001  -4.907940879412902e-001   3.595049939744052e-001
 4.059493630573254e+000   1.439291180558585e-001  -4.910258369853126e-001   3.600565321269760e-001
 4.072178980891725e+000   1.594233864165656e-001  -4.915867591811938e-001   3.609213552583035e-001
 4.084864331210197e+000   1.740682986081761e-001  -4.924099789807962e-001   3.618945753491163e-001
 4.097549681528668e+000   1.876269938710453e-001  -4.934210420499180e-001   3.628084036881647e-001
 4.110235031847140e+000   1.999651338139727e-001  -4.945464352279665e-001   3.635650503616102e-001
 4.122920382165611e+000   2.110384511854561e-001  -4.957241428125271e-001   3.641201974126456e-001
 4.135605732484082e+000   2.208521371411647e-001  -4.969117531142120e-001   3.644567718528702e-001
 4.148291082802554e+000   2.294411780200620e-001  -4.980829996511535e-001   3.645726481914141e-001
 4.160976433121025e+000   2.368757590119128e-001  -4.992217775281626e-001   3.644802965559722e-001
 4.173661783439497e+000   2.432674636092971e-001  -5.003213779617345e-001   3.642089674232437e-001
 4.186347133757968e+000   2.487600147236451e-001  -5.013822811248558e-001   3.638013053624531e-001
 4.199032484076439e+000   2.535028737199300e-001  -5.024053296256604e-001   3.633055692514314e-001
 4.211717834394911e+000   2.576212773469636e-001  -5.033886528888246e-001   3.627700832076834e-001
 4.224403184713382e+000   2.612008661866248e-001  -5.043291879615270e-001   3.622395508227005e-001
 4.237088535031854e+000   2.642980099860840e-001  -5.052220071643760e-001   3.617508592959793e-001
 4.249773885350325e+000   2.669662014771537e-001  -5.060569070592776e-001   3.613291322619775e-001
 4.262459235668796e+000   2.692743718002041e-001  -5.068166966560276e-001   3.609863358611913e-001
 4.275144585987268e+000   2.713053088856620e-001  -5.074791381542076e-001   3.607240136161339e-001
 4.287829936305739e+000   2.731413551517475e-001  -5.080215863281274e-001   3.605386637458245e-001
 4.300515286624211e+000   2.748531544218373e-001  -5.084263013435461e-001   3.604253735664469e-001
 4.313200636942682e+000   2.765000428978856e-001  -5.086842455597447e-001   3.603786900433726e-001
 4.325885987261153e+000   2.781360830201802e-001  -5.087969164922001e-001   3.603918273788637e-001
 4.338571337579625e+000   2.798138006954811e-001  -5.087768042411892e-001   3.604540315957025e-001
 4.351256687898096e+000   2.815820811868988e-001  -5.086451963623297e-001   3.605482457571254e-001
 4.363942038216568e+000   2.834806620078517e-001  -5.084278564590785e-001   3.606534297396164e-001
 4.376627388535039e+000   2.855387723214957e-001  -5.081529327978105e-001   3.607507005932614e-001
 4.389312738853510e+000   2.877792882598195e-001  -5.078494668698770e-001   3.608287866023111e-001
 4.401998089171982e+000   2.902238589310396e-001  -5.075430723661289e-001   3.608861691346804e-001
 4.414683439490453e+000   2.928954321150989e-001  -5.072513474302935e-001   3.609279588823318e-001
 4.427368789808925e+000   2.958171015511527e-001  -5.069821462648471e-001   3.609586467196578e-001
 4.440054140127396e+000   2.990118085105308e-001  -5.067345923291535e-001   3.609811965394214e-001
 4.452739490445867e+000   3.025026028065057e-001  -5.065017764823611e-001   3.610026872078946e-001
 4.465424840764339e+000   3.063142295901701e-001  -5.062749919217559e-001   3.610377593601603e-001
 4.478110191082810e+000   3.104780179275890e-001  -5.060475872227864e-001   3.611079729557907e-001
 4.490795541401282e+000   3.150364053375764e-001  -5.058163286298592e-001   3.612365980848600e-001
 4.503480891719753e+000   3.200446194812356e-001  -5.055818877144341e-001   3.614425427512302e-001
 4.516166242038224e+000   3.255686691369587e-001  -5.053499278356359e-001   3.617375437583514e-001
 4.528851592356696e+000   3.316790220493155e-001  -5.051295143787802e-001   3.621274316652464e-001
 4.541536942675167e+000   3.384435336581882e-001  -5.049276335981918e-001   3.626155396236724e-001
 4.554222292993639e+000   3.459249638135220e-001  -5.047433857233027e-001   3.632067415786797e-001
 4.566907643312110e+000   3.541826957488025e-001  -5.045640318974531e-001   3.639112970541311e-001
 4.579592993630581e+000   3.632773480920860e-001  -5.043667321798890e-001   3.647473244864490e-001
 4.592278343949053e+000   3.732807870854656e-001  -5.041279064180666e-001   3.657413077366509e-001
 4.604963694267524e+000   3.842897097297214e-001  -5.038363030938997e-001   3.669261174813551e-001
 4.617649044585996e+000   3.964353919511872e-001  -5.035030025715856e-001   3.683377917715969e-001
 4.630334394904467e+000   4.098828184909965e-001  -5.031610742588162e-001   3.700120628775248e-001
 4.643019745222938e+000   4.248242093500710e-001  -5.028593556786075e-001   3.719784109832409e-001
 4.655705095541410e+000   4.414788419370047e-001  -5.026629602661775e-001   3.742497757084785e-001
 4.668390445859881e+000   4.600912916349971e-001  -5.026555851423926e-001   3.768168280682518e-001
 4.681075796178353e+000   4.809090072858097e-001  -5.029324578172539e-001   3.796577891419457e-001
 4.693761146496824e+000   5.041453902902862e-001  -5.035860364580987e-001   3.827573006580476e-001
 4.706446496815295e+000   5.299452894447417e-001  -5.046910821399596e-001   3.861251896232287e-001
 4.719131847133767e+000   5.583571233926568e-001  -5.062940536984120e-001   3.898129451929662e-001
 4.731817197452238e+000   5.893092955051728e-001  -5.084126295767198e-001   3.939203525681885e-001
 4.744502547770710e+000   6.225903790619549e-001  -5.110319430063759e-001   3.985686531609384e-001
 4.757187898089181e+000   6.578164023430705e-001  -5.140695797083412e-001   4.038253988105532e-001
 4.769873248407652e+000   6.943617274017229e-001  -5.173198933009416e-001   4.096134383084453e-001
 4.782558598726124e+000   7.312447617862410e-001  -5.203921313003181e-001   4.156294256684140e-001
 4.795243949044595e+000   7.669927442152985e-001  -5.226464809069013e-001   4.212742549211229e-001
 4.807929299363067e+000   7.994903354249066e-001  -5.231261339994067e-001   4.255928578838933e-001
 4.820614649681538e+000   8.258458309378165e-001  -5.205031436033208e-001   4.272490184433949e-001
 4.833300000000009e+000   8.423051894646880e-001  -5.130563633021674e-001   4.245514453045033e-001
