---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.FileName = "LASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
 4.554222292993639e+000   5.879447196659712e-001  -1.979870083618401e-001   9.429802280905771e-001
 4.566907643312110e+000   6.045715923934931e-001  -1.971935105571779e-001   9.413704711779106e-001
 4.579592993630581e+000   6.213102858613672e-001  -1.961702805030564e-001   9.402284297779896e-001
 4.592278343949053e+000   6.381433874570032e-001  -1.949172185148967e-001   9.395891345869891e-001
 4.604963694267524e+000   6.550420398638308e-001  -1.934445722368469e-001   9.394735696276426e-001
 4.617649044585996e+000   6.719702680007879e-001  -1.917714878908709e-001   9.398917072706184e-001
 4.630334394904467e+000   6.888949383175045e-001  -1.899256506703899e-001   9.408424095970576e-001
 4.643019745222938e+000   7.057951945466917e-001  -1.879456176691407e-001   9.423104382758143e-001
 4.655705095541410e+000   7.226676495249992e-001  -1.858811829144948e-001   9.442680540253646e-001
 4.668390445859881e+000   7.395328253741582e-001  -1.837901625487178e-001   9.466882868400628e-001
 4.681075796178353e+000   7.564449812129099e-001  -1.817359225601174e-001   9.495652338044623e-001
 4.693761146496824e+000   7.735015273767800e-001  -1.797873564708850e-001   9.529322609051351e-001
 4.706446496815295e+000   7.908449037580183e-001  -1.780162308301121e-001   9.568701280494584e-001
 4.719131847133767e+000   8.086486894693162e-001  -1.764873350960501e-001   9.614976511066373e-001
 4.731817197452238e+000   8.270826408965095e-001  -1.752436362320034e-001   9.669399849925866e-001
 4.744502547770710e+000   8.462558062399825e-001  -1.742926068745605e-001   9.732734161600566e-001
 4.757187898089181e+000   8.661333966821964e-001  -1.735962510551367e-001   9.804437677154622e-001
 4.769873248407652e+000   8.864281804703809e-001  -1.730634399419374e-001   9.881590878459081e-001
 4.782558598726124e+000   9.064624869578449e-001  -1.725402569142306e-001   9.957537994499315e-001
 4.795243949044595e+000   9.250131778577214e-001  -1.717981953445143e-001   1.002038571264734e+000
 4.807929299363067e+000   9.401462315679664e-001  -1.705201875554875e-001   1.005142643056017e+000
 4.820614649681538e+000   9.490954890985027e-001  -1.682907645696815e-001   1.002402059317925e+000
 4.833300000000009e+000   9.482218170420138e-001  -1.645936848596937e-001   9.903290298647236e-001
