Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
 2.896065000000000e+000,-6.460129836131138e-001, 1.150061571519101e-001,-3.452064204682698e-001, 5.504087241283587e-001,-5.401942891485885e-001, 3.545670482498796e-001, 1.502815113866076e-001,-1.561049618293761e-001, 3.168669445588516e-001, 5.792742243862570e-001, 5.985684152650785e-001, 5.233016908650017e-001, 1.477848464350501e-001
 2.900232000000000e+000,-6.464070807397164e-001, 1.149347681983677e-001,-3.451842417310985e-001, 5.503980438070876e-001,-5.401857449720962e-001, 3.545245908048028e-001, 1.467177914092144e-001,-1.545097011722354e-001, 3.156067155889437e-001, 5.782275036175355e-001, 5.980832155519044e-001, 5.251119837571707e-001, 1.475981747447209e-001
 2.904399000000000e+000,-6.468187091514746e-001, 1.149076729117395e-001,-3.451587123324295e-001, 5.503715536061712e-001,-5.401869336553005e-001, 3.545296271352578e-001, 1.430088741136295e-001,-1.530404057333292e-001, 3.142849772835858e-001, 5.770311415353610e-001, 5.977648587824731e-001, 5.267508882510228e-001, 1.473777378424821e-001
 2.908566000000000e+000,-6.472482750066174e-001, 1.149295424270997e-001,-3.451305631600701e-001, 5.503272856430291e-001,-5.401990112677997e-001, 3.545878067591438e-001, 1.391681160596618e-001,-1.516982603684440e-001, 3.129054086927374e-001, 5.756763166429461e-001, 5.976222028668948e-001, 5.282055746703578e-001, 1.471240561423112e-001
 2.912733000000000e+000,-6.476959084162033e-001, 1.150043712931603e-001,-3.451005489825105e-001, 5.502635244201982e-001,-5.402229825532237e-001, 3.547040501872905e-001, 1.352091208947179e-001,-1.504834706010380e-001, 3.114718526907214e-001, 5.741551185430475e-001, 5.976625551857516e-001, 5.294647333750628e-001, 1.468376795043853e-001
 2.916900000000000e+000,-6.481613556167978e-001, 1.151354305386185e-001,-3.450694487084343e-001, 5.501788347075416e-001,-5.402596879201924e-001, 3.548824875890914e-001, 1.311456295968514e-001,-1.493954201296774e-001, 3.099881992947999e-001, 5.724606966264071e-001, 5.978915637851706e-001, 5.305187771687754e-001, 1.465191057594633e-001
 2.921067000000000e+000,-6.486439027458040e-001, 1.153252433434862e-001,-3.450380592018381e-001, 5.500720808458641e-001,-5.403097951693179e-001, 3.551264200526091e-001, 1.269914149093803e-001,-1.484328411317193e-001, 3.084582733529763e-001, 5.705873797547976e-001, 5.983131460469535e-001, 5.313599859743277e-001, 1.461687041746416e-001
 2.925234000000000e+000,-6.491423378021232e-001, 1.155755793604520e-001,-3.450071823504258e-001, 5.499424382587225e-001,-5.403737952047671e-001, 3.554382996129817e-001, 1.227601793491180e-001,-1.475939857217039e-001, 3.068857413465373e-001, 5.685307680468761e-001, 5.989294595723445e-001, 5.319825787075478e-001, 1.457866501852125e-001
 2.929401000000000e+000,-6.496549506337030e-001, 1.158874603414368e-001,-3.449776059919217e-001, 5.497893995024535e-001,-5.404520002000215e-001, 3.558197204683246e-001, 1.184654562620395e-001,-1.468767867205330e-001, 3.052740480301672e-001, 5.662877992153568e-001, 5.997409239784576e-001, 5.323827011110178e-001, 1.453728751652884e-001
 2.933568000000000e+000,-6.501795631715667e-001, 1.162611672496579e-001,-3.449500802101460e-001, 5.496127785098481e-001,-5.405445420821609e-001, 3.562714108878373e-001, 1.141205139324730e-001,-1.462789981302326e-001, 3.036263866144173e-001, 5.638567908870502e-001, 6.007463090617281e-001, 5.325583220064405e-001, 1.449270285804881e-001
 2.937735000000000e+000,-6.507138855252450e-001, 1.166960434431190e-001,-3.449252715609628e-001, 5.494127580991532e-001,-5.406513311752086e-001, 3.567930288358904e-001, 1.097385985641564e-001,-1.457983118296058e-001, 3.019456819132533e-001, 5.612374835918024e-001, 6.019428973595348e-001, 5.325090340838701e-001, 1.444484460932006e-001
 2.941902000000000e+000,-6.512543613561493e-001, 1.171912804074198e-001,-3.449038221783649e-001, 5.491897240333307e-001,-5.407722075995709e-001, 3.573839019007953e-001, 1.053315177303378e-001,-1.454324485350187e-001, 3.002346941651927e-001, 5.584309638067629e-001, 6.033267329868128e-001, 5.322358040947965e-001, 1.439361259786098e-001
 2.946069000000000e+000,-6.517979980419238e-001, 1.177446962558182e-001,-3.448861933976486e-001, 5.489445476026866e-001,-5.409066957690869e-001, 3.580418202790145e-001, 1.009115302137777e-001,-1.451792535757088e-001, 2.984959240500472e-001, 5.554398221686319e-001, 6.048928000371708e-001, 5.317406546165557e-001, 1.433887603326685e-001
 2.950236000000000e+000,-6.523412699312945e-001, 1.183535500155217e-001,-3.448727482722359e-001, 5.486783938317261e-001,-5.410541670753748e-001, 3.587638297238847e-001, 9.648994080847140e-002,-1.450367591688018e-001, 2.967317658765374e-001, 5.522680746312564e-001, 6.066352197611519e-001, 5.310263956885395e-001, 1.428048334236850e-001
 2.954403000000000e+000,-6.528804729940732e-001, 1.190143482378525e-001,-3.448637202162949e-001, 5.483927625601679e-001,-5.412138012055459e-001, 3.595460367889737e-001, 9.207733178745037e-002,-1.450032220337909e-001, 2.949445489079437e-001, 5.489211726731237e-001, 6.085474004735989e-001, 5.300963398208327e-001, 1.421827881282623e-001
 2.958570000000000e+000,-6.534118059021686e-001, 1.197228760749305e-001,-3.448592109279401e-001, 5.480894705463110e-001,-5.413845942163267e-001, 3.603836426763961e-001, 8.768347518128850e-002,-1.450771216451378e-001, 2.931366155680272e-001, 5.454059405073306e-001, 6.106222348487469e-001, 5.289540267650308e-001, 1.415212176176187e-001
 2.962737000000000e+000,-6.539314618134439e-001, 1.204742488461297e-001,-3.448591898719785e-001, 5.477706246903654e-001,-5.415653716804145e-001, 3.612710017529831e-001, 8.331725353980235e-002,-1.452571257108369e-001, 2.913104010011813e-001, 5.417304675905991e-001, 6.128523436967057e-001, 5.276029668562670e-001, 1.408190609174825e-001
 2.966904000000000e+000,-6.544357311954695e-001, 1.212629895552666e-001,-3.448634956668916e-001, 5.474385842313486e-001,-5.417548082194643e-001, 3.622017115597653e-001, 7.898658771071054e-002,-1.455420237719109e-001, 2.894685072993172e-001, 5.379039639458803e-001, 6.152303432540222e-001, 5.260464237661102e-001, 1.400757965216464e-001
 2.971071000000000e+000,-6.549211117141210e-001, 1.220831346856728e-001,-3.448718405955895e-001, 5.470959109545354e-001,-5.419514540658048e-001, 3.631687379031692e-001, 7.469837206361474e-002,-1.459306298422564e-001, 2.876137658607898e-001, 5.339365854998143e-001, 6.177491141485803e-001, 5.242872537738323e-001, 1.392916263962558e-001
 2.975238000000000e+000,-6.553844164354773e-001, 1.229283623191748e-001,-3.448838190040660e-001, 5.467453100427082e-001,-5.421537672558452e-001, 3.641645686020532e-001, 7.045842266704616e-002,-1.464216557770575e-001, 2.857492796003569e-001, 5.298392405499307e-001, 6.204020590826972e-001, 5.223278106785272e-001, 1.384676336362421e-001
 2.979405000000000e+000,-6.558228700197827e-001, 1.237921309100700e-001,-3.448989196971005e-001, 5.463895666538222e-001,-5.423601486324303e-001, 3.651813823623630e-001, 6.627144642731109e-002,-1.470135580647084e-001, 2.838784369361880e-001, 5.256233917509554e-001, 6.231833408348727e-001, 5.201699183220518e-001, 1.376058927104830e-001
 2.983572000000000e+000,-6.562341842529850e-001, 1.246678188605119e-001,-3.449165417715341e-001, 5.460314828008708e-001,-5.425689771609741e-001, 3.662112207101169e-001, 6.214103475091548e-002,-1.477043681341225e-001, 2.820048928537142e-001, 5.213008679171588e-001, 6.260880889921852e-001, 5.178149104197156e-001, 1.367095160265955e-001
 2.987739000000000e+000,-6.566166076150781e-001, 1.255488597965953e-001,-3.449360126667231e-001, 5.456738173909996e-001,-5.427786440974001e-001, 3.672461558433673e-001, 5.806967738884539e-002,-1.484915245408499e-001, 2.801325169031981e-001, 5.168836977429073e-001, 6.291125574000027e-001, 5.152637376878282e-001, 1.357826315789648e-001
 2.991906000000000e+000,-6.569689466161824e-001, 1.264288697454528e-001,-3.449566067513242e-001, 5.453192317096725e-001,-5.429875848369974e-001, 3.682784485704843e-001, 5.405878778323259e-002,-1.493717263372327e-001, 2.782653110959231e-001, 5.123839747420191e-001, 6.322542126918415e-001, 5.125171405284106e-001, 1.348302966070342e-001
 2.996073000000000e+000,-6.572905584384925e-001, 1.273017611275560e-001,-3.449775628203181e-001, 5.449702428818264e-001,-5.431943070359937e-001, 3.693006892092947e-001, 5.010873322503961e-002,-1.503408208969895e-001, 2.764073028544407e-001, 5.078137587768137e-001, 6.355117411921886e-001, 5.095758792805549e-001, 1.338583564338858e-001
 3.000240000000000e+000,-6.575813157320584e-001, 1.281618389113470e-001,-3.449980994685534e-001, 5.446291873166987e-001,-5.433974138093658e-001, 3.703059152670392e-001, 4.621886852894930e-002,-1.513937320144562e-001, 2.745624211123892e-001, 5.031850145666645e-001, 6.388849728439167e-001, 5.064410052910850e-001, 1.328732569566966e-001
 3.004407000000000e+000,-6.578415462170094e-001, 1.290038765792525e-001,-3.450174279793712e-001, 5.442981948712814e-001,-5.435956214644675e-001, 3.712877029010849e-001, 4.238757559025053e-002,-1.525244293272882e-001, 2.727343659427783e-001, 4.985095837437083e-001, 6.423747278363400e-001, 5.031141518031159e-001, 1.318818197837025e-001
 3.008574000000000e+000,-6.580719522080306e-001, 1.298231717219971e-001,-3.450347626957109e-001, 5.439791733041787e-001,-5.437877718266990e-001, 3.722402320988855e-001, 3.861231067053073e-002,-1.537259385760647e-001, 2.709264822531398e-001, 4.937991853708458e-001, 6.459825911479590e-001, 4.995978272738437e-001, 1.308909944070792e-001
 3.012741000000000e+000,-6.582735175047740e-001, 1.306155830517324e-001,-3.450493288948158e-001, 5.436738016179732e-001,-5.439728397262797e-001, 3.731583280847196e-001, 3.488965906210684e-002,-1.549903923668038e-001, 2.691416473464036e-001, 4.890654388378817e-001, 6.497106184304266e-001, 4.958956992112933e-001, 1.299076069716242e-001
 3.016908000000000e+000,-6.584474104409750e-001, 1.313775520503504e-001,-3.450603681819257e-001, 5.433835302332609e-001,-5.441499365749427e-001, 3.740374833012164e-001, 3.121539614502811e-002,-1.563091210537135e-001, 2.673821809977574e-001, 4.843199017012600e-001, 6.535609789148336e-001, 4.920128582563317e-001, 1.289381239681472e-001
 3.021075000000000e+000,-6.585948917011605e-001, 1.321061119233651e-001,-3.450671415085622e-001, 5.431095860967932e-001,-5.443183108543086e-001, 3.748738638523111e-001, 2.758455490298206e-002,-1.576727818376760e-001, 2.656497842234614e-001, 4.795741145146379e-001, 6.575355452801179e-001, 4.879560521640682e-001, 1.279884437892631e-001
 3.025242000000000e+000,-6.587172332198308e-001, 1.327988846390418e-001,-3.450689303323425e-001, 5.428529815569890e-001,-5.444773459185037e-001, 3.756643022751628e-001, 2.399150111832005e-002,-1.590715211860155e-001, 2.639455095444585e-001, 4.748396454587568e-001, 6.616354441709601e-001, 4.837338808967302e-001, 1.270637251145512e-001
 3.029409000000000e+000,-6.588156509334932e-001, 1.334540659829688e-001,-3.450650370318810e-001, 5.426145262718319e-001,-5.446265553185326e-001, 3.764062775845342e-001, 2.043001711760040e-002,-1.604951633870341e-001, 2.622697625435422e-001, 4.701281275060210e-001, 6.658605855320630e-001, 4.793569465686227e-001, 1.261682596609048e-001
 3.033576000000000e+000,-6.588912517374514e-001, 1.340703996766746e-001,-3.450547859150582e-001, 5.423948411917718e-001,-5.447655760763890e-001, 3.770978846678525e-001, 1.689339290279257e-002,-1.619334185108691e-001, 2.606223322119065e-001, 4.654512792085669e-001, 6.702091941168076e-001, 4.748379539367544e-001, 1.253053958965064e-001
 3.037743000000000e+000,-6.589446957764122e-001, 1.346473055739093e-001,-3.450375366800270e-001, 5.421943456553350e-001,-5.448941906699594e-001, 3.777379454801421e-001, 1.337416144039505e-002,-1.633760831058645e-001, 2.590024273600769e-001, 4.608208800033271e-001, 6.746773706755069e-001, 4.701917596554432e-001, 1.244775173712383e-001
 3.041910000000000e+000,-6.589774124093563e-001, 1.351841994816254e-001,-3.450126543989995e-001, 5.420133701774407e-001,-5.450122027690187e-001, 3.783253952798990e-001, 9.865662677848608e-003,-1.648133465102713e-001, 2.574088367359330e-001, 4.562488114757479e-001, 6.792587056601350e-001, 4.654353607912860e-001, 1.236860788155967e-001
 3.046077000000000e+000,-6.589896588856435e-001, 1.356813962297279e-001,-3.449795552931386e-001, 5.418520403200392e-001,-5.451195947027290e-001, 3.788600634667757e-001, 6.359922551218533e-003,-1.662359025227045e-001, 2.558398676915900e-001, 4.517468857240142e-001, 6.839439725262366e-001, 4.605878265903205e-001, 1.229316867711015e-001
 3.050244000000000e+000,-6.589818586218009e-001, 1.361394419254831e-001,-3.449376976836730e-001, 5.417103625909167e-001,-5.452164122411713e-001, 3.793421044380990e-001, 2.849268567085561e-003,-1.676352171607650e-001, 2.542935532237582e-001, 4.473268225966584e-001, 6.887209361083779e-001, 4.556701617303114e-001, 1.222142202739815e-001
 3.054411000000000e+000,-6.589542775224075e-001, 1.365592181405007e-001,-3.448865933626953e-001, 5.415882196550444e-001,-5.453027809600721e-001, 3.797720790583634e-001,-6.739320738087251e-004,-1.690036793378974e-001, 2.527677187892025e-001, 4.430001246074987e-001, 6.935742835583996e-001, 4.507050922000837e-001, 1.215329727625813e-001
 3.058578000000000e+000,-6.589070595974145e-001, 1.369418923878345e-001,-3.448258170447633e-001, 5.414853795723460e-001,-5.453788974257054e-001, 3.801509113370397e-001,-4.217148901651147e-003,-1.703347244675982e-001, 2.512600777244994e-001, 4.387779543283538e-001, 6.984856993992640e-001, 4.457167775835775e-001, 1.208868028760489e-001
 3.062745000000000e+000,-6.588402756218622e-001, 1.372888690918335e-001,-3.447550158330544e-001, 5.414015034366518e-001,-5.454450208090298e-001, 3.804798469895797e-001,-7.787561839984969e-003,-1.716229114428974e-001, 2.497683206521911e-001, 4.346710065957808e-001, 7.034340817490731e-001, 4.407304565878949e-001, 1.202742845148862e-001
 3.066912000000000e+000,-6.587541384788558e-001, 1.376012260961594e-001,-3.446737811876413e-001, 5.413363728942834e-001,-5.455013329745821e-001, 3.807597551631310e-001,-1.139128262176170e-002,-1.728640947295696e-001, 2.482900959130542e-001, 4.306894963896507e-001, 7.083958456405133e-001, 4.357719987149760e-001, 1.196938573963843e-001
 3.071079000000000e+000,-6.586483643064980e-001, 1.378817362911524e-001,-3.445821951065802e-001, 5.412890220435908e-001,-5.455484564236115e-001, 3.809937137340254e-001,-1.503589730032462e-002,-1.740548592798479e-001, 2.468234687023601e-001, 4.268425866353052e-001, 7.133455581133320e-001, 4.308676033629908e-001, 1.191439330690728e-001
