Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 2.891898000000000e+000, 2.438229849695224e+000, 1.039158569223480e+000,-3.537106382820441e+000,-1.526330670896403e-002, 1.200984756590692e+000,-2.039593667401904e-002,-5.109387425464600e-002,-1.538478551087005e-002, 4.480494372879977e-001,-2.430023579008588e-001, 1.375851092199130e-001,-2.488678250708998e-001
 2.896065000000000e+000, 2.437471780327635e+000, 1.038564559174334e+000,-3.544095033239048e+000,-1.487626488735733e-002, 1.200638972784359e+000,-2.179775354334054e-002,-5.088850778531346e-002,-1.856983618081877e-002, 4.489119521728930e-001,-2.445650554806618e-001, 1.380753111519686e-001,-2.505568559772933e-001
 2.900232000000000e+000, 2.436672505711774e+000, 1.038002264115601e+000,-3.551100627513006e+000,-1.451276674855791e-002, 1.200655209400304e+000,-2.325975765611416e-002,-5.065737814786760e-002,-2.174469596942530e-002, 4.493873613134679e-001,-2.460454038694449e-001, 1.386010528013144e-001,-2.522266570964718e-001
 2.904399000000000e+000, 2.435832856148450e+000, 1.037473388073190e+000,-3.558118971333927e+000,-1.416975789240011e-002, 1.201041634528032e+000,-2.477373195407637e-002,-5.040598661602858e-002,-2.489919126804926e-002, 4.494656708147448e-001,-2.474333387913854e-001, 1.391661353681223e-001,-2.538807116702084e-001
 2.908566000000000e+000, 2.434954394200164e+000, 1.036979982394618e+000,-3.565145537171031e+000,-1.384196918067937e-002, 1.201796648991012e+000,-2.632943342522377e-002,-5.014118468222002e-002,-2.802356404972635e-002, 4.491468116944513e-001,-2.487200224793939e-001, 1.397745313747406e-001,-2.555225088524778e-001
 2.912733000000000e+000, 2.434039450208564e+000, 1.036524426467832e+000,-3.572175524650515e+000,-1.352229019890178e-002, 1.202909053708903e+000,-2.791456580742714e-002,-4.987092537138231e-002,-3.110812423767391e-002, 4.484404403208501e-001,-2.498978438343742e-001, 1.404302772159886e-001,-2.571555315888021e-001
 2.916900000000000e+000, 2.433091111921605e+000, 1.036109389208028e+000,-3.579203939547376e+000,-1.320228638562375e-002, 1.204358863774087e+000,-2.951489293030414e-002,-4.960393694162942e-002,-3.414289336078674e-002, 4.473650883350815e-001,-2.509603457655755e-001, 1.411373339642590e-001,-2.587832432501883e-001
 2.921067000000000e+000, 2.432113169379946e+000, 1.035737774265835e+000,-3.586225688866411e+000,-1.287280690463144e-002, 1.206118663334720e+000,-3.111448149243282e-002,-4.934934641465914e-002,-3.711727613277674e-002, 4.459467715840469e-001,-2.519020920308603e-001, 1.418994267440285e-001,-2.604090701029115e-001
 2.925234000000000e+000, 2.431110021009262e+000, 1.035412653021065e+000,-3.593235687925996e+000,-1.252461804009759e-002, 1.208155342503955e+000,-3.269604284291826e-002,-4.911628794854079e-002,-4.001979189665329e-002, 4.442172198138306e-001,-2.527184923517833e-001, 1.427198738531618e-001,-2.620363769075648e-001
 2.929401000000000e+000, 2.430086548720105e+000, 1.035137189280816e+000,-3.600228974462886e+000,-1.214898818596165e-002, 1.210432032941432e+000,-3.424133327142980e-002,-4.891353345582480e-002,-4.283790058812512e-002, 4.422119125260058e-001,-2.534056073624186e-001, 1.436014147910705e-001,-2.636684335103292e-001
