Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  2.896065000000000e+00, -6.960201203843083e-01,  5.758393153022534e-02, -1.087887787185722e-02,  6.674197410706140e-01, -2.252512296550204e-01, -1.087887787470456e-02, -4.940316037846615e-02,  4.419393786183138e-03,  1.030451633361229e-01, -2.295992252707547e-02,  5.618779950025439e-01,  5.489395259076746e-01,  2.602765562639114e-01
  2.900232000000000e+00, -6.959998856686680e-01,  5.651368822078129e-02, -1.130253381118646e-02,  6.675120418039057e-01, -2.251206364766505e-01, -1.130253381437893e-02, -4.812287814427529e-02,  3.459138577384270e-03,  1.032091463967649e-01, -2.383982673665654e-02,  5.591681720882092e-01,  5.504345413613274e-01,  2.605847860095370e-01
  2.904399000000000e+00, -6.959272623525169e-01,  5.546788909503597e-02, -1.171707197332623e-02,  6.676072605596137e-01, -2.249908284947528e-01, -1.171707197415060e-02, -4.669343144638316e-02,  2.375961287860170e-03,  1.033407371148212e-01, -2.467198929682694e-02,  5.564650230813396e-01,  5.519067157635691e-01,  2.609028383794456e-01
  2.908566000000000e+00, -6.958097664482044e-01,  5.445046349399685e-02, -1.212076918439043e-02,  6.677043851932615e-01, -2.248625917780256e-01, -1.212076918537054e-02, -4.510229848171488e-02,  1.211784357936980e-03,  1.034381720538785e-01, -2.547708048928637e-02,  5.538136116205634e-01,  5.533537177196211e-01,  2.612367509300340e-01
  2.912733000000000e+00, -6.956433742831725e-01,  5.346288974435165e-02, -1.251322391839754e-02,  6.678036116808088e-01, -2.247359340115191e-01, -1.251322391942676e-02, -4.334895389002047e-02, -5.591094594991151e-05,  1.034958942545039e-01, -2.624468849233592e-02,  5.511907528276032e-01,  5.547759455752761e-01,  2.615818985752125e-01
  2.916900000000000e+00, -6.954278937292870e-01,  5.250607873070989e-02, -1.289414553484467e-02,  6.679048517612677e-01, -2.246109533001970e-01, -1.289414553598126e-02, -4.142843236385874e-02, -1.427756396445211e-03,  1.035094925034321e-01, -2.697384019179322e-02,  5.485962411594699e-01,  5.561729414528207e-01,  2.619375163406535e-01
  2.921067000000000e+00, -6.951632907228972e-01,  5.158010900482535e-02, -1.326356560821032e-02,  6.680080760173723e-01, -2.244876530379891e-01, -1.326356560944081e-02, -3.933552894987091e-02, -2.903460045172521e-03,  1.034745835852573e-01, -2.766304263425460e-02,  5.460305631367364e-01,  5.575443902651025e-01,  2.623031256926192e-01
  2.925234000000000e+00, -6.948497656351565e-01,  5.068443791871546e-02, -1.362174985621664e-02,  6.681132903652378e-01, -2.243659707120171e-01, -1.362174985755334e-02, -3.706496532604087e-02, -4.481580366042654e-03,  1.033869031971805e-01, -2.831028970559723e-02,  5.434950184986056e-01,  5.588902100702109e-01,  2.626785389547772e-01
  2.929401000000000e+00, -6.944878103858205e-01,  4.981812598927426e-02, -1.396910687351204e-02,  6.682205124431659e-01, -2.242458075203513e-01, -1.396910687495857e-02, -3.461158479668636e-02, -6.159309579328198e-03,  1.032424001063179e-01, -2.891306067968635e-02,  5.409918312092393e-01,  5.602106329476051e-01,  2.630638657676660e-01
  2.933568000000000e+00, -6.940782418879177e-01,  4.898005465284450e-02, -1.430610143637111e-02,  6.683297500476423e-01, -2.241270562200164e-01, -1.430610143790774e-02, -3.197056691666211e-02, -7.932272323076230e-03,  1.030373298306848e-01, -2.946830945878728e-02,  5.385242481414338e-01,  5.615062712817434e-01,  2.634595205446059e-01
  2.937735000000000e+00, -6.936222114872924e-01,  4.816912411440599e-02, -1.463317736286148e-02,  6.684409828924823e-01, -2.240096255815944e-01, -1.463317736450034e-02, -2.913765035296167e-02, -9.794345463014971e-03,  1.027683468170818e-01, -2.997244456318337e-02,  5.360966212373212e-01,  5.627781655835067e-01,  2.638662292916335e-01
  2.941902000000000e+00, -6.931211953961328e-01,  4.738442658399866e-02, -1.495069137822693e-02,  6.685541477737975e-01, -2.238934610879186e-01, -1.495069138000922e-02, -2.610935058652264e-02, -1.173750221442286e-02,  1.024325993225182e-01, -3.042130135435120e-02,  5.337144681545553e-01,  5.640278117082147e-01,  2.642850343379896e-01
  2.946069000000000e+00, -6.925769740037170e-01,  4.662539672665122e-02, -1.525885683576020e-02,  6.686691263921701e-01, -2.237785624254391e-01, -1.525885683759380e-02, -2.288315919242323e-02, -1.375168366662873e-02,  1.020278343086146e-01, -3.081010919375904e-02,  5.313845058115740e-01,  5.652571665235451e-01,  2.647172961976785e-01
  2.950236000000000e+00, -6.919916022597339e-01,  4.589193408947589e-02, -1.555769905721492e-02,  6.687857361963482e-01, -2.236649972214124e-01, -1.555769905915603e-02, -1.945771532686824e-02, -1.582470552721199e-02,  1.015525073155331e-01, -3.113345678391720e-02,  5.291146530840808e-01,  5.664686305603266e-01,  2.651646919968188e-01
  2.954403000000000e+00, -6.913673650461480e-01,  4.518447944985082e-02, -1.584702919207602e-02,  6.689037264931609e-01, -2.235529085754799e-01, -1.584702919408679e-02, -1.583294513100997e-02, -1.794221314076498e-02,  1.010058744552582e-01, -3.138525855361154e-02,  5.269140015551449e-01,  5.676650056041956e-01,  2.656292096460213e-01
  2.958570000000000e+00, -6.907067129142058e-01,  4.450403084445154e-02, -1.612644188783764e-02,  6.690227816425873e-01, -2.234425144504808e-01, -1.612644188990308e-02, -1.201016722303017e-02, -2.008769693879850e-02,  1.003880458086014e-01, -3.155872448606329e-02,  5.247927535051632e-01,  5.688494268455253e-01,  2.661131370145113e-01
  2.962737000000000e+00, -6.900161323234363e-01,  4.385241745237733e-02, -1.639510421711758e-02,  6.691421543688074e-01, -2.233343046656624e-01, -1.639510421767965e-02, -7.987944394348023e-03, -2.222036052524561e-02,  9.970126572009910e-02, -3.165669612483037e-02,  5.227856797871396e-01,  5.700242513243614e-01,  2.666227506308783e-01
  2.966904000000000e+00, -6.892903548047280e-01,  4.323093230330133e-02, -1.665272194737918e-02,  6.692621792372601e-01, -2.232282078642911e-01, -1.665272194793923e-02, -3.778881319454364e-03, -2.436350949608358e-02,  9.894482079792863e-02, -3.165047246313079e-02,  5.208584378515605e-01,  5.711949870151116e-01,  2.671535769091007e-01
  2.971071000000000e+00, -6.885356149236309e-01,  4.264210458734663e-02, -1.689821047770736e-02,  6.693820646822355e-01, -2.231247890308732e-01, -1.689821047830526e-02,  6.153255411400771e-04, -2.647344131915795e-02,  9.812248727840264e-02, -3.154107769593791e-02,  5.190466454991260e-01,  5.723641720862531e-01,  2.677122747323664e-01
  2.975238000000000e+00, -6.877540921060563e-01,  4.208825888809775e-02, -1.713068242149170e-02,  6.695013922364792e-01, -2.230244177706135e-01, -1.713068242204908e-02,  5.187417370084324e-03, -2.852657937953475e-02,  9.723742768633203e-02, -3.131874844374007e-02,  5.173636142889031e-01,  5.735351909399831e-01,  2.683021159602147e-01
  2.979405000000000e+00, -6.869476330398789e-01,  4.157165718673461e-02, -1.734928764445039e-02,  6.696197766807475e-01, -2.229274425987238e-01, -1.734928764503915e-02,  9.928732513536431e-03, -3.049830180095206e-02,  9.629328081537064e-02, -3.097300230243669e-02,  5.158229294332737e-01,  5.747111556840414e-01,  2.689265424571686e-01
  2.983572000000000e+00, -6.861176610875641e-01,  4.109433144883079e-02, -1.755327814019630e-02,  6.697368899010221e-01, -2.228341666780551e-01, -1.755327814073394e-02,  1.482931161852385e-02, -3.236333488190038e-02,  9.529400578986089e-02, -3.049268188202614e-02,  5.144381894587131e-01,  5.758947638636718e-01,  2.695891304575819e-01
  2.987739000000000e+00, -6.852651089225429e-01,  4.065794003930634e-02, -1.774206268599891e-02,  6.698524808007860e-01, -2.227448273705659e-01, -1.774206268653084e-02,  1.987803170001579e-02, -3.409618099516365e-02,  9.424372557695640e-02, -2.986601814689906e-02,  5.132227255786974e-01,  5.770881583746226e-01,  2.702935536906939e-01
  2.991906000000000e+00, -6.843903810706079e-01,  4.026366239063339e-02, -1.791524588096187e-02,  6.699663892404198e-01, -2.226595816529495e-01, -1.791524588146386e-02,  2.506275976546779e-02, -3.567156881806566e-02,  9.314658114269514e-02, -2.908071369614183e-02,  5.121893113883051e-01,  5.782927922829733e-01,  2.710435454244046e-01
  2.996073000000000e+00, -6.834933505966776e-01,  3.991214546638222e-02, -1.807264660418985e-02,  6.700785522529995e-01, -2.225784992426183e-01, -1.807264660464446e-02,  3.037051751957698e-02, -3.706491603121714e-02,  9.200660914489485e-02, -2.812404508823333e-02,  5.113498711910911e-01,  5.795093016683546e-01,  2.718428592841657e-01
  3.000240000000000e+00, -6.825733900097050e-01,  3.960350956142844e-02, -1.821429331321388e-02,  6.701890017048622e-01, -2.225015643778172e-01, -1.821429331367716e-02,  3.578765272465767e-02, -3.825279575386885e-02,  9.082765235689645e-02, -2.698298300001645e-02,  5.107151946148576e-01,  5.807373891765586e-01,  2.726952291165958e-01
  3.004407000000000e+00, -6.816294323903516e-01,  3.933741213957309e-02, -1.834039700245578e-02,  6.702978537645337e-01, -2.224286859487996e-01, -1.834039700285533e-02,  4.130001581285492e-02, -3.921339856113672e-02,  8.961330548298840e-02, -2.564432812647045e-02,  5.102946655155276e-01,  5.819757204303473e-01,  2.736043278725379e-01
  3.008574000000000e+00, -6.806600573983613e-01,  3.911316088267647e-02, -1.845130543187525e-02,  6.704052913941205e-01, -2.223597147026104e-01, -1.845130543221824e-02,  4.689313995702937e-02, -3.992698256460884e-02,  8.836689424658491e-02, -2.409485906772786e-02,  5.100960129845306e-01,  5.832218352377412e-01,  2.745737243276087e-01
  3.012741000000000e+00, -6.796635968879249e-01,  3.892986221509043e-02, -1.854744398948676e-02,  6.705115415650763e-01, -2.222944656467540e-01, -1.854744398978607e-02,  5.255242115372383e-02, -4.037630580211912e-02,  8.709148253423699e-02, -2.232148706447983e-02,  5.101250904689708e-01,  5.844720750054941e-01,  2.756068356833080e-01
  3.016908000000000e+00, -6.786345592740870e-01,  3.878642160336887e-02, -1.862941302573359e-02,  6.706171967642870e-01, -2.222325632364068e-01, -1.862941302681232e-02,  5.825936632225015e-02, -4.056794535459192e-02,  8.578881830818928e-02, -2.030173155089127e-02,  5.103634476357615e-01,  5.857227725361538e-01,  2.767033859651351e-01
  3.021075000000000e+00, -6.775787483529420e-01,  3.868241296022523e-02, -1.869724958023693e-02,  6.707217764242933e-01, -2.221742007145404e-01, -1.869724958117517e-02,  6.400769999290290e-02, -4.044788506641744e-02,  8.446379015612843e-02, -1.804313719800580e-02,  5.108583572286902e-01,  5.869651974525274e-01,  2.778734956995536e-01
  3.025242000000000e+00, -6.764906155044706e-01,  3.861719118880558e-02, -1.875137881244985e-02,  6.708258424488016e-01, -2.221190534136259e-01, -1.875137881326104e-02,  6.977931310068741e-02, -4.003069635710792e-02,  8.311777345335597e-02, -1.552376695913783e-02,  5.115856892156154e-01,  5.881931063289025e-01,  2.791161365325243e-01
  3.029409000000000e+00, -6.753687489178030e-01,  3.859077641570630e-02, -1.879186027406436e-02,  6.709295268297422e-01, -2.220670554119017e-01, -1.879186027473791e-02,  7.556074022120529e-02, -3.931301394500156e-02,  8.175325734648629e-02, -1.273255247217197e-02,  5.125421554042957e-01,  5.893976822377844e-01,  2.804335527910206e-01
  3.033576000000000e+00, -6.742121124180825e-01,  3.860379941737646e-02, -1.881851178795961e-02,  6.710328737098369e-01, -2.220182306872185e-01, -1.881851178850241e-02,  8.133916751790582e-02, -3.829575501819763e-02,  8.037278525274956e-02, -9.659248729607467e-03,  5.137219038563070e-01,  5.905688395254769e-01,  2.818275433193489e-01
  3.037743000000000e+00, -6.730201504018016e-01,  3.865758987995371e-02, -1.883087404673476e-02,  6.711358213533415e-01, -2.219727086343621e-01, -1.883087404721235e-02,  8.710254443563303e-02, -3.698435367714982e-02,  7.897904887962304e-02, -6.294526512091907e-03,  5.151164603316509e-01,  5.916952884763931e-01,  2.832994007469334e-01
  3.041910000000000e+00, -6.717928746841765e-01,  3.875421384028765e-02, -1.882819447600672e-02,  6.712381904773658e-01, -2.219307326966291e-01, -1.882819447637823e-02,  9.283967176828112e-02, -3.538894141893664e-02,  7.757497716857309e-02, -2.630039702296727e-03,  5.167146898735810e-01,  5.927646340568207e-01,  2.848498514896083e-01
  3.046077000000000e+00, -6.705309319394248e-01,  3.889645813469378e-02, -1.880943108176945e-02,  6.713396793170922e-01, -2.218926617753221e-01, -1.880943108205869e-02,  9.854026648625691e-02, -3.352446398664706e-02,  7.616381647031303e-02,  1.341533026479324e-03,  5.185027803221196e-01,  5.937635111798474e-01,  2.864789982316647e-01
  3.050244000000000e+00, -6.692390614105894e-01,  3.908789678645186e-02, -1.877313215149048e-02,  6.714395422759523e-01, -2.218591309383326e-01, -1.877313215250182e-02,  1.041986472039413e-01, -3.139129965513766e-02,  7.475005558675328e-02,  5.617458512186149e-03,  5.204849994770926e-01,  5.946762400959025e-01,  2.881895668584600e-01
  3.054411000000000e+00, -6.679119602384594e-01,  3.933222471471076e-02, -1.871807198445677e-02,  6.715379391391445e-01, -2.218303487723556e-01, -1.871807198523381e-02,  1.097986533192001e-01, -2.905582460825372e-02,  7.333590597044373e-02,  1.022234272124992e-02,  5.225976521505591e-01,  5.954912829318069e-01,  2.899731808008870e-01
  3.058578000000000e+00, -6.665562999123468e-01,  3.963395636590650e-02, -1.864238431921264e-02,  6.716338659570603e-01, -2.218071511507653e-01, -1.864238431976652e-02,  1.153371541708355e-01, -2.652490486453435e-02,  7.192693541045966e-02,  1.515000716655969e-02,  5.248430264075864e-01,  5.961918657012850e-01,  2.918315827065282e-01
  3.062745000000000e+00, -6.651754745801483e-01,  3.999764170583964e-02, -1.854427126811368e-02,  6.717266159644188e-01, -2.217902358950909e-01, -1.854427126852081e-02,  1.208078053496993e-01, -2.383232751373602e-02,  7.052819084959661e-02,  2.040371064560432e-02,  5.271969932163898e-01,  5.967628439283446e-01,  2.937619211543930e-01
