---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.FileName = "LFTM1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
 1.054804469273742e+000   5.179855109361908e-001  -1.466665067090599e-001   1.177876593649690e-001
 1.056983240223463e+000   5.205848488856040e-001  -1.464762499307760e-001   1.095377025255827e-001
 1.059162011173184e+000   5.228346093650771e-001  -1.463343596778182e-001   1.018001198760426e-001
 1.061340782122904e+000   5.247451003248618e-001  -1.462440340795698e-001   9.459505303538442e-002
 1.063519553072625e+000   5.263290223515975e-001  -1.462081231809761e-001   8.793651286534300e-002
 1.065698324022346e+000   5.276016157719333e-001  -1.462289766388299e-001   8.183226496065227e-002
 1.067877094972067e+000   5.285813554889510e-001  -1.463081014738571e-001   7.628250101277996e-002
 1.070055865921787e+000   5.292896950571776e-001  -1.464459676097710e-001   7.128062907878367e-002
 1.072234636871508e+000   5.297507999567079e-001  -1.466419182023797e-001   6.681384392518316e-002
 1.074413407821229e+000   5.299913384344652e-001  -1.468938918414452e-001   6.286333667959003e-002
 1.076592178770950e+000   5.300393560293962e-001  -1.471985587733579e-001   5.940608133161984e-002
 1.078770949720670e+000   5.299236781189687e-001  -1.475513456882878e-001   5.641555490135246e-002
 1.080949720670391e+000   5.296729153469338e-001  -1.479463986311696e-001   5.386253740855816e-002
 1.083128491620112e+000   5.293148296054581e-001  -1.483768335418378e-001   5.171623205316760e-002
 1.085307262569833e+000   5.288759640152627e-001  -1.488347876578701e-001   4.994475263638677e-002
 1.087486033519553e+000   5.283812494455807e-001  -1.493114995363570e-001   4.851585879011654e-002
 1.089664804469274e+000   5.278541860272784e-001  -1.497976073622130e-001   4.739753318447670e-002
 1.091843575418995e+000   5.273167837577468e-001  -1.502832917508284e-001   4.655838780361148e-002
 1.094022346368716e+000   5.267895827994872e-001  -1.507586211222560e-001   4.596824782947061e-002
 1.096201117318436e+000   5.262919100951210e-001  -1.512138500772937e-001   4.559832363818486e-002
