---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.FileName = "LTROC.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
 1.070055865921787e+000   1.646981564846697e-001  -1.289363167423006e-001   8.759601284849037e-001
 1.072234636871508e+000   1.833118129771513e-001  -1.289276189027535e-001   8.738868351853626e-001
 1.074413407821229e+000   2.018821971754291e-001  -1.289460582470332e-001   8.717528138193006e-001
 1.076592178770950e+000   2.204075340511872e-001  -1.289953338827831e-001   8.695720765644015e-001
 1.078770949720670e+000   2.388873218421030e-001  -1.290789396493295e-001   8.673603544063825e-001
 1.080949720670391e+000   2.573227660234064e-001  -1.292000848671274e-001   8.651350194190935e-001
 1.083128491620112e+000   2.757167818011005e-001  -1.293616505408998e-001   8.629145389038784e-001
 1.085307262569833e+000   2.940741542093419e-001  -1.295661175664560e-001   8.607182125332353e-001
 1.087486033519553e+000   3.124018065671914e-001  -1.298154068042091e-001   8.585656328061361e-001
 1.089664804469274e+000   3.307085442448671e-001  -1.301108367816624e-001   8.564761000537270e-001
 1.091843575418995e+000   3.490051355998445e-001  -1.304530072214778e-001   8.544681583696990e-001
 1.094022346368716e+000   3.673043064922545e-001  -1.308416419392341e-001   8.525587948078874e-001
 1.096201117318436e+000   3.856203902048122e-001  -1.312756568285314e-001   8.507631472551268e-001
 1.098379888268157e+000   4.039693287558602e-001  -1.317530842336278e-001   8.490939665580422e-001
 1.100558659217878e+000   4.223684447198061e-001  -1.322711197743438e-001   8.475611580819020e-001
 1.102737430167599e+000   4.408360485966378e-001  -1.328262940242017e-001   8.461720025877811e-001
 1.104916201117319e+000   4.593912507099809e-001  -1.334144966187884e-001   8.449308637276747e-001
 1.107094972067040e+000   4.780534117652465e-001  -1.340311049246282e-001   8.438394154809429e-001
 1.109273743016761e+000   4.968416866271485e-001  -1.346710900725093e-001   8.428971182982495e-001
 1.111452513966482e+000   5.157744393684325e-001  -1.353290348842527e-001   8.421012699112566e-001
 1.113631284916202e+000   5.348684872782410e-001  -1.359992271004546e-001   8.414475513769457e-001
 1.115810055865923e+000   5.541387712733357e-001  -1.366757438022420e-001   8.409304261183171e-001
 1.117988826815644e+000   5.735975300433244e-001  -1.373525208080512e-001   8.405433710325331e-001
