---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.FileName = "RICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
 1.052625698324021e+000   1.849835759012078e-002  -4.562811249836050e-001   1.049621739636262e+000
 1.054804469273742e+000   3.826432510107003e-002  -4.560604762480906e-001   1.048383605085947e+000
 1.056983240223463e+000   5.805658607553774e-002  -4.558392900857379e-001   1.047043454712427e+000
 1.059162011173184e+000   7.787308019713385e-002  -4.556205723066722e-001   1.045604715024187e+000
 1.061340782122904e+000   9.771224768386215e-002  -4.554073757824115e-001   1.044071549037031e+000
 1.063519553072625e+000   1.175730847096649e-001  -4.552027475199866e-001   1.042448869263700e+000
 1.065698324022346e+000   1.374551166957543e-001  -4.550096980753216e-001   1.040742331300640e+000
 1.067877094972067e+000   1.573584347526678e-001  -4.548311486119337e-001   1.038958480273684e+000
 1.070055865921787e+000   1.772835739535419e-001  -4.546698817375898e-001   1.037104727827474e+000
 1.072234636871508e+000   1.972314505348698e-001  -4.545285113913106e-001   1.035189359239950e+000
 1.074413407821229e+000   2.172033198477668e-001  -4.544094073767734e-001   1.033221690639588e+000
 1.076592178770950e+000   2.372006672653788e-001  -4.543146787942437e-001   1.031212001990361e+000
 1.078770949720670e+000   2.572251626159098e-001  -4.542461491862748e-001   1.029171553366594e+000
 1.080949720670391e+000   2.772786041045439e-001  -4.542052870901359e-001   1.027112698719813e+000
 1.083128491620112e+000   2.973628200526579e-001  -4.541932135998584e-001   1.025048730219109e+000
 1.085307262569833e+000   3.174795993052916e-001  -4.542106699261826e-001   1.022993869811790e+000
 1.087486033519553e+000   3.376305377304549e-001  -4.542579505815857e-001   1.020963249107083e+000
 1.089664804469274e+000   3.578169312578406e-001  -4.543349362844774e-001   1.018972692494839e+000
 1.091843575418995e+000   3.780396588795011e-001  -4.544410574342568e-001   1.017038659257738e+000
