---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.FileName = "RTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
 9.959776536312823e-001  -5.838559391497712e-001  -4.942639605926455e-001   7.162995393309690e-001
 9.981564245810030e-001  -5.612120058706104e-001  -4.953345411151346e-001   7.156544862001656e-001
 1.000335195530724e+000  -5.384824288211683e-001  -4.964027071286933e-001   7.149893891731165e-001
 1.002513966480444e+000  -5.156657389311070e-001  -4.974718855064096e-001   7.143046534817258e-001
 1.004692737430165e+000  -4.927602266070583e-001  -4.985452733025001e-001   7.136008335780797e-001
 1.006871508379886e+000  -4.697640182049651e-001  -4.996257821202833e-001   7.128786999487957e-001
 1.009050279329607e+000  -4.466751274291236e-001  -5.007160238973859e-001   7.121392644603457e-001
 1.011229050279327e+000  -4.234915074220610e-001  -5.018182344369919e-001   7.113838622431310e-001
 1.013407821229048e+000  -4.002111345722258e-001  -5.029342790701779e-001   7.106141650299498e-001
 1.015586592178769e+000  -3.768320560840195e-001  -5.040656507527144e-001   7.098321900398296e-001
 1.017765363128490e+000  -3.533524769106245e-001  -5.052134027971325e-001   7.090403694829358e-001
 1.019944134078210e+000  -3.297707915907207e-001  -5.063781654264966e-001   7.082415243588558e-001
 1.022122905027931e+000  -3.060856035156145e-001  -5.075601279986508e-001   7.074388706885830e-001
 1.024301675977652e+000  -2.822957650465011e-001  -5.087589554621734e-001   7.066360722488017e-001
 1.026480446927373e+000  -2.584003622313252e-001  -5.099738259190678e-001   7.058371984392996e-001
 1.028659217877093e+000  -2.343987319181948e-001  -5.112034086629458e-001   7.050467403028551e-001
 1.030837988826814e+000  -2.102905087046942e-001  -5.124458168688717e-001   7.042696565363648e-001
 1.033016759776535e+000  -1.860756127501744e-001  -5.136986852060440e-001   7.035113220870195e-001
 1.035195530726256e+000  -1.617542851113368e-001  -5.149591587231157e-001   7.027775507797943e-001
 1.037374301675976e+000  -1.373271479524069e-001  -5.162239031179462e-001   7.020746138733359e-001
 1.039553072625697e+000  -1.127951988576927e-001  -5.174892026670572e-001   7.014091725959089e-001
 1.041731843575418e+000  -8.815987569406754e-002  -5.187509717101750e-001   7.007882927790771e-001
 1.043910614525138e+000  -6.342312541664681e-002  -5.200048206529605e-001   7.002194197791948e-001
 1.046089385474859e+000  -3.858738408354234e-002  -5.212461435708771e-001   6.997103022752462e-001
 1.048268156424580e+000  -1.365566116129350e-002  -5.224701536581028e-001   6.992689820318319e-001
 1.050446927374301e+000   1.136841386181428e-002  -5.236719648762822e-001   6.989037176072043e-001
 1.052625698324021e+000   3.648061757424414e-002  -5.248466487123445e-001   6.986229070542384e-001
 1.054804469273742e+000   6.167602335304138e-002  -5.259892830337615e-001   6.984350331817967e-001
 1.056983240223463e+000   8.694896467108471e-002  -5.270950049960897e-001   6.983485619050056e-001
 1.059162011173184e+000   1.122930560345762e-001  -5.281590246343541e-001   6.983718839428532e-001
 1.061340782122904e+000   1.377010563247191e-001  -5.291766506189148e-001   6.985132246788599e-001
 1.063519553072625e+000   1.631648913264968e-001  -5.301432785282541e-001   6.987805662202559e-001
 1.065698324022346e+000   1.886756988770354e-001  -5.310543798888261e-001   6.991816077638814e-001
 1.067877094972067e+000   2.142237433814859e-001  -5.319055012349959e-001   6.997236486438112e-001
 1.070055865921787e+000   2.397985427051644e-001  -5.326922598859880e-001   7.004135351150045e-001
 1.072234636871508e+000   2.653889339111124e-001  -5.334103500285095e-001   7.012576217932354e-001
 1.074413407821229e+000   2.909830794846643e-001  -5.340555735827145e-001   7.022616300425238e-001
 1.076592178770950e+000   3.165686418596113e-001  -5.346238609163302e-001   7.034306524746999e-001
 1.078770949720670e+000   3.421328571760937e-001  -5.351112958047988e-001   7.047691191385949e-001
 1.080949720670391e+000   3.676626280277162e-001  -5.355141826918509e-001   7.062806789590671e-001
 1.083128491620112e+000   3.931446889273121e-001  -5.358290830445113e-001   7.079682531029706e-001
 1.085307262569833e+000   4.185656958891866e-001  -5.360528736255936e-001   7.098339891404784e-001
 1.087486033519553e+000   4.439123940881983e-001  -5.361828778992502e-001   7.118791567179854e-001
 1.089664804469274e+000   4.691717573683568e-001  -5.362169090694243e-001   7.141042256836766e-001
 1.091843575418995e+000   4.943311248026844e-001  -5.361533750196481e-001   7.165088031749015e-001
 1.094022346368716e+000   5.193784378762122e-001  -5.359914385135745e-001   7.190915677331706e-001
 1.096201117318436e+000   5.443023260653706e-001  -5.357310063802454e-001   7.218503747004171e-001
 1.098379888268157e+000   5.690923002247562e-001  -5.353728523485001e-001   7.247821925646870e-001
 1.100558659217878e+000   5.937389624530787e-001  -5.349187011491193e-001   7.278831087438044e-001
 1.102737430167599e+000   6.182339864212837e-001  -5.343711446867496e-001   7.311484562268739e-001
 1.104916201117319e+000   6.425703180630898e-001  -5.337337402967892e-001   7.345727749311748e-001
 1.107094972067040e+000   6.667422485428609e-001  -5.330109805185770e-001   7.381498839821425e-001
 1.109273743016761e+000   6.907453105171261e-001  -5.322081611428404e-001   7.418729941195308e-001
 1.111452513966482e+000   7.145764343798216e-001  -5.313314053541631e-001   7.457346935164274e-001
 1.113631284916202e+000   7.382338469608325e-001  -5.303874820214150e-001   7.497270492890917e-001
 1.115810055865923e+000   7.617169167509392e-001  -5.293836462395946e-001   7.538416890808619e-001
 1.117988826815644e+000   7.850261999891302e-001  -5.283275358684419e-001   7.580698013851377e-001
 1.120167597765365e+000   8.081632266325574e-001  -5.272269600014756e-001   7.624021988124640e-001
 1.122346368715085e+000   8.311303751988994e-001  -5.260897866478689e-001   7.668293414947983e-001
 1.124525139664806e+000   8.539308701379831e-001  -5.249237971249096e-001   7.713412845248872e-001
 1.126703910614527e+000   8.765686233738416e-001  -5.237365515611961e-001   7.759276729380165e-001
 1.128882681564247e+000   8.990481654883996e-001  -5.225353131461996e-001   7.805777141409415e-001
 1.131061452513968e+000   9.213746303975253e-001  -5.213268861669869e-001   7.852800467196085e-001
 1.133240223463689e+000   9.435535782795073e-001  -5.201175824170571e-001   7.900226998722651e-001
 1.135418994413410e+000   9.655909139160085e-001  -5.189131817180156e-001   7.947930211838250e-001
 1.137597765363130e+000   9.874927613732714e-001  -5.177188429311361e-001   7.995774803676429e-001
 1.139776536312851e+000   1.009265308602991e+000  -5.165391809524912e-001   8.043616841133173e-001
 1.141955307262572e+000   1.030914724541695e+000  -5.153782600273620e-001   8.091303000325175e-001
 1.144134078212293e+000   1.052447035372122e+000  -5.142395880260893e-001   8.138669419237427e-001
 1.146312849162013e+000   1.073868084920469e+000  -5.131262242826886e-001   8.185543274089091e-001
 1.148491620111734e+000   1.095183487487924e+000  -5.120407892364527e-001   8.231742756151534e-001
 1.150670391061455e+000   1.116398586947445e+000  -5.109855103986516e-001   8.277078331571527e-001
 1.152849162011176e+000   1.137518478249120e+000  -5.099623158206085e-001   8.321355637109735e-001
 1.155027932960896e+000   1.158547977170214e+000  -5.089728530633060e-001   8.364377170424967e-001
