---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.FileName = "LLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
 1.115810055865923e+000   6.640979438171920e-001  -1.268912781372316e-001   4.386269099172879e-001
 1.117988826815644e+000   6.757090249864286e-001  -1.272843034336680e-001   4.370795170381313e-001
 1.120167597765365e+000   6.873258712294901e-001  -1.276412665125950e-001   4.357978587751840e-001
 1.122346368715085e+000   6.989594738487200e-001  -1.279596322678794e-001   4.347840990992097e-001
 1.124525139664806e+000   7.106205212620528e-001  -1.282373355029200e-001   4.340392646026010e-001
 1.126703910614527e+000   7.223196338546073e-001  -1.284728798631200e-001   4.335632917482451e-001
 1.128882681564247e+000   7.340674900125667e-001  -1.286654076058353e-001   4.333549967206105e-001
 1.131061452513968e+000   7.458750344713516e-001  -1.288149106983668e-001   4.334118152180332e-001
 1.133240223463689e+000   7.577536014557874e-001  -1.289222323247651e-001   4.337297806688608e-001
 1.135418994413410e+000   7.697150000618795e-001  -1.289891091604970e-001   4.343034105878841e-001
 1.137597765363130e+000   7.817716792947252e-001  -1.290182897303162e-001   4.351253716713217e-001
 1.139776536312851e+000   7.939367070924400e-001  -1.290133730676004e-001   4.361866063677004e-001
 1.141955307262572e+000   8.062238051399510e-001  -1.289787840085293e-001   4.374762390285752e-001
 1.144134078212293e+000   8.186473610419502e-001  -1.289196943210258e-001   4.389814377488896e-001
 1.146312849162013e+000   8.312222337882058e-001  -1.288417830183866e-001   4.406877200321945e-001
 1.148491620111734e+000   8.439636710912110e-001  -1.287511372822870e-001   4.425789365429446e-001
 1.150670391061455e+000   8.568870977582427e-001  -1.286540415669363e-001   4.446374017945959e-001
 1.152849162011176e+000   8.700079377471506e-001  -1.285567962957009e-001   4.468442796635470e-001
 1.155027932960896e+000   8.833414736939218e-001  -1.284655757914550e-001   4.491796958842053e-001
 1.157206703910617e+000   8.969026624556326e-001  -1.283862288556679e-001   4.516230880141408e-001
 1.159385474860338e+000   9.107060660702124e-001  -1.283242034342622e-001   4.541535407543681e-001
 1.161564245810059e+000   9.247656969924984e-001  -1.282843932118519e-001   4.567500369200171e-001
