---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.FileName = "RMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
 9.959776536312823e-001  -9.843035723987536e-001  -2.859125012347212e-001   5.810233532760879e-001
 9.981564245810030e-001  -9.548726924641030e-001  -2.849575165949278e-001   5.857842268555462e-001
 1.000335195530724e+000  -9.251661542100460e-001  -2.840524706038523e-001   5.903126260196384e-001
 1.002513966480444e+000  -8.952019461418511e-001  -2.832012853449739e-001   5.946069585458366e-001
 1.004692737430165e+000  -8.649983554949761e-001  -2.824077609725753e-001   5.986654885528953e-001
 1.006871508379886e+000  -8.345740086722973e-001  -2.816755041406941e-001   6.024862680858708e-001
 1.009050279329607e+000  -8.039478901280088e-001  -2.810079009687047e-001   6.060671559730197e-001
 1.011229050279327e+000  -7.731394415980949e-001  -2.804080390642536e-001   6.094058435644999e-001
 1.013407821229048e+000  -7.421684847966225e-001  -2.798787038945361e-001   6.125000065369228e-001
 1.015586592178769e+000  -7.110551641954535e-001  -2.794223733806337e-001   6.153473939394227e-001
 1.017765363128490e+000  -6.798198897112354e-001  -2.790411570172779e-001   6.179459849244737e-001
 1.019944134078210e+000  -6.484831802079758e-001  -2.787368072379806e-001   6.202940771625556e-001
 1.022122905027931e+000  -6.170655657635589e-001  -2.785107008575024e-001   6.223903460071423e-001
 1.024301675977652e+000  -5.855873982991307e-001  -2.783637578390559e-001   6.242339711096033e-001
 1.026480446927373e+000  -5.540687005813144e-001  -2.782964458735694e-001   6.258246328638875e-001
 1.028659217877093e+000  -5.225290410617607e-001  -2.783087352997395e-001   6.271625571910834e-001
 1.030837988826814e+000  -4.909872994272057e-001  -2.783999969864028e-001   6.282486065857336e-001
 1.033016759776535e+000  -4.594616059369103e-001  -2.785690396134998e-001   6.290842235104208e-001
 1.035195530726256e+000  -4.279691953711720e-001  -2.788140599324832e-001   6.296714696037495e-001
 1.037374301675976e+000  -3.965261918100009e-001  -2.791325939399181e-001   6.300130571247772e-001
 1.039553072625697e+000  -3.651476392388419e-001  -2.795216031434527e-001   6.301122552510531e-001
 1.041731843575418e+000  -3.338473361367954e-001  -2.799774443786612e-001   6.299729138064750e-001
 1.043910614525138e+000  -3.026377021262008e-001  -2.804958994569675e-001   6.295994363805224e-001
 1.046089385474859e+000  -2.715298834766806e-001  -2.810722866566445e-001   6.289966833850740e-001
 1.048268156424580e+000  -2.405335890714610e-001  -2.817014713067123e-001   6.281699769654487e-001
 1.050446927374301e+000  -2.096570747816385e-001  -2.823779701917613e-001   6.271250334750532e-001
 1.052625698324021e+000  -1.789072892022650e-001  -2.830960603340124e-001   6.258678843672471e-001
 1.054804469273742e+000  -1.482897404302001e-001  -2.838498453419035e-001   6.244048628999909e-001
 1.056983240223463e+000  -1.178085993832002e-001  -2.846333913729709e-001   6.227425300656277e-001
 1.059162011173184e+000  -8.746684881514197e-002  -2.854408074135513e-001   6.208876162670256e-001
 1.061340782122904e+000  -5.726620363578425e-002  -2.862663547013098e-001   6.188469863364290e-001
 1.063519553072625e+000  -2.720727222456832e-002  -2.871045472335861e-001   6.166275712708502e-001
 1.065698324022346e+000   2.710341479411557e-003  -2.879502001263292e-001   6.142363368263372e-001
 1.067877094972067e+000   3.248810854128333e-002  -2.887985595727858e-001   6.116802526583631e-001
 1.070055865921787e+000   6.212843957945349e-002  -2.896453530423611e-001   6.089662769029076e-001
 1.072234636871508e+000   9.163463062968433e-002  -2.904868223866254e-001   6.061013546839558e-001
 1.074413407821229e+000   1.210109242378693e-001  -2.913198551272223e-001   6.030924222188031e-001
