---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.FileName = "RLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
 9.763687150837966e-001  -1.268101884229944e+000  -3.811324080690484e-001   5.665333257208113e-001
 9.785474860335173e-001  -1.241887084469496e+000  -3.797738874588764e-001   5.738373218145176e-001
 9.807262569832379e-001  -1.215284136937004e+000  -3.784248558399029e-001   5.808953729326721e-001
 9.829050279329585e-001  -1.188307327211319e+000  -3.770907648011456e-001   5.876981464207475e-001
 9.850837988826792e-001  -1.160971729991021e+000  -3.757767340901768e-001   5.942372807857468e-001
 9.872625698323998e-001  -1.133293130636241e+000  -3.744875623077114e-001   6.005054662574254e-001
 9.894413407821204e-001  -1.105287886256724e+000  -3.732277785601051e-001   6.064963171485970e-001
 9.916201117318411e-001  -1.076972916949613e+000  -3.720016313223476e-001   6.122044365304287e-001
 9.937988826815617e-001  -1.048365588942430e+000  -3.708130975515721e-001   6.176253407444546e-001
 9.959776536312823e-001  -1.019483598591897e+000  -3.696659197564801e-001   6.227553201562185e-001
 9.981564245810030e-001  -9.903449286024428e-001  -3.685635948811893e-001   6.275914683807217e-001
 1.000335195530724e+000  -9.609677608543844e-001  -3.675094187184901e-001   6.321315875469312e-001
 1.002513966480444e+000  -9.313704202945597e-001  -3.665065251776732e-001   6.363740890300126e-001
 1.004692737430165e+000  -9.015713427553799e-001  -3.655578960243880e-001   6.403180124083744e-001
 1.006871508379886e+000  -8.715890198949204e-001  -3.646663874148024e-001   6.439629276600045e-001
 1.009050279329607e+000  -8.414419785498906e-001  -3.638347356873654e-001   6.473088742104570e-001
 1.011229050279327e+000  -8.111487684749779e-001  -3.630655304973223e-001   6.503563808573132e-001
 1.013407821229048e+000  -7.807279686789750e-001  -3.623611935191063e-001   6.531064033389443e-001
 1.015586592178769e+000  -7.501981867531926e-001  -3.617239603901312e-001   6.555603023088191e-001
 1.017765363128490e+000  -7.195780546909305e-001  -3.611558161931100e-001   6.577198848411214e-001
 1.019944134078210e+000  -6.888861627005126e-001  -3.606584806110893e-001   6.595873506796004e-001
 1.022122905027931e+000  -6.581409981109517e-001  -3.602333810357337e-001   6.611652829074737e-001
 1.024301675977652e+000  -6.273607953067810e-001  -3.598815686683790e-001   6.624566724737526e-001
 1.026480446927373e+000  -5.965634228646919e-001  -3.596037071236028e-001   6.634648574084394e-001
 1.028659217877093e+000  -5.657662737845157e-001  -3.594000252145910e-001   6.641935220293934e-001
 1.030837988826814e+000  -5.349860473190508e-001  -3.592702160865375e-001   6.646467119695401e-001
 1.033016759776535e+000  -5.042386926658052e-001  -3.592134663998683e-001   6.648287771402767e-001
 1.035195530726256e+000  -4.735392629450821e-001  -3.592284098704376e-001   6.647443742095608e-001
 1.037374301675976e+000  -4.429016915284248e-001  -3.593130847609277e-001   6.643984535228057e-001
 1.039553072625697e+000  -4.123388111223861e-001  -3.594650165302892e-001   6.637961960584247e-001
 1.041731843575418e+000  -3.818621737587286e-001  -3.596811965506278e-001   6.629430042420295e-001
 1.043910614525138e+000  -3.514818902879493e-001  -3.599581218848988e-001   6.618444615153827e-001
 1.046089385474859e+000  -3.212067219697237e-001  -3.602919044980959e-001   6.605062784565260e-001
 1.048268156424580e+000  -2.910438866828012e-001  -3.606782965874003e-001   6.589342693138645e-001
 1.050446927374301e+000  -2.609990096650996e-001  -3.611128053045307e-001   6.571342983671515e-001
 1.052625698324021e+000  -2.310762608904234e-001  -3.615907984174611e-001   6.551122452303809e-001
 1.054804469273742e+000  -2.012781791106510e-001  -3.621075901720291e-001   6.528739725035142e-001
 1.056983240223463e+000  -1.716057508628305e-001  -3.626585824142677e-001   6.504252886936405e-001
 1.059162011173184e+000  -1.420585599464428e-001  -3.632393397507051e-001   6.477719310594715e-001
 1.061340782122904e+000  -1.126346607527246e-001  -3.638457193514727e-001   6.449195292996232e-001
 1.063519553072625e+000  -8.333074045963260e-002  -3.644739656436269e-001   6.418735928974713e-001
 1.065698324022346e+000  -5.414223147431644e-002  -3.651207507826255e-001   6.386395183611786e-001
 1.067877094972067e+000  -2.506320786691349e-002  -3.657833178417578e-001   6.352225865907776e-001
 1.070055865921787e+000   3.913441272705074e-003  -3.664595096918555e-001   6.316280161634235e-001
 1.072234636871508e+000   3.279593454312443e-002  -3.671477896172101e-001   6.278610037392174e-001
 1.074413407821229e+000   6.159364963221992e-002  -3.678473660740503e-001   6.239267998813864e-001
 1.076592178770950e+000   9.031691106569187e-002  -3.685581275700755e-001   6.198307986174239e-001
 1.078770949720670e+000   1.189769330321609e-001  -3.692806369754216e-001   6.155786025207954e-001
 1.080949720670391e+000   1.475858200353738e-001  -3.700161692357591e-001   6.111761625368624e-001
 1.083128491620112e+000   1.761564010677291e-001  -3.707665771107787e-001   6.066298335060669e-001
 1.085307262569833e+000   2.047022048437783e-001  -3.715342669757585e-001   6.019464498318686e-001
 1.087486033519553e+000   2.332374350362401e-001  -3.723221659522188e-001   5.971334659073706e-001
 1.089664804469274e+000   2.617768118887330e-001  -3.731335983410746e-001   5.921989512499613e-001
