---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.FileName = "LASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
 9.327932960893840e-001  -9.507816557184690e-001  -1.711567697590676e-001   9.871147916811636e-001
 9.349720670391046e-001  -9.310424324789443e-001  -1.722990560583342e-001   9.872439023230586e-001
 9.371508379888253e-001  -9.113844689009083e-001  -1.734195981178103e-001   9.874220074042940e-001
 9.393296089385459e-001  -8.918060861623927e-001  -1.745098647628463e-001   9.876530772104840e-001
 9.415083798882665e-001  -8.723049672994011e-001  -1.755622267072230e-001   9.879398417464924e-001
 9.436871508379872e-001  -8.528782098451179e-001  -1.765700495366291e-001   9.882838108509465e-001
 9.458659217877078e-001  -8.335223928610412e-001  -1.775276655667041e-001   9.886853922579126e-001
 9.480446927374284e-001  -8.142335383071300e-001  -1.784305541747705e-001   9.891437915082711e-001
 9.502234636871491e-001  -7.950071924800373e-001  -1.792753152258177e-001   9.896571607227582e-001
 9.524022346368697e-001  -7.758385136626274e-001  -1.800595993406084e-001   9.902227252512399e-001
 9.545810055865903e-001  -7.567223288475852e-001  -1.807822230222623e-001   9.908367661329230e-001
 9.567597765363110e-001  -7.376533066500502e-001  -1.814430074312861e-001   9.914948197424248e-001
 9.589385474860316e-001  -7.186260461102247e-001  -1.820426810619552e-001   9.921917882015034e-001
 9.611173184357522e-001  -6.996351957145478e-001  -1.825828727449441e-001   9.929220041812145e-001
 9.632960893854728e-001  -6.806755511530321e-001  -1.830658810298058e-001   9.936794264810389e-001
 9.654748603351935e-001  -6.617421141061082e-001  -1.834945763580070e-001   9.944577305544526e-001
 9.676536312849141e-001  -6.428302095759325e-001  -1.838723033258099e-001   9.952504256565177e-001
 9.698324022346347e-001  -6.239355093049259e-001  -1.842026945944711e-001   9.960510068922638e-001
 9.720111731843554e-001  -6.050540719150035e-001  -1.844895868730699e-001   9.968530452404325e-001
 9.741899441340760e-001  -5.861824162834564e-001  -1.847368859938133e-001   9.976503467384624e-001
 9.763687150837966e-001  -5.673174764226343e-001  -1.849484412550065e-001   9.984370235739072e-001
 9.785474860335173e-001  -5.484566201558040e-001  -1.851279570360681e-001   9.992075763244525e-001
 9.807262569832379e-001  -5.295976467672594e-001  -1.852788552918224e-001   9.999570048496239e-001
 9.829050279329585e-001  -5.107386952826544e-001  -1.854042414267473e-001   1.000680784251862e+000
 9.850837988826792e-001  -4.918782315172319e-001  -1.855068305822991e-001   1.001374919462994e+000
 9.872625698323998e-001  -4.730149951854989e-001  -1.855888881554415e-001   1.002035950373576e+000
 9.894413407821204e-001  -4.541479305085792e-001  -1.856522689281388e-001   1.002660855944900e+000
 9.916201117318411e-001  -4.352761665238801e-001  -1.856983737088745e-001   1.003247052210196e+000
 9.937988826815617e-001  -4.163989589412505e-001  -1.857281686011240e-001   1.003792309262995e+000
 9.959776536312823e-001  -3.975156401039624e-001  -1.857422530992214e-001   1.004294660955827e+000
 9.981564245810030e-001  -3.786255838394536e-001  -1.857408537971434e-001   1.004752368935711e+000
 1.000335195530724e+000  -3.597281506058186e-001  -1.857238994202619e-001   1.005163830467293e+000
 1.002513966480444e+000  -3.408226593101117e-001  -1.856910921043767e-001   1.005527518972557e+000
 1.004692737430165e+000  -3.219083456212442e-001  -1.856419470925791e-001   1.005841930892592e+000
 1.006871508379886e+000  -3.029843389397600e-001  -1.855758917900347e-001   1.006105525092271e+000
 1.009050279329607e+000  -2.840496630724272e-001  -1.854923219596723e-001   1.006316696372708e+000
 1.011229050279327e+000  -2.651032231325212e-001  -1.853906722977943e-001   1.006473729247482e+000
 1.013407821229048e+000  -2.461438335899693e-001  -1.852704753103104e-001   1.006574775272219e+000
 1.015586592178769e+000  -2.271702362317354e-001  -1.851313872226723e-001   1.006617840793736e+000
 1.017765363128490e+000  -2.081811204700758e-001  -1.849732406391063e-001   1.006600745359646e+000
 1.019944134078210e+000  -1.891751678387403e-001  -1.847960423112016e-001   1.006521127172270e+000
 1.022122905027931e+000  -1.701510806466313e-001  -1.845999766610379e-001   1.006376439389729e+000
 1.024301675977652e+000  -1.511076388639264e-001  -1.843854229094119e-001   1.006163929770363e+000
 1.026480446927373e+000  -1.320437319944431e-001  -1.841529214969059e-001   1.005880681201728e+000
 1.028659217877093e+000  -1.129583851989653e-001  -1.839031667126602e-001   1.005523628046932e+000
 1.030837988826814e+000  -9.385079918653620e-002  -1.836369922040783e-001   1.005089599132892e+000
 1.033016759776535e+000  -7.472034216225648e-002  -1.833553229622736e-001   1.004575394433077e+000
 1.035195530726256e+000  -5.556656820582212e-002  -1.830591537252036e-001   1.003977837093035e+000
 1.037374301675976e+000  -3.638924439033075e-002  -1.827495043377875e-001   1.003293872683154e+000
 1.039553072625697e+000  -1.718834286124047e-002  -1.824273824467938e-001   1.002520630766479e+000
 1.041731843575418e+000   2.035926814682468e-003  -1.820937525930560e-001   1.001655510637047e+000
 1.043910614525138e+000   2.128308151667906e-002  -1.817494919341289e-001   1.000696316012308e+000
