---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.FileName = "rfbk.txt"
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Search = 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px
col2  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py
col3  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
 1.018917197452228e+000  -7.980422253973477e-001  -2.624569286050589e-001   5.905068977754102e-001
 1.021401273885349e+000  -7.587539108827764e-001  -2.596721871627066e-001   5.929756517476627e-001
 1.023885350318470e+000  -7.199240605744600e-001  -2.572563191367089e-001   5.950733453310256e-001
 1.026369426751591e+000  -6.819476921432368e-001  -2.552889344487425e-001   5.967785861557273e-001
 1.028853503184712e+000  -6.449285091407226e-001  -2.537781319674872e-001   5.981054647420755e-001
 1.031337579617833e+000  -6.086530635473532e-001  -2.526233086038884e-001   5.990454833318304e-001
 1.033821656050954e+000  -5.727794008577113e-001  -2.516463363278658e-001   5.995516437800658e-001
 1.036305732484075e+000  -5.370184947676315e-001  -2.506342184205012e-001   5.995343445170671e-001
 1.038789808917197e+000  -5.012815053137658e-001  -2.493897415872694e-001   5.988663846333573e-001
 1.041273885350318e+000  -4.656657425360089e-001  -2.477839541620080e-001   5.974184708236724e-001
 1.043757961783439e+000  -4.302965687755520e-001  -2.458272310921448e-001   5.951639407369213e-001
 1.046242038216560e+000  -3.950991024623301e-001  -2.437670285954963e-001   5.923393875566738e-001
 1.048726114649681e+000  -3.594927061388379e-001  -2.422299511469589e-001   5.896808872598970e-001
 1.051210191082802e+000  -3.221555343781288e-001  -2.423723777059909e-001   5.886643715869581e-001
 1.053694267515923e+000  -2.812237876711927e-001  -2.458204141838755e-001   5.914272129364120e-001
 1.056178343949044e+000  -2.349022177918804e-001  -2.542274973571675e-001   6.001847290164026e-001
 1.058662420382165e+000  -1.825813786683494e-001  -2.683129377342066e-001   6.159711300912976e-001
 1.061146496815286e+000  -1.260335163446415e-001  -2.866345906894152e-001   6.370355073860196e-001
 1.063630573248408e+000  -6.900265997213227e-002  -3.059509660769840e-001   6.592663021873565e-001
 1.066114649681529e+000  -1.586501612868480e-002  -3.224876826957511e-001   6.777965671358106e-001
 1.068598726114650e+000   3.055697008496948e-002  -3.339811589761108e-001   6.896411895844101e-001
 1.071082802547771e+000   6.995885888549183e-002  -3.403636463610417e-001   6.946536291593299e-001
 1.073566878980892e+000   1.037880826648533e-001  -3.429277976910894e-001   6.944941203882863e-001
 1.076050955414013e+000   1.341830272443219e-001  -3.433446669394382e-001   6.913744590163889e-001
 1.078535031847134e+000   1.629316029085935e-001  -3.428527573886171e-001   6.869844000322317e-001
 1.081019108280255e+000   1.911842978232213e-001  -3.421358773505218e-001   6.822957140561113e-001
 1.083503184713376e+000   2.195327654597308e-001  -3.414527140212869e-001   6.777063152547964e-001
 1.085987261146497e+000   2.481585942760264e-001  -3.408067086351133e-001   6.732442525757925e-001
 1.088471337579618e+000   2.769900481370499e-001  -3.401179872880369e-001   6.687800089119632e-001
 1.090955414012740e+000   3.058381866908385e-001  -3.393212033783473e-001   6.641591511087592e-001
 1.093439490445861e+000   3.345057412807515e-001  -3.383932240571985e-001   6.592530628788949e-001
 1.095923566878982e+000   3.628687500723155e-001  -3.373538509726211e-001   6.539756940447571e-001
 1.098407643312103e+000   3.909221726347926e-001  -3.362498032958160e-001   6.482779158293827e-001
 1.100891719745224e+000   4.187468811808927e-001  -3.351372949818032e-001   6.421332801998678e-001
 1.103375796178345e+000   4.464634678332740e-001  -3.340707142661838e-001   6.355277950851613e-001
 1.105859872611466e+000   4.741916561851374e-001  -3.330952828091842e-001   6.284530704718652e-001
 1.108343949044587e+000   5.020259638485858e-001  -3.322442018519967e-001   6.209035007347736e-001
 1.110828025477708e+000   5.300358649644731e-001  -3.315413927635844e-001   6.128786148337713e-001
 1.113312101910829e+000   5.582770736625294e-001  -3.310041811836593e-001   6.043867866985266e-001
 1.115796178343951e+000   5.868056038382555e-001  -3.306455354673739e-001   5.954487238296752e-001
 1.118280254777072e+000   6.156894497461766e-001  -3.304757684451456e-001   5.860991309019414e-001
 1.120764331210193e+000   6.450026497357203e-001  -3.305041685786887e-001   5.763850580556208e-001
 1.123248407643314e+000   6.748141236251265e-001  -3.307387838214458e-001   5.663641579196672e-001
 1.125732484076435e+000   7.051775625329928e-001  -3.311845816233444e-001   5.561031472047761e-001
 1.128216560509556e+000   7.361309546599354e-001  -3.318393021747749e-001   5.456767030079395e-001
 1.130700636942677e+000   7.677099219784290e-001  -3.326922682240536e-001   5.351678466208112e-001
 1.133184713375798e+000   7.999562813767138e-001  -3.337281192215642e-001   5.246686353683517e-001
 1.135668789808919e+000   8.329186541402629e-001  -3.349342552998326e-001   5.142792783437139e-001
 1.138152866242040e+000   8.666347164534386e-001  -3.363121224822800e-001   5.041009948673205e-001
 1.140636942675162e+000   9.011136091598674e-001  -3.378820920037198e-001   4.942224522246391e-001
 1.143121019108283e+000   9.363333573466652e-001  -3.396800734152043e-001   4.847089985811508e-001
 1.145605095541404e+000   9.722465250891200e-001  -3.417471740145923e-001   4.755961521566730e-001
 1.148089171974525e+000   1.008786375556915e+000  -3.441106122292732e-001   4.668964718529738e-001
 1.150573248407646e+000   1.045862832913832e+000  -3.467743108729450e-001   4.586165388952160e-001
 1.153057324840767e+000   1.083369619207587e+000  -3.497238353011143e-001   4.507655967938267e-001
 1.155541401273888e+000   1.121202536195034e+000  -3.529403632265769e-001   4.433556966829849e-001
