---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 9.981564245810030e-001  -5.585063711951528e-001  -2.375584082278649e-001   1.279905490136784e+000
 1.000335195530724e+000  -5.391118267401046e-001  -2.374645771741366e-001   1.280161372219778e+000
 1.002513966480444e+000  -5.197127762886074e-001  -2.373318353302683e-001   1.280344927696510e+000
 1.004692737430165e+000  -5.003083141797333e-001  -2.371553552121086e-001   1.280458232868672e+000
 1.006871508379886e+000  -4.808977040398468e-001  -2.369311577756983e-001   1.280503268787675e+000
 1.009050279329607e+000  -4.614803547089869e-001  -2.366560661463722e-001   1.280481856309477e+000
 1.011229050279327e+000  -4.420558139487854e-001  -2.363277942561882e-001   1.280395538216602e+000
 1.013407821229048e+000  -4.226237191530578e-001  -2.359448245228896e-001   1.280245526242480e+000
 1.015586592178769e+000  -4.031837705673216e-001  -2.355063431811759e-001   1.280032675634602e+000
 1.017765363128490e+000  -3.837356997721375e-001  -2.350122500965240e-001   1.279757393651259e+000
 1.019944134078210e+000  -3.642792446948752e-001  -2.344630000358073e-001   1.279419658441685e+000
 1.022122905027931e+000  -3.448141414134566e-001  -2.338595422583575e-001   1.279019009115720e+000
 1.024301675977652e+000  -3.253401193786588e-001  -2.332032699608237e-001   1.278554486658388e+000
 1.026480446927373e+000  -3.058569042551525e-001  -2.324958840092676e-001   1.278024690776969e+000
 1.028659217877093e+000  -2.863642208982777e-001  -2.317393439197011e-001   1.277427774021346e+000
 1.030837988826814e+000  -2.668618023635202e-001  -2.309358001076204e-001   1.276761424157850e+000
 1.033016759776535e+000  -2.473494030484011e-001  -2.300875138377344e-001   1.276022953824572e+000
 1.035195530726256e+000  -2.278268113323185e-001  -2.291968228841411e-001   1.275209313401758e+000
 1.037374301675976e+000  -2.082938710778808e-001  -2.282660937880312e-001   1.274317141372509e+000
 1.039553072625697e+000  -1.887504789845063e-001  -2.272976980993304e-001   1.273342865764441e+000
