---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.FileName = "RFTM2.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RFTM2.MarkerPositionFile.pz
 9.981564245810030e-001  -1.155554845043009e+000  -2.871282377658062e-001   5.275574339727597e-001
 1.000335195530724e+000  -1.127217139543735e+000  -2.843674731680208e-001   5.349131064198290e-001
 1.002513966480444e+000  -1.098507948425733e+000  -2.816421968965299e-001   5.418514927542811e-001
 1.004692737430165e+000  -1.069450582682175e+000  -2.789545168428231e-001   5.483654155319073e-001
 1.006871508379886e+000  -1.040068343021614e+000  -2.763062710206831e-001   5.544485210153788e-001
 1.009050279329607e+000  -1.010384335386761e+000  -2.736990626205526e-001   5.600951363713504e-001
 1.011229050279327e+000  -9.804212100040110e-001  -2.711342601238828e-001   5.653002298024170e-001
 1.013407821229048e+000  -9.502011086226330e-001  -2.686130648255014e-001   5.700592857475396e-001
 1.015586592178769e+000  -9.197456639187545e-001  -2.661365652519937e-001   5.743682566933553e-001
 1.017765363128490e+000  -8.890759477136654e-001  -2.637058270882444e-001   5.782235818314764e-001
 1.019944134078210e+000  -8.582125248507025e-001  -2.613220415503409e-001   5.816221091924690e-001
 1.022122905027931e+000  -8.271754299631984e-001  -2.589866230038924e-001   5.845610821504149e-001
 1.024301675977652e+000  -7.959840252374790e-001  -2.567014073712929e-001   5.870381730082707e-001
 1.026480446927373e+000  -7.646569419488806e-001  -2.544687253116533e-001   5.890514384496487e-001
 1.028659217877093e+000  -7.332119699598434e-001  -2.522914892375068e-001   5.905993192986814e-001
 1.030837988826814e+000  -7.016658359107159e-001  -2.501733504579441e-001   5.916806230185254e-001
 1.033016759776535e+000  -6.700342634376587e-001  -2.481186999239140e-001   5.922944086370520e-001
 1.035195530726256e+000  -6.383318649524503e-001  -2.461327780118111e-001   5.924399602948540e-001
 1.037374301675976e+000  -6.065719599968626e-001  -2.442218476500346e-001   5.921167997065353e-001
 1.039553072625697e+000  -5.747666033140217e-001  -2.423931401067023e-001   5.913247271115956e-001
 1.041731843575418e+000  -5.429263840173472e-001  -2.406549762010901e-001   5.900639079291250e-001
 1.043910614525138e+000  -5.110602790351201e-001  -2.390168161824740e-001   5.883349721167613e-001
 1.046089385474859e+000  -4.791757791691274e-001  -2.374891058875900e-001   5.861390093149852e-001
 1.048268156424580e+000  -4.472786845903925e-001  -2.360833280907679e-001   5.834776639315648e-001
 1.050446927374301e+000  -4.153729647916860e-001  -2.348118716239714e-001   5.803532338208660e-001
 1.052625698324021e+000  -3.834608111348710e-001  -2.336878354379761e-001   5.767686959029924e-001
 1.054804469273742e+000  -3.515422811245141e-001  -2.327249684404063e-001   5.727278995522215e-001
 1.056983240223463e+000  -3.196151970688000e-001  -2.319374316419007e-001   5.682357213383346e-001
 1.059162011173184e+000  -2.876752394854576e-001  -2.313396233389437e-001   5.632981185003566e-001
 1.061340782122904e+000  -2.557155883076638e-001  -2.309460076005771e-001   5.579224558186575e-001
 1.063519553072625e+000  -2.237270269043506e-001  -2.307708692367372e-001   5.521176660221079e-001
 1.065698324022346e+000  -1.916980663032124e-001  -2.308281800141730e-001   5.458943154782308e-001
 1.067877094972067e+000  -1.596146670269832e-001  -2.311313409811741e-001   5.392650438163371e-001
 1.070055865921787e+000  -1.274605246552810e-001  -2.316930136663893e-001   5.322446179773089e-001
 1.072234636871508e+000  -9.521720679867257e-002  -2.325250116060745e-001   5.248500051673019e-001
 1.074413407821229e+000  -6.286405412295962e-002  -2.336379877246572e-001   5.171008498252280e-001
 1.076592178770950e+000  -3.037863145828584e-002  -2.350413676949015e-001   5.090193650627352e-001
 1.078770949720670e+000   2.263106216951819e-003  -2.367432340574402e-001   5.006304233797145e-001
 1.080949720670391e+000   3.508665478514640e-002  -2.387499936309884e-001   4.919619602788015e-001
 1.083128491620112e+000   6.811842082738231e-002  -2.410664323490084e-001   4.830446670911576e-001
 1.085307262569833e+000   1.013854092424927e-001  -2.436955912721323e-001   4.739120914959217e-001
 1.087486033519553e+000   1.349144936306612e-001  -2.466385432053315e-001   4.646008858213200e-001
 1.089664804469274e+000   1.687315675646081e-001  -2.498946402571168e-001   4.551504666875775e-001
 1.091843575418995e+000   2.028608080731510e-001  -2.534614286908647e-001   4.456031719980599e-001
 1.094022346368716e+000   2.373235411862300e-001  -2.573345569259645e-001   4.360043329699844e-001
 1.096201117318436e+000   2.721382820745158e-001  -2.615079001618277e-001   4.264016399748112e-001
 1.098379888268157e+000   3.073203629377822e-001  -2.659733202971559e-001   4.168450045510968e-001
 1.100558659217878e+000   3.428820479007603e-001  -2.707204721587133e-001   4.073858612859174e-001
 1.102737430167599e+000   3.788329436956665e-001  -2.757370610747617e-001   3.980764693945761e-001
 1.104916201117319e+000   4.151797569294219e-001  -2.810086924334830e-001   3.889694255534145e-001
 1.107094972067040e+000   4.519259891894544e-001  -2.865190025276788e-001   3.801168573205274e-001
 1.109273743016761e+000   4.890717644891620e-001  -2.922498139600018e-001   3.715699231222530e-001
 1.111452513966482e+000   5.266127941498086e-001  -2.981808609150153e-001   3.633780206877393e-001
 1.113631284916202e+000   5.645397903168498e-001  -3.042897751902473e-001   3.555879488645730e-001
 1.115810055865923e+000   6.028387228214498e-001  -3.105523150631804e-001   3.482435811768837e-001
 1.117988826815644e+000   6.414902634982024e-001  -3.169423056826165e-001   3.413848008856088e-001
 1.120167597765365e+000   6.804706570031680e-001  -3.234321382371069e-001   3.350470922349910e-001
 1.122346368715085e+000   7.197522970520293e-001  -3.299930697158548e-001   3.292614271851304e-001
 1.124525139664806e+000   7.593038086435856e-001  -3.365954315917005e-001   3.240532300688481e-001
 1.126703910614527e+000   7.990910108232822e-001  -3.432090769416655e-001   3.194425619450414e-001
 1.128882681564247e+000   8.390774041345380e-001  -3.498036266563567e-001   3.154441409691797e-001
 1.131061452513968e+000   8.792246317541701e-001  -3.563488450670790e-001   3.120666192332698e-001
 1.133240223463689e+000   9.194933785391397e-001  -3.628149938618456e-001   3.093133240369834e-001
 1.135418994413410e+000   9.598438163321513e-001  -3.691730691914973e-001   3.071823619895576e-001
 1.137597765363130e+000   1.000236304859417e+000  -3.753952710097303e-001   3.056664128543977e-001
 1.139776536312851e+000   1.040631878728773e+000  -3.814551569873649e-001   3.047537535731479e-001
 1.141955307262572e+000   1.080992584812561e+000  -3.873278844525233e-001   3.044284254634164e-001
 1.144134078212293e+000   1.121281972031843e+000  -3.929906401091322e-001   3.046705052529137e-001
 1.146312849162013e+000   1.161465120464471e+000  -3.984226169961606e-001   3.054570450055504e-001
 1.148491620111734e+000   1.201508876995384e+000  -4.036053099273784e-001   3.067622643841493e-001
 1.150670391061455e+000   1.241382105228475e+000  -4.085229127603865e-001   3.085579957933166e-001
 1.152849162011176e+000   1.281055501436526e+000  -4.131621829043226e-001   3.108143352597349e-001
 1.155027932960896e+000   1.320501774975159e+000  -4.175128066340911e-001   3.134998361219064e-001
 1.157206703910617e+000   1.359695659098250e+000  -4.215676183465078e-001   3.165819616917653e-001
 1.159385474860338e+000   1.398613679671465e+000  -4.253223347452949e-001   3.200274954416424e-001
 1.161564245810059e+000   1.437234322503824e+000  -4.287759092718887e-001   3.238027791182927e-001
 1.163743016759779e+000   1.475537979230736e+000  -4.319304911408204e-001   3.278741057260540e-001
 1.165921787709500e+000   1.513506712317090e+000  -4.347910767884813e-001   3.322079194682874e-001
 1.168100558659221e+000   1.551124355122033e+000  -4.373657478345035e-001   3.367710545968186e-001
 1.170279329608942e+000   1.588376239761203e+000  -4.396653275015771e-001   3.415309108548251e-001
 1.172458100558662e+000   1.625248975629479e+000  -4.417030248827851e-001   3.464555159891992e-001
 1.174636871508383e+000   1.661730455910450e+000  -4.434944861379767e-001   3.515137488789492e-001
 1.176815642458104e+000   1.697809669127515e+000  -4.450572619621008e-001   3.566755086629985e-001
 1.178994413407825e+000   1.733476615756246e+000  -4.464104493841045e-001   3.619118457233712e-001
 1.181173184357545e+000   1.768722408382179e+000  -4.475744245075969e-001   3.671954216203535e-001
 1.183351955307266e+000   1.803539121711361e+000  -4.485702166772367e-001   3.725006613097240e-001
 1.185530726256987e+000   1.837919705385544e+000  -4.494191958585485e-001   3.778038447340515e-001
 1.187709497206708e+000   1.871857922925861e+000  -4.501426335160871e-001   3.830834593219549e-001
 1.189888268156428e+000   1.905348074235640e+000  -4.507613385504242e-001   3.883199540271748e-001
 1.192067039106149e+000   1.938384897061694e+000  -4.512954180103574e-001   3.934957324384424e-001
 1.194245810055870e+000   1.970963481897887e+000  -4.517638228168771e-001   3.985952767072251e-001
 1.196424581005591e+000   2.003079211689338e+000  -4.521842222836559e-001   4.036048088563612e-001
 1.198603351955311e+000   2.034727790721982e+000  -4.525728041796648e-001   4.085122653652662e-001
 1.200782122905032e+000   2.065905387622744e+000  -4.529440100295378e-001   4.133072186196530e-001
 1.202960893854753e+000   2.096608831029226e+000  -4.533107627092708e-001   4.179805359091374e-001
 1.205139664804473e+000   2.126835864234399e+000  -4.536844191325788e-001   4.225243522271073e-001
 1.207318435754194e+000   2.156585506484239e+000  -4.540748791391839e-001   4.269319953320373e-001
 1.209497206703915e+000   2.185857725595056e+000  -4.544908832533994e-001   4.311977354658690e-001
 1.211675977653636e+000   2.214653216133275e+000  -4.549400280728400e-001   4.353167365173822e-001
 1.213854748603356e+000   2.242972451575119e+000  -4.554288738188002e-001   4.392847552715566e-001
 1.216033519553077e+000   2.270815238788266e+000  -4.559630962983650e-001   4.430977932537727e-001
 1.218212290502798e+000   2.298180257334045e+000  -4.565474294093720e-001   4.467517853382690e-001
 1.220391061452519e+000   2.325065288871649e+000  -4.571856897694084e-001   4.502420893077801e-001
 1.222569832402239e+000   2.351467710270641e+000  -4.578808415280177e-001   4.535632557996103e-001
 1.224748603351960e+000   2.377385061392629e+000  -4.586348677549469e-001   4.567086005890401e-001
 1.226927374301681e+000   2.402815812405781e+000  -4.594487922995748e-001   4.596699951088239e-001
 1.229106145251402e+000   2.427759681884826e+000  -4.603227758993982e-001   4.624378732490674e-001
 1.231284916201122e+000   2.452218285772207e+000  -4.612560833337577e-001   4.650009625610002e-001
 1.233463687150843e+000   2.476195389709906e+000  -4.622473375247205e-001   4.673464154750018e-001
 1.235642458100564e+000   2.499696983829700e+000  -4.632946605101451e-001   4.694599098106988e-001
 1.237821229050285e+000   2.522731764976290e+000  -4.643957832834893e-001   4.713255399968896e-001
 1.240000000000005e+000   2.545310940698400e+000  -4.655481660668595e-001   4.729260955720633e-001
