---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.FileName = "RLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
 9.349720670391046e-001  -1.314749696263496e+000  -4.417309106350173e-001   5.224448836864623e-001
 9.371508379888253e-001  -1.294590059012785e+000  -4.428643009576680e-001   5.234843240867904e-001
 9.393296089385459e-001  -1.274185948152267e+000  -4.440319013577480e-001   5.243912884811067e-001
 9.415083798882665e-001  -1.253543034996399e+000  -4.452323471139397e-001   5.251688330659903e-001
 9.436871508379872e-001  -1.232666277736980e+000  -4.464639486175588e-001   5.258195337516080e-001
 9.458659217877078e-001  -1.211560058212861e+000  -4.477248011446169e-001   5.263456222715689e-001
 9.480446927374284e-001  -1.190228225579878e+000  -4.490128713300234e-001   5.267490868569270e-001
 9.502234636871491e-001  -1.168674244827267e+000  -4.503261387375572e-001   5.270318641581931e-001
 9.524022346368697e-001  -1.146901270420963e+000  -4.516626711609745e-001   5.271959328763834e-001
 9.545810055865903e-001  -1.124912166053955e+000  -4.530207439610279e-001   5.272434403768420e-001
 9.567597765363110e-001  -1.102709568058188e+000  -4.543989125905707e-001   5.271767834175850e-001
 9.589385474860316e-001  -1.080295908875668e+000  -4.557960382447775e-001   5.269986467606985e-001
 9.611173184357522e-001  -1.057673406846443e+000  -4.572113639331342e-001   5.267121061045132e-001
 9.632960893854728e-001  -1.034844088998288e+000  -4.586444777088145e-001   5.263206360210895e-001
 9.654748603351935e-001  -1.011809800933443e+000  -4.600952997815298e-001   5.258281270894682e-001
 9.676536312849141e-001  -9.885722130462958e-001  -4.615640852912549e-001   5.252389517549135e-001
 9.698324022346347e-001  -9.651328697953564e-001  -4.630513312945627e-001   5.245578909466833e-001
 9.720111731843554e-001  -9.414931983788549e-001  -4.645577410607294e-001   5.237901175945033e-001
 9.741899441340760e-001  -9.176544956615486e-001  -4.660841674398621e-001   5.229411630420380e-001
