Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  2.410000000000000e+00,  9.400382515390290e-02, -1.176199785923082e-01,  1.861910422556552e-01,  2.897765259180850e-01, -7.143163985649020e-02,  3.526031956253963e-01
  2.420000000000000e+00,  7.228418928695519e-02, -1.206955229810254e-01,  1.831671704682079e-01,  2.780151615954554e-01, -7.917184133316732e-02,  3.495347229776881e-01
  2.430000000000000e+00,  5.043359438362321e-02, -1.233152217935989e-01,  1.796967126631902e-01,  2.659962577241097e-01, -8.637195767086021e-02,  3.460597154913164e-01
  2.440000000000000e+00,  2.852874003345923e-02, -1.255042811306870e-01,  1.758165906560645e-01,  2.538676096557812e-01, -9.312836088040478e-02,  3.422604547692696e-01
  2.450000000000000e+00,  6.641815424940373e-03, -1.272835374240620e-01,  1.715407361529035e-01,  2.417714300129010e-01, -9.953854959476756e-02,  3.382690182833609e-01
  2.460000000000000e+00, -1.515890640250846e-02, -1.286727921984605e-01,  1.668710175742769e-01,  2.298408764848443e-01, -1.056971150144071e-01,  3.342592122701433e-01
  2.470000000000000e+00, -3.681015030384605e-02, -1.296915536432000e-01,  1.618127688132444e-01,  2.181968567563352e-01, -1.116954060555446e-01,  3.304243205206543e-01
  2.480000000000000e+00, -5.825605086492706e-02, -1.303584904609900e-01,  1.563890117899724e-01,  2.069448181158124e-01, -1.176218478183731e-01,  3.269500257780584e-01
  2.490000000000000e+00, -7.944709956752771e-02, -1.306911462276483e-01,  1.506458049707312e-01,  1.961744076362532e-01, -1.235614604346943e-01,  3.239935189079424e-01
  2.500000000000000e+00, -1.003312240352089e-01, -1.307061496927209e-01,  1.446477342491321e-01,  1.859649753793071e-01, -1.295961380619149e-01,  3.216716563331583e-01
  2.510000000000000e+00, -1.208400815807355e-01, -1.304204835458993e-01,  1.384713822690629e-01,  1.763948137314408e-01, -1.358057750568891e-01,  3.200535467216387e-01
  2.520000000000000e+00, -1.408809852922963e-01, -1.298547625620041e-01,  1.322028793609659e-01,  1.675480332559030e-01, -1.422676151605076e-01,  3.191548697387137e-01
  2.530000000000000e+00, -1.603371103772622e-01, -1.290383019338350e-01,  1.259369115140768e-01,  1.595165191637210e-01, -1.490528497427134e-01,  3.189379468254220e-01
  2.540000000000000e+00, -1.790695382098695e-01, -1.280151156675140e-01,  1.197720641019847e-01,  1.523985209249051e-01, -1.562216942135559e-01,  3.193223938988679e-01
  2.550000000000000e+00, -1.969223246679656e-01, -1.268482353040996e-01,  1.138020866743846e-01,  1.462944724796016e-01, -1.638186526755178e-01,  3.202028923510404e-01
  2.560000000000000e+00, -2.137360877783810e-01, -1.256187538727855e-01,  1.081065996676771e-01,  1.412999803287034e-01, -1.718695804473064e-01,  3.214650160736137e-01
  2.570000000000000e+00, -2.293675434550113e-01, -1.244193334431132e-01,  1.027443989982557e-01,  1.374969194854247e-01, -1.803806795919989e-01,  3.229944700245073e-01
  2.580000000000000e+00, -2.437086974119331e-01, -1.233445595615952e-01,  9.775068426015106e-02,  1.349441422982547e-01, -1.893384602498861e-01,  3.246794903381158e-01
  2.590000000000000e+00, -2.567022456862779e-01, -1.224802239579301e-01,  9.313815353221737e-02,  1.336695600245822e-01, -1.987105205013237e-01,  3.264070594004007e-01
  2.600000000000000e+00, -2.683534742340448e-01, -1.218938027548244e-01,  8.890169294191147e-02,  1.336643190184757e-01, -2.084477087291891e-01,  3.280553137313612e-01
  2.610000000000000e+00, -2.787407046591147e-01, -1.216282999400444e-01,  8.502458835418460e-02,  1.348788333114422e-01, -2.184863508989711e-01,  3.294868284257316e-01
  2.620000000000000e+00, -2.880224929026011e-01, -1.216995760552815e-01,  8.148045241817369e-02,  1.372220771343160e-01, -2.287481776113436e-01,  3.305475828542915e-01
  2.630000000000000e+00, -2.964341294112274e-01, -1.220962406429895e-01,  7.822826878485954e-02,  1.405671163233520e-01, -2.391384498202564e-01,  3.310717887786451e-01
  2.640000000000000e+00, -3.042690863963310e-01, -1.227819712733889e-01,  7.520399683348092e-02,  1.447635510770508e-01, -2.495437137104904e-01,  3.308904335766043e-01
  2.650000000000000e+00, -3.118509194408570e-01, -1.236992827808261e-01,  7.231285383419578e-02,  1.496538662674970e-01, -2.598299981372863e-01,  3.298429252444627e-01
  2.660000000000000e+00, -3.195023515666334e-01, -1.247723403331531e-01,  6.942807599220484e-02,  1.550904086264259e-01, -2.698437663632053e-01,  3.277881596052553e-01
  2.670000000000000e+00, -3.275114165178162e-01, -1.259066907896214e-01,  6.640350797161094e-02,  1.609516694729956e-01, -2.794171555287557e-01,  3.246083867393873e-01
  2.680000000000000e+00, -3.360929895697169e-01, -1.269843294397925e-01,  6.310229591564068e-02,  1.671577753064205e-01, -2.883766508720131e-01,  3.202027873683187e-01
  2.690000000000000e+00, -3.453483662071398e-01, -1.278544773833674e-01,  5.943619780604392e-02,  1.736856200668815e-01, -2.965538011861497e-01,  3.144730768930925e-01
  2.700000000000000e+00, -3.552320367023957e-01, -1.283259718178815e-01,  5.540246056652012e-02,  1.805818517023870e-01, -3.037950073275728e-01,  3.073092202631055e-01
  2.710000000000000e+00, -3.655436951627448e-01, -1.281717143523373e-01,  5.109991737508801e-02,  1.879659416862128e-01, -3.099639678255326e-01,  2.985883024989179e-01
  2.720000000000000e+00, -3.759643820687142e-01, -1.271494074281390e-01,  4.672128488312350e-02,  1.960171073936484e-01, -3.149329783834123e-01,  2.881753758059945e-01
  2.730000000000000e+00, -3.861140233705649e-01, -1.250435707414495e-01,  4.246835228048126e-02,  2.049346200505722e-01, -3.185563140872285e-01,  2.760321056514142e-01
  2.740000000000000e+00, -3.956433454370505e-01, -1.216856870333578e-01,  3.854947610988084e-02,  2.149141454908387e-01, -3.206578512814025e-01,  2.621440572183508e-01
  2.750000000000000e+00, -4.042743136005508e-01, -1.169740695864234e-01,  3.510821359900174e-02,  2.261203882696861e-01, -3.210150129323784e-01,  2.465880957088024e-01
  2.760000000000000e+00, -4.118214098862284e-01, -1.108702098108760e-01,  3.221754007678396e-02,  2.386860417155418e-01, -3.193605944706487e-01,  2.294981971416677e-01
  2.770000000000000e+00, -4.181818954970699e-01, -1.033905927367185e-01,  2.988365509837723e-02,  2.527251968669337e-01, -3.153904273144222e-01,  2.110365291058105e-01
  2.780000000000000e+00, -4.233092238816265e-01, -9.460050908971218e-02,  2.805541616536771e-02,  2.683548847211916e-01, -3.087732183026956e-01,  1.913730375573126e-01
  2.790000000000000e+00, -4.271803998109251e-01, -8.461218072230414e-02,  2.663468642758447e-02,  2.857170752028831e-01, -2.991624280891582e-01,  1.706812945175467e-01
  2.800000000000000e+00, -4.297655246242281e-01, -7.358626394555490e-02,  2.548881650528589e-02,  3.049962237629504e-01, -2.862128275425462e-01,  1.491438360299964e-01
  2.810000000000000e+00, -4.310042329739086e-01, -6.173445115376275e-02,  2.446886820341019e-02,  3.264306251095139e-01, -2.696042432467284e-01,  1.269515669188827e-01
  2.820000000000000e+00, -4.307928447963807e-01, -4.931683605433101e-02,  2.343354279274705e-02,  3.503157805784923e-01, -2.490745245947436e-01,  1.042899710723727e-01
  2.830000000000000e+00, -4.289812001876347e-01, -3.662588854177762e-02,  2.226970093427413e-02,  3.769967128876486e-01, -2.244629775997986e-01,  8.132733185053177e-02
  2.840000000000000e+00, -4.253607333739983e-01, -2.395990583340502e-02,  2.089640562019880e-02,  4.068493806131626e-01, -1.957662313420241e-01,  5.824117229504224e-02
  2.850000000000001e+00, -4.196780412283694e-01, -1.157731004309692e-02,  1.927957462817158e-02,  4.402459804864993e-01, -1.631911286863023e-01,  3.522262445719254e-02
  2.860000000000000e+00, -4.115883637945107e-01,  3.183205718999549e-04,  1.740335377118513e-02,  4.775219631027723e-01, -1.272349425057917e-01,  1.260937881068465e-02
  2.870000000000000e+00, -4.007116130661701e-01,  1.161117911498444e-02,  1.527754046014290e-02,  5.189184889669278e-01, -8.873619202921192e-02, -9.104732606281626e-03
  2.880000000000000e+00, -3.866950539416245e-01,  2.226979882971580e-02,  1.290891259984816e-02,  5.645183687171567e-01, -4.890520850133263e-02, -2.922194780584364e-02
  2.890000000000000e+00, -3.693041347828234e-01,  3.232056873896227e-02,  1.027448506660491e-02,  6.141846273755803e-01, -9.285592356376186e-03, -4.686075398704351e-02
  2.900000000000000e+00, -3.485015864951478e-01,  4.180223945418260e-02,  7.311102126427373e-03,  6.675241123924003e-01,  2.837410503871289e-02, -6.104720456443911e-02
  2.910000000000000e+00, -3.244831975443402e-01,  5.071837355220454e-02,  3.932767146167086e-03,  7.238914231453862e-01,  6.231653253486395e-02, -7.085220274343371e-02
  2.920000000000000e+00, -2.976557398328511e-01,  5.900596612937226e-02,  7.015339770947876e-05,  7.824360137725448e-01,  9.097944266590026e-02, -7.552299791164679e-02
  2.930000000000000e+00, -2.685670803746996e-01,  6.653021354735622e-02, -4.286144039982634e-03,  8.421813550326575e-01,  1.131562471788728e-01, -7.456831507973391e-02
  2.940000000000000e+00, -2.378162194266541e-01,  7.310281238312100e-02, -9.058982691670141e-03,  9.021120807326710e-01,  1.281035515898105e-01, -6.779232346355127e-02
  2.950000000000000e+00, -2.059712196475224e-01,  7.851622162193750e-02, -1.408373540251946e-02,  9.612439493491991e-01,  1.356072012859078e-01, -5.530764318175106e-02
  2.960000000000000e+00, -1.735116530216335e-01,  8.258746816738860e-02, -1.913046207693452e-02,  1.018665830654775e+00,  1.360000459567920e-01, -3.755207471084165e-02
  2.970000000000000e+00, -1.408019069079136e-01,  8.519899947546294e-02, -2.394349867590720e-02,  1.073559289010931e+00,  1.301065359730498e-01, -1.529541623100214e-02
  2.980000000000000e+00, -1.080956047762112e-01,  8.632089803912946e-02, -2.828608625251125e-02,  1.125207265159343e+00,  1.191062803903669e-01,  1.038979749360468e-02
