Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_PlaneOfElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_Elevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_InternalAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  1.850000000000000e+00, -4.178599431311752e-01,  2.193973610912665e-01,  7.984913230655215e-02,  7.130759461620411e-01, -3.062428169001350e-01,  7.984913230765729e-02,  4.587846677181870e-01, -4.396946140146026e-01, -7.914933856005507e-01,  6.924183608473186e-01,  8.356063614844913e-01,  2.362550976866207e-01,  2.213388525404897e-02
  1.860000000000000e+00, -4.203097042779275e-01,  2.231200081426545e-01,  8.227127198548093e-02,  7.127402539379400e-01, -3.069311416915437e-01,  8.227127198677922e-02,  4.478476284769540e-01, -4.367274506115852e-01, -7.738838875884848e-01,  7.103519752031070e-01,  8.395842221589550e-01,  2.278829886284652e-01,  2.283674500297906e-02
  1.870000000000000e+00, -4.226662900430061e-01,  2.267951574585583e-01,  8.468107901488948e-02,  7.124241314611957e-01, -3.076078279520069e-01,  8.468107901637406e-02,  4.365569894431174e-01, -4.336826575638303e-01, -7.561924934818791e-01,  7.285291620753278e-01,  8.427326433642340e-01,  2.195221118436017e-01,  2.344414957378331e-02
  1.880000000000000e+00, -4.248957687284071e-01,  2.304159361661413e-01,  8.707039697412451e-02,  7.121310065917742e-01, -3.082697006636017e-01,  8.707039697577527e-02,  4.249762873712664e-01, -4.306024305443621e-01, -7.385394640584475e-01,  7.468989541813923e-01,  8.452258260220684e-01,  2.112989535348946e-01,  2.398374551120375e-02
  1.890000000000000e+00, -4.269853830573716e-01,  2.339692216189442e-01,  8.942887320084303e-02,  7.118619392259458e-01, -3.089140869001401e-01,  8.942887320260950e-02,  4.131797351380825e-01, -4.275131288166865e-01, -7.210194220289027e-01,  7.654080280519916e-01,  8.472419077306604e-01,  2.033216772432425e-01,  2.448670333615267e-02
  1.900000000000000e+00, -4.289435880651009e-01,  2.374399690633728e-01,  9.174660219988544e-02,  7.116155843921885e-01, -3.095394101979325e-01,  9.174660220168375e-02,  4.012480015143862e-01, -4.244306776102955e-01, -7.037006818996197e-01,  7.840062012119048e-01,  8.489339927005761e-01,  1.956712907733773e-01,  2.498141216577973e-02
  1.910000000000000e+00, -4.307944843849020e-01,  2.408154304273893e-01,  9.401631795670871e-02,  7.113888084392112e-01, -3.101454154822907e-01,  9.401631795842352e-02,  3.892672923177556e-01, -4.213648548182741e-01, -6.866337775775421e-01,  8.026469581840756e-01,  8.504393736237567e-01,  1.884096097099714e-01,  2.549008189168950e-02
  1.920000000000000e+00, -4.325683565358983e-01,  2.440916362345238e-01,  9.623672840012260e-02,  7.111777383015864e-01, -3.107334803280830e-01,  9.623672846329057e-02,  3.773326176975993e-01, -4.183276578152718e-01, -6.698665121886224e-01,  8.212859886568228e-01,  8.518889304867385e-01,  1.815818946355960e-01,  2.602717196696740e-02
  1.930000000000000e+00, -4.343022433256298e-01,  2.472739264865902e-01,  9.841318210938353e-02,  7.109777893335978e-01, -3.113067506875054e-01,  9.841318215547860e-02,  3.655379157240054e-01, -4.153329953876643e-01, -6.534414639597322e-01,  8.398820424556770e-01,  8.533808407803559e-01,  1.752177162546456e-01,  2.659806262952253e-02
  1.940000000000000e+00, -4.360207879001737e-01,  2.503817532321961e-01,  1.005591240236910e-01,  7.107857936309987e-01, -3.118695970863568e-01,  1.005591240463899e-01,  3.539998572274162e-01, -4.124107843038442e-01, -6.374313471101537e-01,  8.583948685111547e-01,  8.549725105425851e-01,  1.693208684127563e-01,  2.720122904843596e-02
  1.950000000000000e+00, -4.377386200969972e-01,  2.534383124220010e-01,  1.026899324919116e-01,  7.105998296758281e-01, -3.124263017943241e-01,  1.026899324848155e-01,  3.428445846337156e-01, -4.095940681724287e-01, -6.219267540073066e-01,  8.767853933874415e-01,  8.566508861321366e-01,  1.638778343163303e-01,  2.782969665013412e-02
  1.960000000000000e+00, -4.394513842038200e-01,  2.564627678248990e-01,  1.048169935529877e-01,  7.104201627551434e-01, -3.129793471470625e-01,  1.048169935518173e-01,  3.321985023094626e-01, -4.069115406244813e-01, -6.070325586225717e-01,  8.950147423727662e-01,  8.583373893878203e-01,  1.588543954803323e-01,  2.847317163457881e-02
  1.970000000000000e+00, -4.411381307160160e-01,  2.594678016768510e-01,  1.069461265041437e-01,  7.102489052192614e-01, -3.135292104534022e-01,  1.069461265019491e-01,  3.221932203292084e-01, -4.043867455356813e-01, -5.928708304080064e-01,  9.130443619796544e-01,  8.599043716697474e-01,  1.541827741947692e-01,  2.911785449073341e-02
  1.980000000000000e+00, -4.427595989111145e-01,  2.624530565719467e-01,  1.090728211173806e-01,  7.100900738421269e-01, -3.140732766085890e-01,  1.090728211140853e-01,  3.129279843802676e-01, -4.020269045830586e-01, -5.795493988182228e-01,  9.308340526711707e-01,  8.611990859123921e-01,  1.497538714232336e-01,  2.974827670890882e-02
  1.990000000000000e+00, -4.442697674816328e-01,  2.654089241644351e-01,  1.111855201922225e-01,  7.099482601843131e-01, -3.146071244000630e-01,  1.111855201920604e-01,  3.044854075242017e-01, -3.998280725091238e-01, -5.671660795023236e-01,  9.483362291597827e-01,  8.620874928026471e-01,  1.454442193655894e-01,  3.035147460492328e-02
  2.000000000000000e+00, -4.456176920446633e-01,  2.683181458158757e-01,  1.132666130885642e-01,  7.098283680964148e-01, -3.151248574109649e-01,  1.132666130883442e-01,  2.969310280115334e-01, -3.977757359625071e-01, -5.558022355035838e-01,  9.654902609921262e-01,  8.625039305687051e-01,  1.411592398260240e-01,  3.092286334993463e-02
  2.010000000000000e+00, -4.467660336172625e-01,  2.711623244572072e-01,  1.152985975792837e-01,  7.097336944247821e-01, -3.156212630402577e-01,  1.152985975789846e-01,  2.903340445159350e-01, -3.958544394306709e-01, -5.455303330408471e-01,  9.822228131097493e-01,  8.624504189186283e-01,  1.368499771762202e-01,  3.146478056104798e-02
  2.020000000000000e+00, -4.476886924130559e-01,  2.739317802168983e-01,  1.172705916545344e-01,  7.096663167248786e-01, -3.160931154878348e-01,  1.172705916541122e-01,  2.847679680743091e-01, -3.940623064316363e-01, -5.364199743525080e-01,  9.984510151017386e-01,  8.619723819829557e-01,  1.324760382777903e-01,  3.198069958052873e-02
  2.030000000000000e+00, -4.483715982276492e-01,  2.766361690995345e-01,  1.191859695372505e-01,  7.096272433689715e-01, -3.165408309376936e-01,  1.191859695372290e-01,  2.803131101666762e-01, -3.924268767375452e-01, -5.285466806328140e-01,  1.014084363273350e+00,  8.611367053546352e-01,  1.279754562543913e-01,  3.247117009453671e-02
  2.040000000000000e+00, -4.488217761404397e-01,  2.793115730257965e-01,  1.210687426773304e-01,  7.096157433087302e-01, -3.169701710300281e-01,  1.210687426772946e-01,  2.770664695908742e-01, -3.910166044029375e-01, -5.220013445430647e-01,  1.029023599015720e+00,  8.600310769787350e-01,  1.232826354064398e-01,  3.293455252516604e-02
  2.050000000000000e+00, -4.490560668936457e-01,  2.820201712630079e-01,  1.229627494263673e-01,  7.096307052931189e-01, -3.173915155018512e-01,  1.229627494263048e-01,  2.751407896861724e-01, -3.899433350775961e-01, -5.168951792874403e-01,  1.043159290163086e+00,  8.587880231966257e-01,  1.183648457576589e-01,  3.337084854999146e-02
  2.060000000000000e+00, -4.491043970313907e-01,  2.848364775463086e-01,  1.249230450782016e-01,  7.096702623548057e-01, -3.178180738966381e-01,  1.249230450780973e-01,  2.746570944106870e-01, -3.893478625209831e-01, -5.133476077089089e-01,  1.056375526678496e+00,  8.575724698606808e-01,  1.132468068366990e-01,  3.378275038802658e-02
