Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.800000000000000e+000, 2.322912995680662e-001, 9.188137412994805e-001,-3.005983714946576e-001,-8.308554729526070e-002, 8.792938766801606e-002,-2.117559816877304e-002,-8.962800836458376e-002, 1.430299659007866e-001,-1.081987424700223e-001,-1.218401753860243e-001,-3.747925786324595e-002, 1.866386408628994e-001
 1.810000000000000e+000, 2.443081977169889e-001, 9.208944483803373e-001,-2.997574843680327e-001,-8.317474326297725e-002, 8.459387643879568e-002,-1.905359105026652e-002,-9.118548714481028e-002, 1.433676334075695e-001,-9.767146585823461e-002,-1.246135522156210e-001,-3.269532760831475e-002, 1.900868359913199e-001
 1.820000000000000e+000, 2.562436713885515e-001, 9.228597528416073e-001,-2.989449616413938e-001,-8.267297929855570e-002, 8.091730093813965e-002,-1.687883011317050e-002,-9.277563356003793e-002, 1.428659761957695e-001,-8.705450653073836e-002,-1.271875366855713e-001,-2.805633094223128e-002, 1.934168155475912e-001
 1.830000000000000e+000, 2.681032794912363e-001, 9.246929144054433e-001,-2.981565054199190e-001,-8.163623722492373e-002, 7.692088336367631e-002,-1.469028059758413e-002,-9.439377467555574e-002, 1.415834448169653e-001,-7.645991327819589e-002,-1.296168702152188e-001,-2.357156829573432e-002, 1.965959729538657e-001
 1.840000000000000e+000, 2.798919619029310e-001, 9.263799317602423e-001,-2.973893722186244e-001,-8.012610665687608e-002, 7.263461242213309e-002,-1.250795295874735e-002,-9.606097346579609e-002, 1.395885850506857e-001,-6.598484976573611e-002,-1.319686211346872e-001,-1.925104377593419e-002, 1.995958757929800e-001
 1.850000000000000e+000, 2.916140762152671e-001, 9.279097085232214e-001,-2.966420296140691e-001,-7.820350790835431e-002, 6.808798067830901e-002,-1.033857036678112e-002,-9.781381774128888e-002, 1.369507174668952e-001,-5.570091743587580e-002,-1.343131752075661e-001,-1.511100858804408e-002, 2.023957168073484e-001
 1.860000000000000e+000, 3.032738369439580e-001, 9.292740661743486e-001,-2.959138162755498e-001,-7.592084538685981e-002, 6.330533098967273e-002,-8.179455414253392e-003,-9.969581261529784e-002, 1.337286298733688e-001,-4.565002279685567e-002,-1.367147353874700e-001,-1.117746365845132e-002, 2.049852051100894e-001
 1.870000000000000e+000, 3.148756426469177e-001, 9.304674869170195e-001,-2.952045624333836e-001,-7.331590933001153e-002, 5.830614209981389e-002,-6.021664139521083e-003,-1.017513340848386e-001, 1.299619878604315e-001,-3.584953420615918e-002,-1.392249928587024e-001,-7.484545441565246e-003, 2.073624595698351e-001
 1.880000000000000e+000, 3.264237575540808e-001, 9.314864408700052e-001,-2.945143554234412e-001,-7.041182404984114e-002, 5.310884400800298e-002,-3.857586568593360e-003,-1.040167704626655e-001, 1.256714634693433e-001,-2.630259560917522e-002,-1.418812462681593e-001,-4.068046865670807e-003, 2.095298392464001e-001
 1.890000000000000e+000, 3.379215337380636e-001, 9.323282389306998e-001,-2.938432843435185e-001,-6.722505042642278e-002, 4.773544030100330e-002,-1.694819658097474e-003,-1.065051063643151e-001, 1.208692152558630e-001,-1.700487626854717e-002,-1.447063995867406e-001,-9.588834400359737e-004, 2.114944963632950e-001
