---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.CreatePressureMapCoefs.CoeffVecOutput.UpdData = 3
Main.CreatePressureMapCoefs.CoeffVecOutput.FileName = "..\Input\BareFootWalk-CoeffVec.txt"
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Digits = 15
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Width = 23
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.Style = ScientificNumber
Main.CreatePressureMapCoefs.CoeffVecOutput.NumberFormat.FormatStr = "%23.15e"
Main.CreatePressureMapCoefs.CoeffVecOutput.Values = 
Main.CreatePressureMapCoefs.CoeffVecOutput.Search = 
Main.CreatePressureMapCoefs.CoeffVecOutput.Format = 0
Main.CreatePressureMapCoefs.CoeffVecOutput.SepSign = " "
Main.CreatePressureMapCoefs.CoeffVecOutput.SepSpaceAutoOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.LineSepSign = ""
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.TitleSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ConstSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ConstSectionSaveOptionsOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.VarSectionOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ColumnNamesOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.LinePrefix = ""
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ShortenNamesOnOff = Off
Main.CreatePressureMapCoefs.CoeffVecOutput.Header.ColumnIDString = "col"
Main.CreatePressureMapCoefs.CoeffVecOutput.ConstSectionSaveOptionsOnOff = On
Main.CreatePressureMapCoefs.CoeffVecOutput.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col159  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[158]
col160  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[159]
col161  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[160]
col162  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[161]
col163  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[162]
col164  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[163]
col165  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[164]
col166  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[165]
col167  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[166]
col168  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[167]
col169  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[168]
col170  Main.CreatePressureMapCoefs.CoeffVecOutput.Ref1[169]
----------------------------------------------------------
