Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Left.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Left.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Left.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  3.500000000000000e-01,  2.464685163762004e+00,  1.614357004053744e-01,  1.841039037242688e+00,  2.993080919201740e-02,  7.064679133596476e-01,  2.067166556262374e-01,  1.870138749127096e-01,  4.926819012064648e-01, -1.476238968992353e-01,  6.510370333189491e-01,  9.683367129464721e-01,  1.664491357662399e-01,  1.198165322549068e-01
  3.600000000000000e-01,  2.465138209825759e+00,  1.599686492500458e-01,  1.842346417491031e+00,  3.024443635289600e-02,  7.063187417494137e-01,  2.067756392855322e-01,  1.876489377060329e-01,  4.919668506201907e-01, -1.443115655661605e-01,  6.546699443577714e-01,  9.657870964368260e-01,  1.651085177725274e-01,  1.207501370014566e-01
  3.700000000000001e-01,  2.465553835193933e+00,  1.585527498500871e-01,  1.843636463443655e+00,  3.054807516244632e-02,  7.061782395713729e-01,  2.068306424530031e-01,  1.882833851214387e-01,  4.914414563856013e-01, -1.409323822776012e-01,  6.582579811362229e-01,  9.632263859006666e-01,  1.637465025515940e-01,  1.216321687207563e-01
  3.800000000000000e-01,  2.465929259748168e+00,  1.571900519348657e-01,  1.844909636714676e+00,  3.084105228220551e-02,  7.060467388977850e-01,  2.068815427487265e-01,  1.889090214634554e-01,  4.910975046784389e-01, -1.374979129324644e-01,  6.617793664814993e-01,  9.606700696896041e-01,  1.623737510247456e-01,  1.224556194992310e-01
  3.900000000000001e-01,  2.466261756854847e+00,  1.558835634797271e-01,  1.846165118240308e+00,  3.112249228619514e-02,  7.059246254083184e-01,  2.069282018790959e-01,  1.895185130571104e-01,  4.909213470466809e-01, -1.340224835269015e-01,  6.652160238353210e-01,  9.581303446812022e-01,  1.609993434247728e-01,  1.232159130960919e-01
  4.000000000000000e-01,  2.466548721459912e+00,  1.546369745284959e-01,  1.847401068420280e+00,  3.139137406393758e-02,  7.058123111683539e-01,  2.069704764056587e-01,  1.901054800540734e-01,  4.908942363010281e-01, -1.305230352823608e-01,  6.685536076451125e-01,  9.556162171518077e-01,  1.596308681990059e-01,  1.239107388336262e-01
  4.100000000000000e-01,  2.466787769076906e+00,  1.534543358086981e-01,  1.848614911905569e+00,  3.164659983399908e-02,  7.057102024662710e-01,  2.070082302528904e-01,  1.906645138485136e-01,  4.909928317648568e-01, -1.270188751158489e-01,  6.717813725627819e-01,  9.531338077229652e-01,  1.582745800848563e-01,  1.245397981819405e-01
  4.200000000000000e-01,  2.466976841521070e+00,  1.523397360431673e-01,  1.849803620182165e+00,  3.188706688664721e-02,  7.056186682306104e-01,  2.070413466856852e-01,  1.911911409184924e-01,  4.911898671670389e-01, -1.235313358832873e-01,  6.748918961810806e-01,  9.506868256106406e-01,  1.569355992032627e-01,  1.251044812304757e-01
  4.300000000000000e-01,  2.467114299546236e+00,  1.512970145864807e-01,  1.850963968589883e+00,  3.211173342960533e-02,  7.055380133410613e-01,  2.070697380546264e-01,  1.916817524918400e-01,  4.914549655150317e-01, -1.200833615699859e-01,  6.778806730988153e-01,  9.482771685878933e-01,  1.556181265852624e-01,  1.256074919573786e-01
  4.400000000000000e-01,  2.467198989556431e+00,  1.503295347180611e-01,  1.852092749963481e+00,  3.231967222779308e-02,  7.054684594744425e-01,  2.070933523443053e-01,  1.921335151603586e-01,  4.917555764934158e-01, -1.166990325725006e-01,  6.807456009504032e-01,  9.459055998303484e-01,  1.543256569288255e-01,  1.260524427381665e-01
  4.500000000000001e-01,  2.467230279390270e+00,  1.494400301355011e-01,  1.853186933799114e+00,  3.251010854527377e-02,  7.054101343786374e-01,  2.071121762987594e-01,  1.925442721187731e-01,  4.920580041920348e-01, -1.134030460457443e-01,  6.834863817759733e-01,  9.435724514885039e-01,  1.530611754477767e-01,  1.264434397276803e-01
  4.600000000000000e-01,  2.467208065163692e+00,  1.486305251635814e-01,  1.854243766828269e+00,  3.268244167875715e-02,  7.053630689587889e-01,  2.071262355078103e-01,  1.929124395991079e-01,  4.923284868647609e-01, -1.102201663557500e-01,  6.861038646208336e-01,  9.412783072413899e-01,  1.518273313833445e-01,  1.267846812768532e-01
  4.700000000000000e-01,  2.467132756170039e+00,  1.479023195957944e-01,  1.855260817308645e+00,  3.283625169080554e-02,  7.053272004951275e-01,  2.071355922435077e-01,  1.932368993899169e-01,  4.925342863349841e-01, -1.071746611628498e-01,  6.885993573947181e-01,  9.390246216324373e-01,  1.506265854547697e-01,  1.270800909723370e-01
  4.800000000000000e-01,  2.467005247334958e+00,  1.472560228542141e-01,  1.856235970581069e+00,  3.297129453694591e-02,  7.053023797706723e-01,  2.071403420126023e-01,  1.935168866291837e-01,  4.926447428396458e-01, -1.042897395332381e-01,  6.909739376346430e-01,  9.368142418666124e-01,  1.494613318963897e-01,  1.273330048701458e-01
  4.900000000000000e-01,  2.466826888756937e+00,  1.466916195081858e-01,  1.857167387084823e+00,  3.308748953577462e-02,  7.052883798440774e-01,  2.071406097605243e-01,  1.937518723598037e-01,  4.926322515428102e-01, -1.015870094911994e-01,  6.932277926287913e-01,  9.346518069837736e-01,  1.483339976320265e-01,  1.275459288833576e-01
  5.000000000000000e-01,  2.466599459977320e+00,  1.462085486916954e-01,  1.858053435905257e+00,  3.318490312741428e-02,  7.052849045450503e-01,  2.071365464818340e-01,  1.939414421374379e-01,  4.924731195124622e-01, -9.908597317089032e-02,  6.953596190479874e-01,  9.325440089697978e-01,  1.472471216106060e-01,  1.277203772249938e-01
  5.100000000000000e-01,  2.466325153650923e+00,  1.458057827240759e-01,  1.858892617135781e+00,  3.326373229258831e-02,  7.052915953360630e-01,  2.071283267303770e-01,  1.940851744412622e-01,  4.921482664975979e-01, -9.680357777490496e-02,  6.973661105466999e-01,  9.304997097231554e-01,  1.462034165271806e-01,  1.278567967248214e-01
  5.200000000000000e-01,  2.466006570042867e+00,  1.454818942930193e-01,  1.859683485137548e+00,  3.332429009222730e-02,  7.053080358257180e-01,  2.071161472453305e-01,  1.941825249318022e-01,  4.916437392414805e-01, -9.475383962462766e-02,  6.992415586630490e-01,  9.285299163644893e-01,  1.452058134334809e-01,  1.279545753017492e-01
  5.300000000000000e-01,  2.465646498922506e+00,  1.452352127695150e-01,  1.860424708501508e+00,  3.336696506096162e-02,  7.053337851357873e-01,  2.071002121933875e-01,  1.942338057916386e-01,  4.909440169136001e-01, -9.294823917387222e-02,  7.009758414572654e-01,  9.266313220670820e-01,  1.442456917093487e-01,  1.280090393410727e-01
  5.400000000000000e-01,  2.465248814873626e+00,  1.450634160442147e-01,  1.861114534609260e+00,  3.339233538312228e-02,  7.053682521452246e-01,  2.070807917060924e-01,  1.942357337487671e-01,  4.900604692598203e-01, -9.139277170753199e-02,  7.025613896611377e-01,  9.248521257256220e-01,  1.433507010860808e-01,  1.280241373530718e-01
  5.500000000000000e-01,  2.464817162795930e+00,  1.449642180432136e-01,  1.861751466295884e+00,  3.340098005653550e-02,  7.054108832780539e-01,  2.070581359253016e-01,  1.941880014943152e-01,  4.889880863654126e-01, -9.009206109403235e-02,  7.039824581885124e-01,  9.231911783034256e-01,  1.425120435207998e-01,  1.279935411041556e-01
  5.600000000000001e-01,  2.464355844872961e+00,  1.449349058221072e-01,  1.862333805266500e+00,  3.339360399792860e-02,  7.054610339838342e-01,  2.070325343400830e-01,  1.940888002403366e-01,  4.877342685588953e-01, -8.904656651550087e-02,  7.052226075297113e-01,  9.216654435495650e-01,  1.417335381463303e-01,  1.279137845322663e-01
  5.700000000000001e-01,  2.463869597973718e+00,  1.449724484550196e-01,  1.862859776562186e+00,  3.337100629123278e-02,  7.055179989090262e-01,  2.070043022110714e-01,  1.939359627519232e-01,  4.863109062635465e-01, -8.825344124252561e-02,  7.062632132983746e-01,  9.202923285876249e-01,  1.410191053655434e-01,  1.277812112438141e-01
  5.800000000000001e-01,  2.463363577126723e+00,  1.450734854954819e-01,  1.863327562731877e+00,  3.333408036041471e-02,  7.055810115717348e-01,  2.069737809080103e-01,  1.937270181963443e-01,  4.847336740952915e-01, -8.770678131939219e-02,  7.070839562927794e-01,  9.190891750947920e-01,  1.403726434871752e-01,  1.275921859748928e-01
  5.900000000000001e-01,  2.462843321598861e+00,  1.452343187081715e-01,  1.863735353778498e+00,  3.328381270868063e-02,  7.056492460771454e-01,  2.069413372756225e-01,  1.934592793956913e-01,  4.830212113600524e-01, -8.739796595018944e-02,  7.076634298379019e-01,  9.180727738819872e-01,  1.397978854851533e-01,  1.273432837949940e-01
  6.000000000000000e-01,  2.462314700327414e+00,  1.454509120546511e-01,  1.864081410203918e+00,  3.322127908407293e-02,  7.057218215799727e-01,  2.069073617218248e-01,  1.931299583463727e-01,  4.811942308730602e-01, -8.731607414321481e-02,  7.079798344287280e-01,  9.172589145541707e-01,  1.392982336224967e-01,  1.270314469514328e-01
  6.100000000000001e-01,  2.461783833693099e+00,  1.457189039055530e-01,  1.864364137494417e+00,  3.314763717996094e-02,  7.057978101288005e-01,  2.068722647426473e-01,  1.927363044656665e-01,  4.792746045206819e-01, -8.744835824025661e-02,  7.080117255838423e-01,  9.166619893283019e-01,  1.388765811487260e-01,  1.266541066520549e-01
  6.200000000000001e-01,  2.461256988820500e+00,  1.460336345867357e-01,  1.864582171304360e+00,  3.306411519386567e-02,  7.058762484701999e-01,  2.068364716129392e-01,  1.922757602300325e-01,  4.772844719970952e-01, -8.778075258241996e-02,  7.077387774439295e-01,  9.162946637792152e-01,  1.385351325590912e-01,  1.262092720067486e-01
  6.300000000000000e-01,  2.460740445958972e+00,  1.463901915980489e-01,  1.864734473194976e+00,  3.297199577048396e-02,  7.059561543166566e-01,  2.068004149977702e-01,  1.917461297410265e-01,  4.752454133998067e-01, -8.829839445425419e-02,  7.071425238253668e-01,  9.161676200957602e-01,  1.382752352924410e-01,  1.256955919264550e-01
  6.400000000000000e-01,  2.460240334379701e+00,  1.467834741471623e-01,  1.864820436711921e+00,  3.287259504903017e-02,  7.060365474498649e-01,  2.067645252958393e-01,  1.911457567954587e-01,  4.731777176747110e-01, -8.898613465350377e-02,  7.062070405094732e-01,  9.162893713343765e-01,  1.380972361884040e-01,  1.251123974660359e-01
  6.500000000000001e-01,  2.459762437917723e+00,  1.472082779128700e-01,  1.864840002610774e+00,  3.276723675385192e-02,  7.061164757969499e-01,  2.067292186366443e-01,  1.904737097110829e-01,  4.710997685110482e-01, -8.982901648375981e-02,  7.049195375204044e-01,  9.166661391622232e-01,  1.380003757272246e-01,  1.244597316078458e-01
  6.600000000000000e-01,  2.459311972892442e+00,  1.476594000739215e-01,  1.864793780197348e+00,  3.265722153501051e-02,  7.061950462608362e-01,  2.066948826254407e-01,  1.897299700469147e-01,  4.690275586286193e-01, -9.081270447351676e-02,  7.032708375143436e-01,  9.173017835144738e-01,  1.379827322534617e-01,  1.237383711208145e-01
  6.700000000000000e-01,  2.458893344719892e+00,  1.481317634099890e-01,  1.864683169214694e+00,  3.254379212416279e-02,  7.062714595867654e-01,  2.066618601726242e-01,  1.889156211276769e-01,  4.669743337796130e-01, -9.192384733574345e-02,  7.012557252193937e-01,  9.181977710836305e-01,  1.380412271048612e-01,  1.229498416516121e-01
  6.800000000000000e-01,  2.458509893812200e+00,  1.486205566078383e-01,  1.864510473906425e+00,  3.242809533133321e-02,  7.063450479299784e-01,  2.066304320442077e-01,  1.880330299331423e-01,  4.649503602740890e-01, -9.315036328132099e-02,  6.988731620564005e-01,  9.193531706047848e-01,  1.381716998397261e-01,  1.220964234672524e-01
  6.900000000000001e-01,  2.458163645836853e+00,  1.491213857642580e-01,  1.864278998418983e+00,  3.231114245847121e-02,  7.064153131116964e-01,  2.066007990966603e-01,  1.870860127056574e-01,  4.629628050616778e-01, -9.448163958302572e-02,  6.961263686433506e-01,  9.207646659420818e-01,  1.383690604131144e-01,  1.211811420699460e-01
  7.000000000000001e-01,  2.457855085364512e+00,  1.496304296564629e-01,  1.863993111145856e+00,  3.219377028837082e-02,  7.064819629090130e-01,  2.065730654655868e-01,  1.860799712005525e-01,  4.610157153912509e-01, -9.590864216551741e-02,  6.930227850191393e-01,  9.224265820790492e-01,  1.386275217911588e-01,  1.202077360254317e-01
  7.100000000000001e-01,  2.457582974552595e+00,  1.501445890505609e-01,  1.863658265400961e+00,  3.207660531388137e-02,  7.065449422422575e-01,  2.065472242032741e-01,  1.850219837677418e-01,  4.591100853597199e-01, -9.742393493626161e-02,  6.895739236056092e-01,  9.243309231852005e-01,  1.389409117326743e-01,  1.191805943788857e-01
  7.200000000000000e-01,  2.457344239100574e+00,  1.506616185503193e-01,  1.863280965201062e+00,  3.196003420620908e-02,  7.066044559116665e-01,  2.065231469524000e-01,  1.839208342674546e-01,  4.572439985071521e-01, -9.902161258105897e-02,  6.857951330128801e-01,  9.264674251139002e-01,  1.393030561378456e-01,  1.181046581248829e-01
