Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ThoraxClavicula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ClaviculaScapula.Pos[2],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[0],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[1],Main.HumanModel.BodyModel.Interface.Right.RotVectorMeasures.ScapulaHumerus.Pos[2],Main.HumanModel.BodyModel.Interface.Right.ElbowFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Right.ElbowPronation.Pos[0],Main.HumanModel.BodyModel.Interface.Right.WristFlexion.Pos[0],Main.HumanModel.BodyModel.Right.ShoulderArm.Joints.RadioCarpalJointDeviation.Pos[0]
  2.600000000000000e-01,  2.106008672955368e-01, -1.768799702738501e+00, -1.756708992027854e-01,  8.120380167119757e-03,  7.372965470290358e-01,  1.906253486630176e-01,  2.617866994125551e-01,  5.415504238055313e-01, -2.015216164300871e-01,  6.298551878757350e-01,  8.731711982999145e-01,  1.808068211495526e-01,  3.625198320917343e-02
  2.700000000000000e-01,  2.107104488906276e-01, -1.768737816542270e+00, -1.757863102785882e-01,  8.102006512179729e-03,  7.373338988631041e-01,  1.906037501190974e-01,  2.612682533952819e-01,  5.428911157434781e-01, -2.024462893030155e-01,  6.314315896788317e-01,  8.730533485119426e-01,  1.817176775651819e-01,  3.675075591345505e-02
  2.800000000000000e-01,  2.107750015694606e-01, -1.768709848242070e+00, -1.758528604803907e-01,  8.091387508671059e-03,  7.373545832416140e-01,  1.905918132495192e-01,  2.608295395694059e-01,  5.443070586261710e-01, -2.031870122487449e-01,  6.334488404814081e-01,  8.727766430981797e-01,  1.826422658735543e-01,  3.734958266122131e-02
  2.900000000000000e-01,  2.107951254662933e-01, -1.768726315176671e+00, -1.758693709699429e-01,  8.088663022195229e-03,  7.373571021038309e-01,  1.905904418135842e-01,  2.604599905130769e-01,  5.458004938657384e-01, -2.037303814528282e-01,  6.359202064754554e-01,  8.723241585407508e-01,  1.835737986411331e-01,  3.804852764479037e-02
  3.000000000000000e-01,  2.107709591724368e-01, -1.768796562011498e+00, -1.758344093160463e-01,  8.094025482257568e-03,  7.373400312663378e-01,  1.906004890627893e-01,  2.601474365005080e-01,  5.473696165707597e-01, -2.040664610729302e-01,  6.388545711685644e-01,  8.716795147484926e-01,  1.845053577470775e-01,  3.884737467334859e-02
  3.100000000000001e-01,  2.107024579101490e-01, -1.768928485381933e+00, -1.757466046161721e-01,  8.107671045396270e-03,  7.373021357497866e-01,  1.906226898340528e-01,  2.598791260666502e-01,  5.490076083834704e-01, -2.041892247198995e-01,  6.422561518341736e-01,  8.708271306168431e-01,  1.854298628447922e-01,  3.974579705879285e-02
  3.200000000000000e-01,  2.105896866312942e-01, -1.769128310385090e+00, -1.756049675292830e-01,  8.129749636517818e-03,  7.372424804917640e-01,  1.906575956314519e-01,  2.596427450544589e-01,  5.507021097014266e-01, -2.040968770409508e-01,  6.461242722351608e-01,  8.697526747169788e-01,  1.863400932546527e-01,  4.074347417413732e-02
  3.300000000000001e-01,  2.104331037148233e-01, -1.769400427820575e+00, -1.754091907463365e-01,  8.160317445921897e-03,  7.371605284637053e-01,  1.907055174907661e-01,  2.594273638758248e-01,  5.524351903072414e-01, -2.037920302155443e-01,  6.504531982650028e-01,  8.684436802429752e-01,  1.872287579411272e-01,  4.184014435603785e-02
  3.400000000000000e-01,  2.102338121616621e-01, -1.769747297669730e+00, -1.751599071333837e-01,  8.199295218110254e-03,  7.370562190967576e-01,  1.907664808796423e-01,  2.592242462108595e-01,  5.541838320808816e-01, -2.032817176999281e-01,  6.552320435738346e-01,  8.668902694152568e-01,  1.880886031968249e-01,  4.303558960602762e-02
  3.500000000000000e-01,  2.099937584916399e-01, -1.770169421040985e+00, -1.748588864245041e-01,  8.246435177771410e-03,  7.369300213877263e-01,  1.908401959791413e-01,  2.590274620578564e-01,  5.559208905508373e-01, -2.025772376452059e-01,  6.604447517875571e-01,  8.650859148959261e-01,  1.889125447871240e-01,  4.432955348380018e-02
  3.600000000000000e-01,  2.097158646339369e-01, -1.770665379947850e+00, -1.745091565903545e-01,  8.301298746062022e-03,  7.367829579762956e-01,  1.909260454968098e-01,  2.588342636302269e-01,  5.576164581637175e-01, -2.016938300624658e-01,  6.660701602168670e-01,  8.630281566027636e-01,  1.896938103903764e-01,  4.572159924763764e-02
  3.700000000000001e-01,  2.094040843437615e-01, -1.771231941869081e+00, -1.741150422630775e-01,  8.363246380101436e-03,  7.366165986645561e-01,  1.910230908020227e-01,  2.586452026459854e-01,  5.592395158987091e-01, -2.006502035791155e-01,  6.720821467905568e-01,  8.607191929652387e-01,  1.904260788579636e-01,  4.721092009300925e-02
  3.800000000000000e-01,  2.090633823488351e-01, -1.771864223960890e+00, -1.736821192164116e-01,  8.431439999964973e-03,  7.364330240853599e-01,  1.911300957925670e-01,  2.584639899107413e-01,  5.607597350576300e-01, -1.994679381150181e-01,  6.784498577969327e-01,  8.581662761479235e-01,  1.911036049115530e-01,  4.879611677684745e-02
  3.900000000000001e-01,  2.086996407884093e-01, -1.772555909902103e+00, -1.732170901802945e-01,  8.504857600555062e-03,  7.362347623172013e-01,  1.912455665982568e-01,  2.582971201117957e-01,  5.621492803164864e-01, -1.981707977814023e-01,  6.851380096078750e-01,  8.553818598863799e-01,  1.917213211987911e-01,  5.047495976802201e-02
  4.000000000000000e-01,  2.083195028035885e-01, -1.773299510523415e+00, -1.727275926500332e-01,  8.582318911085055e-03,  7.360247029703283e-01,  1.913678042263810e-01,  2.581533035807827e-01,  5.633844695665058e-01, -1.967839928617206e-01,  6.921072538001192e-01,  8.523834740934765e-01,  1.922749137822879e-01,  5.224415336288593e-02
  4.100000000000000e-01,  2.079301668126198e-01, -1.774086657595707e+00, -1.722219531157853e-01,  8.662520336077815e-03,  7.358059945000485e-01,  1.914949664953250e-01,  2.580427601411839e-01,  5.644471648037670e-01, -1.953334305613444e-01,  6.993145926145055e-01,  8.491933291130523e-01,  1.927608715592546e-01,  5.409911809989722e-02
  4.200000000000000e-01,  2.075391468980598e-01, -1.774908418454708e+00, -1.717089043617133e-01,  8.744077021180912e-03,  7.355819311558788e-01,  1.916251353055299e-01,  2.579764368873333e-01,  5.653257985117726e-01, -1.938449916483184e-01,  7.067138310480487e-01,  8.458376804581571e-01,  1.931765141524914e-01,  5.603380566907069e-02
  4.300000000000000e-01,  2.071540150285697e-01, -1.775755617721961e+00, -1.711972830995495e-01,  8.825569635499270e-03,  7.353558361078257e-01,  1.917563852775472e-01,  2.579652118311866e-01,  5.660159774493346e-01, -1.923438649224082e-01,  7.142560530743726e-01,  8.423460083252795e-01,  1.935200056726664e-01,  5.804055776895783e-02
  4.400000000000000e-01,  2.067821399326845e-01, -1.776619151443764e+00, -1.706957246400514e-01,  8.905593371220072e-03,  7.351309469826071e-01,  1.918868500682577e-01,  2.580191397413256e-01,  5.665206457998151e-01, -1.908539646127618e-01,  7.218901121737566e-01,  8.387500822904099e-01,  1.937903628098008e-01,  6.011001747746011e-02
  4.500000000000001e-01,  2.064304358478856e-01, -1.777490278826399e+00, -1.702123699428067e-01,  8.982806676611652e-03,  7.349103094153530e-01,  1.920147831438434e-01,  2.581467868435754e-01,  5.668498274763119e-01, -1.893974482977581e-01,  7.295631298247158e-01,  8.350829886767475e-01,  1.939874649067233e-01,  6.223109899395791e-02
  4.600000000000000e-01,  2.061051325853987e-01, -1.778360877635601e+00, -1.697545986466095e-01,  9.055977321362511e-03,  7.346966833975639e-01,  1.921386103624703e-01,  2.583546893030316e-01,  5.670199989896849e-01, -1.879943456319958e-01,  7.372209991609134e-01,  8.313781957073743e-01,  1.941120712493336e-01,  6.439101919292506e-02
  4.700000000000000e-01,  2.058115766305395e-01, -1.779223651258756e+00, -1.693287997897918e-01,  9.124023535259151e-03,  7.344924662751204e-01,  1.922569723357580e-01,  2.586469582087146e-01,  5.670531670922045e-01, -1.866623016103262e-01,  7.448088938948021e-01,  8.276687208031281e-01,  1.941658472163156e-01,  6.657539226563272e-02
  4.800000000000000e-01,  2.055540713581785e-01, -1.780072278248811e+00, -1.689401899240879e-01,  9.186048176011112e-03,  7.342996352707704e-01,  1.923687551549352e-01,  2.590250423205849e-01,  5.669757382720946e-01, -1.854164325575945e-01,  7.522717842848560e-01,  8.239864474442846e-01,  1.941513968953098e-01,  6.876838659525751e-02
  4.900000000000000e-01,  2.053357628094815e-01, -1.780901498688968e+00, -1.685926861510571e-01,  9.241364185328683e-03,  7.341197113978316e-01,  1.924731086702322e-01,  2.594876498558972e-01,  5.668172702547249e-01, -1.842692885581048e-01,  7.595549621061606e-01,  8.203616186216112e-01,  1.940722960412197e-01,  7.095294063600624e-02
  5.000000000000000e-01,  2.051585756689309e-01, -1.781707135724796e+00, -1.682888391412026e-01,  9.289510011179150e-03,  7.339537455853985e-01,  1.925694521040000e-01,  2.600308223358430e-01,  5.666091903286204e-01, -1.832309124176620e-01,  7.666045752291211e-01,  8.168225130084467e-01,  1.939331164542271e-01,  7.311103182041356e-02
  5.100000000000000e-01,  2.050232019227317e-01, -1.782486054754867e+00, -1.680298283226927e-01,  9.330254218531259e-03,  7.338023267498727e-01,  1.926574673647118e-01,  2.606481468523151e-01,  5.663835538211016e-01, -1.823089822372271e-01,  7.733681697781332e-01,  8.133952911957485e-01,  1.937394315059758e-01,  7.522398942925806e-02
  5.200000000000000e-01,  2.049291420872660e-01, -1.783236066662863e+00, -1.678155181440374e-01,  9.363589166554080e-03,  7.336656104452840e-01,  1.927370810041491e-01,  2.613310877376636e-01,  5.661719009674040e-01, -1.815090221399394e-01,  7.797952344000567e-01,  8.101039845580069e-01,  1.934977928521932e-01,  7.727283925763796e-02
  5.300000000000000e-01,  2.048745623377173e-01, -1.783956371627620e+00, -1.676442488938462e-01,  9.389766652075545e-03,  7.335432196293131e-01,  1.928085202922150e-01,  2.620694056377069e-01,  5.659987457682369e-01, -1.808348693022725e-01,  7.858349487078590e-01,  8.069597354757269e-01,  1.932016870894482e-01,  7.923666221072494e-02
  5.400000000000000e-01,  2.048573763765333e-01, -1.784645021631307e+00, -1.675143003002559e-01,  9.409060590570921e-03,  7.334348956095992e-01,  1.928719383888397e-01,  2.628516878019232e-01,  5.659030824145933e-01, -1.802881332192192e-01,  7.914480211379009e-01,  8.040048912028354e-01,  1.928881692473005e-01,  8.110104524714588e-02
  5.500000000000000e-01,  2.048739728797101e-01, -1.785302286130488e+00, -1.674221130842022e-01,  9.422055467758561e-03,  7.333396774937204e-01,  1.929278864438826e-01,  2.636658380004625e-01,  5.659037287046496e-01, -1.798697662310947e-01,  7.965899342068198e-01,  8.012464866348579e-01,  1.925513709041853e-01,  8.284618996947288e-02
  5.600000000000001e-01,  2.049203828384547e-01, -1.785928059417335e+00, -1.673638449140570e-01,  9.429392181801050e-03,  7.332565808760673e-01,  1.929769237318551e-01,  2.644996552049124e-01,  5.660218482956813e-01, -1.795795029901216e-01,  8.012230470014127e-01,  7.987014194528119e-01,  1.922007289777437e-01,  8.445544836563641e-02
  5.700000000000001e-01,  2.049922366437272e-01, -1.786522268925694e+00, -1.673352646707044e-01,  9.431783344858303e-03,  7.331845247640717e-01,  1.930196605628015e-01,  2.653413542800976e-01,  5.662748091188395e-01, -1.794163435205279e-01,  8.053139977415793e-01,  7.963852008464986e-01,  1.918459486211953e-01,  8.591352432713641e-02
  5.800000000000001e-01,  2.050849678346029e-01, -1.787084703338755e+00, -1.673319796345533e-01,  9.429974235075014e-03,  7.331224064795956e-01,  1.930567162457994e-01,  2.661800471472315e-01,  5.666760335903279e-01, -1.793787758456450e-01,  8.088339887009464e-01,  7.943120185177031e-01,  1.914967489037718e-01,  8.720668586748857e-02
  5.900000000000001e-01,  2.051940052204684e-01, -1.787614872762149e+00, -1.673496454205513e-01,  9.424706526076364e-03,  7.330691686822829e-01,  1.930886816512216e-01,  2.670061521684763e-01,  5.672349932662646e-01, -1.794649410370724e-01,  8.117589820791571e-01,  7.924947367513214e-01,  1.911625982143500e-01,  8.832291659049776e-02
  6.000000000000000e-01,  2.053149442791180e-01, -1.788111909245977e+00, -1.673841484269125e-01,  9.416686630975564e-03,  7.330238552089626e-01,  1.931160881782144e-01,  2.678117126950998e-01,  5.679573270097971e-01, -1.796727332805813e-01,  8.140698010880530e-01,  7.909448263189948e-01,  1.908524442121495e-01,  8.925200390235397e-02
