Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  1.090000000000000e+00, -2.882693438907640e-01, -3.808669949577004e-02,  1.442138238017410e-01,  1.536848331770658e-01, -2.724541127923801e-01,  1.641563348858766e-01
  1.100000000000000e+00, -2.908417648629520e-01, -3.830751915717334e-02,  1.435940747704660e-01,  1.551664287047591e-01, -2.760594278831369e-01,  1.627472397495033e-01
  1.110000000000000e+00, -2.934364736136921e-01, -3.855572208428781e-02,  1.430631567271327e-01,  1.565429294407077e-01, -2.795880753267523e-01,  1.611794232948023e-01
  1.120000000000000e+00, -2.960635799285313e-01, -3.882293783750468e-02,  1.426228535754376e-01,  1.578110637283317e-01, -2.830303581632335e-01,  1.594446572675887e-01
  1.130000000000000e+00, -2.987313890271499e-01, -3.909958574299321e-02,  1.422732080653661e-01,  1.589695577422986e-01, -2.863764259704463e-01,  1.575354264911035e-01
  1.140000000000000e+00, -3.014461256594075e-01, -3.937505240996009e-02,  1.420123343877411e-01,  1.600194524284102e-01, -2.896163256437540e-01,  1.554452675817660e-01
  1.150000000000000e+00, -3.042117419032831e-01, -3.963787096020743e-02,  1.418362932150366e-01,  1.609643867087313e-01, -2.927400227587761e-01,  1.531690971856263e-01
  1.160000000000000e+00, -3.070298213415900e-01, -3.987588034528877e-02,  1.417390444702545e-01,  1.618108340447295e-01, -2.957373857898417e-01,  1.507035097079795e-01
  1.170000000000000e+00, -3.098995875798816e-01, -4.007634535145410e-02,  1.417124912698960e-01,  1.625682821333760e-01, -2.985981265930827e-01,  1.480470225420321e-01
  1.180000000000000e+00, -3.128180185652134e-01, -4.022602296827804e-02,  1.417466260837616e-01,  1.632493494454897e-01, -3.013116921582428e-01,  1.452002448701608e-01
  1.190000000000000e+00, -3.157800600981540e-01, -4.031116825715286e-02,  1.418297868767869e-01,  1.638698372414756e-01, -3.038671047379575e-01,  1.421659449748109e-01
  1.200000000000000e+00, -3.187789228192752e-01, -4.031748190859186e-02,  1.419490265738790e-01,  1.644487210668326e-01, -3.062527500654116e-01,  1.389489915491673e-01
  1.210000000000000e+00, -3.218064378174601e-01, -4.023001136939541e-02,  1.420905933744930e-01,  1.650080908093748e-01, -3.084561165005293e-01,  1.355561476100477e-01
  1.220000000000000e+00, -3.248534381083642e-01, -4.003302668671327e-02,  1.422405120967122e-01,  1.655730523955116e-01, -3.104634915236580e-01,  1.319957020572918e-01
  1.230000000000000e+00, -3.279101278821208e-01, -3.970989995332785e-02,  1.423852479351204e-01,  1.661716063706792e-01, -3.122596259171643e-01,  1.282769340378888e-01
  1.240000000000000e+00, -3.309663998102574e-01, -3.924302243143263e-02,  1.425124241848661e-01,  1.668345183819845e-01, -3.138273800253311e-01,  1.244094188517032e-01
  1.250000000000000e+00, -3.340120636224666e-01, -3.861379526195896e-02,  1.426115555068812e-01,  1.675951937677589e-01, -3.151473702920479e-01,  1.204022003263817e-01
  1.260000000000000e+00, -3.370369567075637e-01, -3.780272754664571e-02,  1.426747495611942e-01,  1.684895634246610e-01, -3.161976374170406e-01,  1.162628717189144e-01
  1.270000000000000e+00, -3.400309187972305e-01, -3.678966922787108e-02,  1.426973239829655e-01,  1.695559817328822e-01, -3.169533595127490e-01,  1.119966229935442e-01
  1.280000000000000e+00, -3.429836263667563e-01, -3.555419569677443e-02,  1.426782844697878e-01,  1.708351307759563e-01, -3.173866342870629e-01,  1.076053240953636e-01
  1.290000000000000e+00, -3.458842964975275e-01, -3.407614699618544e-02,  1.426206146470627e-01,  1.723699196570617e-01, -3.174663533214978e-01,  1.030867191765080e-01
  1.300000000000000e+00, -3.487212830023996e-01, -3.233630783543617e-02,  1.425313400220599e-01,  1.742053643742922e-01, -3.171581888921772e-01,  9.843380417985818e-02
  1.310000000000000e+00, -3.514815984177365e-01, -3.031719680288325e-02,  1.424213461809921e-01,  1.763884329165112e-01, -3.164247095484575e-01,  9.363444980598692e-02
