---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 3.687475796178328e+000  -6.919610195000924e-001  -4.141547615968900e-001   1.025238296273588e-001
 3.701116560509538e+000  -6.425999787123136e-001  -4.124579209321334e-001   1.006553667035346e-001
 3.714757324840748e+000  -5.916704468772726e-001  -4.110663250086528e-001   9.766177800002360e-002
 3.728398089171958e+000  -5.392734436407735e-001  -4.103263725425497e-001   9.392556937341444e-002
 3.742038853503168e+000  -4.856884096096796e-001  -4.103493769368004e-001   8.974223547766776e-002
 3.755679617834378e+000  -4.313145428420716e-001  -4.110144040585843e-001   8.531052264146066e-002
 3.769320382165588e+000  -3.764141031314453e-001  -4.120526620388766e-001   8.083605641125696e-002
 3.782961146496798e+000  -3.210038997736627e-001  -4.131718064861773e-001   7.659581169665664e-002
 3.796601910828008e+000  -2.650581265447418e-001  -4.141749160925340e-001   7.289498413444197e-002
 3.810242675159218e+000  -2.087230710061193e-001  -4.150571567451870e-001   7.002794218770862e-002
 3.823883439490428e+000  -1.523266675647048e-001  -4.159800599617720e-001   6.835807131698431e-002
 3.837524203821638e+000  -9.635157035635235e-002  -4.171058014678012e-001   6.837604428630867e-002
 3.851164968152848e+000  -4.148322277345042e-002  -4.184975252644346e-001   7.057598349563170e-002
 3.864805732484058e+000   1.142828945334867e-002  -4.201151557986410e-001   7.526741059688161e-002
 3.878446496815268e+000   6.154873918396849e-002  -4.217915694924881e-001   8.239122449049738e-002
 3.892087261146478e+000   1.081981735404047e-001  -4.232235664253740e-001   9.138295608373934e-002
 3.905728025477688e+000   1.508576480737850e-001  -4.240436697725055e-001   1.012565592079325e-001
 3.919368789808898e+000   1.891169135970822e-001  -4.239369092579066e-001   1.108619917137584e-001
 3.933009554140108e+000   2.226389099912181e-001  -4.227420416979482e-001   1.190829822210398e-001
 3.946650318471318e+000   2.511612672574423e-001  -4.204827995983091e-001   1.249049993135546e-001
 3.960291082802528e+000   2.745535829599105e-001  -4.172994431233651e-001   1.274816983406480e-001
 3.973931847133738e+000   2.929284430114138e-001  -4.133469573510524e-001   1.262716205424927e-001
 3.987572611464948e+000   3.067899961093702e-001  -4.087751610896769e-001   1.212013065788671e-001
 4.001213375796158e+000   3.171843999480522e-001  -4.038103938403783e-001   1.127516230123603e-001
 4.014854140127368e+000   3.256422141994289e-001  -3.988402494289424e-001   1.019299526898599e-001
 4.028494904458579e+000   3.335683090074039e-001  -3.943972483904436e-001   9.015360368063413e-002
