---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 3.823883439490428e+000  -4.657239847012533e-001  -2.120596848760386e-001   5.577794595558326e-002
 3.837524203821638e+000  -4.658266862015028e-001  -2.118026761760243e-001   5.613644176310389e-002
 3.851164968152848e+000  -4.657961550053206e-001  -2.115609071897788e-001   5.666011843428875e-002
 3.864805732484058e+000  -4.656626909440944e-001  -2.113680915116976e-001   5.733350157022348e-002
 3.878446496815268e+000  -4.654829403353859e-001  -2.112163829277370e-001   5.815790187155446e-002
 3.892087261146478e+000  -4.652714986657929e-001  -2.110820818175156e-001   5.917439184050027e-002
 3.905728025477688e+000  -4.649960150253377e-001  -2.109328600728790e-001   6.040463555028248e-002
 3.919368789808898e+000  -4.645948349007256e-001  -2.107012228633072e-001   6.185316538927471e-002
 3.933009554140108e+000  -4.639929224172396e-001  -2.102879819639744e-001   6.355533626736994e-002
 3.946650318471318e+000  -4.631266907731558e-001  -2.095970266250983e-001   6.558747830776580e-002
 3.960291082802528e+000  -4.619478140231866e-001  -2.085649914745732e-001   6.802577113410638e-002
 3.973931847133738e+000  -4.604181157889049e-001  -2.071772155938676e-001   7.092718985445348e-002
 3.987572611464948e+000  -4.584868424524863e-001  -2.054644182950757e-001   7.434483426592013e-002
 4.001213375796158e+000  -4.560743586381802e-001  -2.034879306539808e-001   7.833836011081398e-002
 4.014854140127368e+000  -4.530670490698630e-001  -2.013147782811096e-001   8.297420628300208e-002
 4.028494904458579e+000  -4.493075090414920e-001  -1.990227679868847e-001   8.832757056456096e-002
 4.042135668789789e+000  -4.445899949132307e-001  -1.967150870480998e-001   9.445689416205157e-002
 4.055776433120999e+000  -4.386443027606630e-001  -1.944652448654811e-001   1.014013926664124e-001
 4.069417197452210e+000  -4.311450625632275e-001  -1.922397464274791e-001   1.091897050969959e-001
