---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 3.742038853503168e+000  -4.187160741030080e-001  -4.994146933862813e-001   7.220672823919537e-001
 3.755679617834378e+000  -3.993257889910917e-001  -5.008967877100544e-001   7.261877519851828e-001
 3.769320382165588e+000  -3.794116816335604e-001  -5.010876180721345e-001   7.292790703995326e-001
 3.782961146496798e+000  -3.596595028687399e-001  -5.006862375472804e-001   7.316823859838955e-001
 3.796601910828008e+000  -3.406740699849679e-001  -5.003131900333606e-001   7.334284014310741e-001
 3.810242675159218e+000  -3.227121987954461e-001  -5.003146619571409e-001   7.343612534110162e-001
 3.823883439490428e+000  -3.057171829495377e-001  -5.007128748575154e-001   7.343978622845583e-001
 3.837524203821638e+000  -2.894926262655772e-001  -5.013887259904148e-001   7.335624933658479e-001
 3.851164968152848e+000  -2.738297362733705e-001  -5.022379458287306e-001   7.319129740964351e-001
 3.864805732484058e+000  -2.585444449847656e-001  -5.031356864557186e-001   7.295046392441755e-001
 3.878446496815268e+000  -2.434860510894793e-001  -5.039372163992872e-001   7.264107943907848e-001
 3.892087261146478e+000  -2.284972779353918e-001  -5.044982279820305e-001   7.227321777895455e-001
 3.905728025477688e+000  -2.133667011127902e-001  -5.046641928288068e-001   7.186188473558568e-001
 3.919368789808898e+000  -1.978390762057742e-001  -5.043809533200691e-001   7.143144066808027e-001
 3.933009554140108e+000  -1.816472878036530e-001  -5.038415148442097e-001   7.101818264754859e-001
 3.946650318471318e+000  -1.645896768673697e-001  -5.034081697788541e-001   7.066071357965821e-001
 3.960291082802528e+000  -1.466304646818418e-001  -5.033406514470501e-001   7.037911925296195e-001
 3.973931847133738e+000  -1.278524129577919e-001  -5.036591053669732e-001   7.016744899683480e-001
 3.987572611464948e+000  -1.083506669819946e-001  -5.042424478554588e-001   7.000855981520709e-001
