---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 3.414660509554129e+000  -1.034676336662128e+000  -5.140262217130678e-001   3.615252193982858e-001
 3.428301273885339e+000  -1.024618481445356e+000  -5.141588432425071e-001   3.626361097270032e-001
 3.441942038216549e+000  -1.013385397759679e+000  -5.141633516257427e-001   3.636653267361434e-001
 3.455582802547759e+000  -1.000883548209956e+000  -5.139679268213575e-001   3.646864071689956e-001
 3.469223566878969e+000  -9.869500435038706e-001  -5.135814052237957e-001   3.658381301029173e-001
 3.482864331210179e+000  -9.712969053580746e-001  -5.131112690051997e-001   3.672704813109044e-001
 3.496505095541389e+000  -9.535932179165862e-001  -5.126901990040900e-001   3.690641646180481e-001
 3.510145859872599e+000  -9.335617184547774e-001  -5.124135893675699e-001   3.712117026189055e-001
 3.523786624203809e+000  -9.109618357530878e-001  -5.123169690974679e-001   3.736152480092652e-001
 3.537427388535019e+000  -8.855907206008448e-001  -5.123602499441096e-001   3.760587872876995e-001
 3.551068152866229e+000  -8.573819060632164e-001  -5.124608326905554e-001   3.782714466001881e-001
 3.564708917197438e+000  -8.265307587029163e-001  -5.125281293305659e-001   3.801035360057703e-001
 3.578349681528648e+000  -7.935200166732219e-001  -5.124802632492499e-001   3.816449421917940e-001
 3.591990445859858e+000  -7.590218975715293e-001  -5.122856087885749e-001   3.832151580943185e-001
 3.605631210191068e+000  -7.237667132787981e-001  -5.119168233357211e-001   3.852274364046038e-001
 3.619271974522278e+000  -6.884502551642697e-001  -5.112869072597641e-001   3.880178037242420e-001
 3.632912738853488e+000  -6.536634314869032e-001  -5.103278173031043e-001   3.917792997710480e-001
 3.646553503184698e+000  -6.197158150651778e-001  -5.091060484379208e-001   3.964861247529438e-001
 3.660194267515908e+000  -5.864952366802740e-001  -5.077969636350959e-001   4.017876378150427e-001
