---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.FileName = "LASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASI.MarkerPositionFile.pz
 2.950874522292990e+000  -1.355525796185192e+000  -1.707136834148462e-001   9.340582847245603e-001
 2.964515286624200e+000  -1.336870790052447e+000  -1.733138241247149e-001   9.341887511298771e-001
 2.978156050955410e+000  -1.318706978528439e+000  -1.758989924398775e-001   9.347714172464184e-001
 2.991796815286619e+000  -1.301000091349852e+000  -1.784565040098881e-001   9.359069796191425e-001
 3.005437579617829e+000  -1.283651489843849e+000  -1.809873156138833e-001   9.376595160729196e-001
 3.019078343949039e+000  -1.266618716533053e+000  -1.833510674513710e-001   9.399639531145281e-001
 3.032719108280249e+000  -1.249930954901402e+000  -1.853324698397240e-001   9.425480726287252e-001
 3.046359872611459e+000  -1.233561353728018e+000  -1.869286833238896e-001   9.450692333804582e-001
 3.060000636942669e+000  -1.217406996602412e+000  -1.883498758193161e-001   9.473374013132340e-001
 3.073641401273879e+000  -1.201368189231447e+000  -1.898108024990342e-001   9.493767190448006e-001
 3.087282165605089e+000  -1.185473172621803e+000  -1.913748011798021e-001   9.512800206297690e-001
 3.100922929936299e+000  -1.169842579390533e+000  -1.929479313038231e-001   9.530947722957308e-001
 3.114563694267509e+000  -1.154450349966886e+000  -1.944488080289379e-001   9.548786925702435e-001
 3.128204458598719e+000  -1.138969120038726e+000  -1.958851107326154e-001   9.567585547707936e-001
 3.141845222929929e+000  -1.122958732360319e+000  -1.972532534691574e-001   9.588571041526840e-001
 3.155485987261139e+000  -1.106387817997599e+000  -1.984994766475458e-001   9.610742546350495e-001
 3.169126751592349e+000  -1.089767569812315e+000  -1.995727189765904e-001   9.630389122975289e-001
 3.182767515923559e+000  -1.073546928248512e+000  -2.004846521133804e-001   9.644343932385117e-001
 3.196408280254769e+000  -1.057682767618667e+000  -2.012898417172052e-001   9.652440414390233e-001
 3.210049044585979e+000  -1.041895271326064e+000  -2.019939473495683e-001   9.655896367161120e-001
 3.223689808917189e+000  -1.026015467883177e+000  -2.025675393861894e-001   9.655280137248725e-001
 3.237330573248399e+000  -1.009991351683520e+000  -2.030029156037284e-001   9.650682035545963e-001
 3.250971337579609e+000  -9.938066601242004e-001  -2.032875287411346e-001   9.642083447543461e-001
 3.264612101910819e+000  -9.774516768300527e-001  -2.034139900346259e-001   9.629363923439314e-001
 3.278252866242029e+000  -9.608885388712388e-001  -2.034282732994147e-001   9.612557714302049e-001
 3.291893630573239e+000  -9.440346866179328e-001  -2.034108554327281e-001   9.591988323718365e-001
 3.305534394904449e+000  -9.268368234899164e-001  -2.034299946325419e-001   9.567828399499246e-001
 3.319175159235659e+000  -9.093721997175066e-001  -2.035463657882025e-001   9.539884419161342e-001
 3.332815923566869e+000  -8.917733790726583e-001  -2.037905337743304e-001   9.508392168652687e-001
 3.346456687898079e+000  -8.740292504925407e-001  -2.040965300412149e-001   9.474892866946975e-001
 3.360097452229289e+000  -8.560073526305765e-001  -2.043344750334015e-001   9.441590155009009e-001
 3.373738216560499e+000  -8.376324287093719e-001  -2.044078599219034e-001   9.410125742213594e-001
 3.387378980891709e+000  -8.189526301549369e-001  -2.042668404110243e-001   9.381490237230140e-001
 3.401019745222919e+000  -8.000605278962115e-001  -2.038646293359867e-001   9.356544396082757e-001
 3.414660509554129e+000  -7.809768416721653e-001  -2.031695452480637e-001   9.336108433629388e-001
 3.428301273885339e+000  -7.616689754743113e-001  -2.022225489152092e-001   9.320713899109215e-001
 3.441942038216549e+000  -7.421538901214271e-001  -2.011145650842739e-001   9.310806512597227e-001
 3.455582802547759e+000  -7.225416737880144e-001  -1.998814977023662e-001   9.307059647803331e-001
 3.469223566878969e+000  -7.029649647010412e-001  -1.984206071552339e-001   9.310581131559721e-001
 3.482864331210179e+000  -6.834775110439919e-001  -1.965672979333504e-001   9.322812923478493e-001
 3.496505095541389e+000  -6.641056604845644e-001  -1.943209302695172e-001   9.344295168350190e-001
 3.510145859872599e+000  -6.449117160152353e-001  -1.918515805331862e-001   9.373392439979660e-001
 3.523786624203809e+000  -6.259821348840917e-001  -1.893206872427012e-001   9.406692485549766e-001
 3.537427388535019e+000  -6.074283740066080e-001  -1.868305625501743e-001   9.440569054319793e-001
 3.551068152866229e+000  -5.893598579793258e-001  -1.844548693287702e-001   9.472420827518717e-001
 3.564708917197438e+000  -5.718063985418449e-001  -1.822416859513768e-001   9.501415998645029e-001
 3.578349681528648e+000  -5.547049057360641e-001  -1.802089372032244e-001   9.528431183317937e-001
 3.591990445859858e+000  -5.380141779347593e-001  -1.783781739497015e-001   9.554267463557500e-001
 3.605631210191068e+000  -5.217897432605888e-001  -1.767838670098742e-001   9.578483684615170e-001
 3.619271974522278e+000  -5.061081679635232e-001  -1.754268022150271e-001   9.600528691990659e-001
 3.632912738853488e+000  -4.909028104548399e-001  -1.741991140800447e-001   9.621249829320506e-001
 3.646553503184698e+000  -4.759835398482761e-001  -1.729416787543870e-001   9.642175808642963e-001
 3.660194267515908e+000  -4.612222871634859e-001  -1.715785948733450e-001   9.663744629635157e-001
 3.673835031847118e+000  -4.466037893977251e-001  -1.700954354497620e-001   9.685117977395167e-001
 3.687475796178328e+000  -4.321480092199805e-001  -1.684991360277365e-001   9.704549747728333e-001
 3.701116560509538e+000  -4.178089712191054e-001  -1.668632684904658e-001   9.720553149422559e-001
 3.714757324840748e+000  -4.035355511973625e-001  -1.653032434913046e-001   9.732634362277477e-001
 3.728398089171958e+000  -3.894498455949493e-001  -1.638869522089528e-001   9.740035739040807e-001
 3.742038853503168e+000  -3.757866020316081e-001  -1.626106846053381e-001   9.741553879795881e-001
 3.755679617834378e+000  -3.624409972824509e-001  -1.614382107867841e-001   9.737778021639382e-001
 3.769320382165588e+000  -3.489725045376373e-001  -1.603800271721404e-001   9.731311264870259e-001
 3.782961146496798e+000  -3.352354165112025e-001  -1.594978905409831e-001   9.723403540416729e-001
 3.796601910828008e+000  -3.213514839312529e-001  -1.588182120437296e-001   9.713947162010360e-001
 3.810242675159218e+000  -3.074695924084754e-001  -1.582552900925967e-001   9.703007271777049e-001
 3.823883439490428e+000  -2.937044748785833e-001  -1.576524135934483e-001   9.690800170664107e-001
 3.837524203821638e+000  -2.800114573242249e-001  -1.569648265378653e-001   9.677456833028703e-001
 3.851164968152848e+000  -2.661540882518488e-001  -1.563263477480678e-001   9.663254028700558e-001
 3.864805732484058e+000  -2.519890659904136e-001  -1.558353508175535e-001   9.648074609903727e-001
 3.878446496815268e+000  -2.375450954647124e-001  -1.554679323192964e-001   9.631347905263052e-001
 3.892087261146478e+000  -2.228447825479472e-001  -1.551898874896081e-001   9.612893432041553e-001
 3.905728025477688e+000  -2.078608684970084e-001  -1.549967763120198e-001   9.593152995943431e-001
 3.919368789808898e+000  -1.925706539586380e-001  -1.548949935117251e-001   9.572783246743896e-001
 3.933009554140108e+000  -1.769652003399025e-001  -1.549049820357945e-001   9.552185912346339e-001
 3.946650318471318e+000  -1.610242594213753e-001  -1.550606013458913e-001   9.531531466335146e-001
 3.960291082802528e+000  -1.447085091157774e-001  -1.553796697646814e-001   9.511102971761748e-001
 3.973931847133738e+000  -1.279511568637229e-001  -1.558836332071282e-001   9.491231878684564e-001
 3.987572611464948e+000  -1.106504227183548e-001  -1.566615378495304e-001   9.472248837309877e-001
 4.001213375796158e+000  -9.272384221515254e-002  -1.578031408291146e-001   9.454718086260022e-001
 4.014854140127368e+000  -7.419262360584003e-002  -1.592610164202041e-001   9.439348003789312e-001
 4.028494904458579e+000  -5.516825652770266e-002  -1.608950522542750e-001   9.426864384932928e-001
 4.042135668789789e+000  -3.579276440425075e-002  -1.626434076971049e-001   9.418087311009159e-001
 4.055776433120999e+000  -1.619050435043324e-002  -1.645929885849370e-001   9.413601577866420e-001
 4.069417197452210e+000   3.530021537257410e-003  -1.668704524143340e-001   9.413248359762170e-001
 4.083057961783420e+000   2.320087027357932e-002  -1.694600713505477e-001   9.415969661065144e-001
 4.096698726114631e+000   4.257638689926808e-002  -1.721774244600957e-001   9.420195672864786e-001
 4.110339490445841e+000   6.142415691041013e-002  -1.748168680294154e-001   9.424943196311310e-001
 4.123980254777051e+000   7.959347754958834e-002  -1.772128146976638e-001   9.430653798197091e-001
 4.137621019108262e+000   9.703718865386560e-002  -1.792463284687419e-001   9.438713867612445e-001
 4.151261783439472e+000   1.137996443765932e-001  -1.809107733118240e-001   9.450427394521598e-001
 4.164902547770683e+000   1.299869529838525e-001  -1.823632870175689e-001   9.466272530608613e-001
 4.178543312101893e+000   1.457373409400878e-001  -1.838819863817749e-001   9.485523134877306e-001
 4.192184076433104e+000   1.611475162027174e-001  -1.856625016089377e-001   9.506185034153639e-001
 4.205824840764314e+000   1.762748540306001e-001  -1.875619772135127e-001   9.525123122123533e-001
 4.219465605095524e+000   1.913107214567993e-001  -1.892141877757233e-001   9.540162375274801e-001
 4.233106369426735e+000   2.065922913103585e-001  -1.905803838291332e-001   9.554181359399057e-001
 4.246747133757945e+000   2.222200632203813e-001  -1.919239353770964e-001   9.571962532317898e-001
 4.260387898089156e+000   2.379565253453981e-001  -1.933239587918286e-001   9.593960907786957e-001
 4.274028662420366e+000   2.534943641750289e-001  -1.946444605786833e-001   9.617449597566024e-001
 4.287669426751577e+000   2.686942442366027e-001  -1.958075530946034e-001   9.639452587269979e-001
 4.301310191082787e+000   2.837345901430782e-001  -1.968949521780570e-001   9.658365824277676e-001
 4.314950955413997e+000   2.989671684249670e-001  -1.979186545357874e-001   9.674745099645795e-001
 4.328591719745208e+000   3.147300436441436e-001  -1.986859344249398e-001   9.690761607240939e-001
 4.342232484076418e+000   3.311030053949146e-001  -1.989926367248412e-001   9.707964746802926e-001
 4.355873248407629e+000   3.477139094671661e-001  -1.988745234690745e-001   9.724640897375871e-001
 4.369514012738839e+000   3.639989569350678e-001  -1.985712048349940e-001   9.735966063757516e-001
 4.383154777070049e+000   3.797418943671903e-001  -1.983241112090748e-001   9.738423979280487e-001
 4.396795541401260e+000   3.951751175630011e-001  -1.982133536522276e-001   9.732478753720051e-001
 4.410436305732470e+000   4.106006502377180e-001  -1.981913697771496e-001   9.720114361758757e-001
 4.424077070063681e+000   4.261912904435284e-001  -1.982284186799849e-001   9.702335768019063e-001
 4.437717834394891e+000   4.420366869649424e-001  -1.983206969272639e-001   9.679502129933864e-001
 4.451358598726102e+000   4.581871140858518e-001  -1.984682314500406e-001   9.652151990460964e-001
 4.464999363057312e+000   4.746446054007014e-001  -1.986925239319838e-001   9.621064270451000e-001
 4.478640127388522e+000   4.913759137309035e-001  -1.989862584004112e-001   9.587443884968118e-001
 4.492280891719733e+000   5.083879429887189e-001  -1.992531985638729e-001   9.553082339102406e-001
 4.505921656050943e+000   5.257162666763847e-001  -1.993500789723227e-001   9.520124376346678e-001
 4.519562420382154e+000   5.432532457155094e-001  -1.992339576708362e-001   9.489933537986990e-001
 4.533203184713364e+000   5.608145991400994e-001  -1.989815759637978e-001   9.462345476811072e-001
 4.546843949044575e+000   5.783556911477873e-001  -1.985989054832629e-001   9.437408650617256e-001
 4.560484713375785e+000   5.959668463885627e-001  -1.979739643950482e-001   9.416526142940771e-001
 4.574125477706995e+000   6.137826754320539e-001  -1.970268576025757e-001   9.401227346696708e-001
 4.587766242038206e+000   6.318860728575069e-001  -1.957699665462706e-001   9.392047442211284e-001
 4.601407006369416e+000   6.502523737845884e-001  -1.942515188573101e-001   9.389015598775649e-001
 4.615047770700627e+000   6.687702462834850e-001  -1.925095797655619e-001   9.392679461150671e-001
 4.628688535031837e+000   6.873333367503358e-001  -1.905531732210954e-001   9.404266341315590e-001
 4.642329299363047e+000   7.059089318519614e-001  -1.884041464206529e-001   9.424547487997704e-001
 4.655970063694258e+000   7.244710258212131e-001  -1.861250138561687e-001   9.452420289946745e-001
 4.669610828025468e+000   7.429195061665692e-001  -1.837661192185950e-001   9.485059252312204e-001
 4.683251592356679e+000   7.610939158537133e-001  -1.813457850484732e-001   9.519169615804427e-001
 4.696892356687889e+000   7.788475466599975e-001  -1.789206518048830e-001   9.552122431049692e-001
 4.710533121019100e+000   7.961100503431300e-001  -1.766336835565133e-001   9.582485875768142e-001
 4.724173885350310e+000   8.128598062038396e-001  -1.746439787440752e-001   9.609667894754835e-001
 4.737814649681520e+000   8.290471709476903e-001  -1.730136151790139e-001   9.633103369804237e-001
 4.751455414012731e+000   8.445582396717226e-001  -1.716659105449054e-001   9.651837859698634e-001
 4.765096178343941e+000   8.592706541199627e-001  -1.704383721363600e-001   9.665049694159356e-001
 4.778736942675152e+000   8.732586501293308e-001  -1.691687383017989e-001   9.673817441128315e-001
 4.792377707006362e+000   8.871104592576343e-001  -1.677767622145033e-001   9.684016705235604e-001
 4.806018471337572e+000   9.021863072506532e-001  -1.663351500803310e-001   9.708748489492877e-001
 4.819659235668783e+000   9.205442083936765e-001  -1.651133959676277e-001   9.767621035826595e-001
 4.833299999999993e+000   9.438944210772255e-001  -1.644771411912331e-001   9.876851639157664e-001
