---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.FileName = "RHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
 3.714757324840748e+000  -7.194015345761989e-001  -3.701855143368233e-001   2.355261968999488e-001
 3.728398089171958e+000  -6.775696040545427e-001  -3.684030028153791e-001   2.204372047724457e-001
 3.742038853503168e+000  -6.341701217197453e-001  -3.667576872736136e-001   2.035285545039153e-001
 3.755679617834378e+000  -5.889245676415774e-001  -3.654222336720251e-001   1.856441887182231e-001
 3.769320382165588e+000  -5.417037226424489e-001  -3.646731452943194e-001   1.674832979618809e-001
 3.782961146496798e+000  -4.926125136303752e-001  -3.647467988641313e-001   1.493899724578640e-001
 3.796601910828008e+000  -4.418815930044702e-001  -3.657913393150730e-001   1.315272948920226e-001
 3.810242675159218e+000  -3.898160147628715e-001  -3.678894244032104e-001   1.141136292361789e-001
 3.823883439490428e+000  -3.367793229376780e-001  -3.710272199408852e-001   9.756077792484262e-002
 3.837524203821638e+000  -2.831984864086594e-001  -3.750117926761915e-001   8.249592772742770e-002
 3.851164968152848e+000  -2.296235071567735e-001  -3.794326130257529e-001   6.954016675841945e-002
 3.864805732484058e+000  -1.767525369694647e-001  -3.837376871614985e-001   5.913126248482262e-002
 3.878446496815268e+000  -1.254052696235197e-001  -3.874112076973673e-001   5.148575882041947e-002
 3.892087261146478e+000  -7.648332359192733e-002  -3.901158692161785e-001   4.659195521770109e-002
 3.905728025477688e+000  -3.091357472123554e-002  -3.917236360738192e-001   4.414271148064252e-002
 3.919368789808898e+000   1.042001546103030e-002  -3.922749224683002e-001   4.348712486256127e-002
 3.933009554140108e+000   4.674335418302415e-002  -3.919130019832764e-001   4.369420533138653e-002
 3.946650318471318e+000   7.744387530176146e-002  -3.908098455660941e-001   4.373990192602188e-002
 3.960291082802528e+000   1.021357143213832e-001  -3.891134754683981e-001   4.280925176389119e-002
 3.973931847133738e+000   1.207656648337564e-001  -3.869649869041656e-001   4.058200772431769e-002
 3.987572611464948e+000   1.337588940917876e-001  -3.845692003966251e-001   3.739389985882977e-002
 4.001213375796158e+000   1.421563616354629e-001  -3.822734544389818e-001   3.421499109432247e-002
 4.014854140127368e+000   1.475775494445833e-001  -3.805345499430307e-001   3.231241029985122e-002
 4.028494904458579e+000   1.517250257608062e-001  -3.797280655176786e-001   3.249214176977246e-002
 4.042135668789789e+000   1.555366223762613e-001  -3.799060366308723e-001   3.444152982530183e-002
 4.055776433120999e+000   1.589620632324498e-001  -3.806923027329080e-001   3.708558412129387e-002
 4.069417197452210e+000   1.616746881441274e-001  -3.815494092885461e-001   3.950837144367617e-002
 4.083057961783420e+000   1.636125017771973e-001  -3.821766564078796e-001   4.132619798129433e-002
 4.096698726114631e+000   1.648783466669023e-001  -3.825531553560307e-001   4.249643377838363e-002
 4.110339490445841e+000   1.656112363661767e-001  -3.827852317822648e-001   4.311945563981980e-002
 4.123980254777051e+000   1.659821865882972e-001  -3.829907754535133e-001   4.338944333922615e-002
 4.137621019108262e+000   1.661514563454880e-001  -3.832274528454659e-001   4.350349259931260e-002
 4.151261783439472e+000   1.662239509412004e-001  -3.834715783021877e-001   4.357745679122694e-002
 4.164902547770683e+000   1.662458975566815e-001  -3.836696113334021e-001   4.365833077730053e-002
 4.178543312101893e+000   1.662447355825827e-001  -3.838011861610690e-001   4.375775470361049e-002
 4.192184076433104e+000   1.662555530602138e-001  -3.838835272987609e-001   4.387567204210433e-002
 4.205824840764314e+000   1.662903968065954e-001  -3.839365810751090e-001   4.401311976273680e-002
 4.219465605095524e+000   1.663265002361294e-001  -3.839576085444455e-001   4.417346525886949e-002
 4.233106369426735e+000   1.663366716906317e-001  -3.839338331935443e-001   4.436410672362860e-002
 4.246747133757945e+000   1.663205798750924e-001  -3.838658423463506e-001   4.459734136056896e-002
 4.260387898089156e+000   1.663275032988738e-001  -3.837688600563733e-001   4.490266816367620e-002
 4.274028662420366e+000   1.664114585466046e-001  -3.836909756825438e-001   4.534004986250403e-002
 4.287669426751577e+000   1.665795395459979e-001  -3.836888563607239e-001   4.595278864773643e-002
 4.301310191082787e+000   1.668001557901655e-001  -3.837112275156916e-001   4.665825929597234e-002
 4.314950955413997e+000   1.669807381171399e-001  -3.835941704174479e-001   4.724263126111989e-002
 4.328591719745208e+000   1.670058720427426e-001  -3.832601283136146e-001   4.758949780602437e-002
 4.342232484076418e+000   1.669222085581873e-001  -3.827618996721364e-001   4.778529694301721e-002
 4.355873248407629e+000   1.668839843766030e-001  -3.821263918669510e-001   4.791533090913638e-002
 4.369514012738839e+000   1.669530300766655e-001  -3.813842699384450e-001   4.806457117569531e-002
 4.383154777070049e+000   1.670668475012855e-001  -3.806192787061876e-001   4.840485078076893e-002
 4.396795541401260e+000   1.671409040023691e-001  -3.798957419954772e-001   4.906711460146188e-002
 4.410436305732470e+000   1.671789331825118e-001  -3.792075328620079e-001   4.998002247924228e-002
 4.424077070063681e+000   1.672215094793627e-001  -3.785270720282555e-001   5.099151024047080e-002
 4.437717834394891e+000   1.672834227952208e-001  -3.778579623055641e-001   5.204859526618824e-002
 4.451358598726102e+000   1.673781346845127e-001  -3.772255106456787e-001   5.319314795883089e-002
 4.464999363057312e+000   1.675265426563653e-001  -3.766464577053850e-001   5.449457678288955e-002
