---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.FileName = "RKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
 3.605631210191068e+000  -6.423080474996215e-001  -5.036047225406709e-001   4.596071223538906e-001
 3.619271974522278e+000  -6.074206914837896e-001  -5.034497488158095e-001   4.613356791305096e-001
 3.632912738853488e+000  -5.733949434684019e-001  -5.030143974326364e-001   4.643671396920786e-001
 3.646553503184698e+000  -5.402856231954450e-001  -5.022749990249894e-001   4.682829032485768e-001
 3.660194267515908e+000  -5.077880861337767e-001  -5.013454339744888e-001   4.727067828975536e-001
 3.673835031847118e+000  -4.755755203245580e-001  -5.003308722555466e-001   4.773800250147225e-001
 3.687475796178328e+000  -4.436449373654684e-001  -4.992558667918688e-001   4.821802582356645e-001
 3.701116560509538e+000  -4.122731761873659e-001  -4.980770226215415e-001   4.870583993265970e-001
 3.714757324840748e+000  -3.817536931708331e-001  -4.967376342333440e-001   4.919794133546484e-001
 3.728398089171958e+000  -3.523146608196011e-001  -4.952767168127851e-001   4.969324043854089e-001
 3.742038853503168e+000  -3.240811208725526e-001  -4.938352620569197e-001   5.018655918522346e-001
 3.755679617834378e+000  -2.970868660643006e-001  -4.925626492428274e-001   5.066011507715328e-001
 3.769320382165588e+000  -2.713681066283825e-001  -4.915514750874183e-001   5.108375608351214e-001
 3.782961146496798e+000  -2.470365433953636e-001  -4.908275901551855e-001   5.142291459042033e-001
 3.796601910828008e+000  -2.242241227066509e-001  -4.903394210423129e-001   5.165020053336890e-001
 3.810242675159218e+000  -2.029755954680677e-001  -4.899720525670988e-001   5.175442024301152e-001
 3.823883439490428e+000  -1.832485593729742e-001  -4.896031784043640e-001   5.173718407354804e-001
 3.837524203821638e+000  -1.649679272594863e-001  -4.891450402752866e-001   5.160339842890216e-001
 3.851164968152848e+000  -1.480132739618075e-001  -4.885506470427918e-001   5.135479412467051e-001
 3.864805732484058e+000  -1.322036468695473e-001  -4.878603931472130e-001   5.099552714302436e-001
 3.878446496815268e+000  -1.173050995967380e-001  -4.872182458097112e-001   5.054398327177498e-001
 3.892087261146478e+000  -1.030414238068184e-001  -4.867869813273743e-001   5.003595715509253e-001
 3.905728025477688e+000  -8.913060529349862e-002  -4.866522062927868e-001   4.951861273099146e-001
 3.919368789808898e+000  -7.529504358463231e-002  -4.867837226596429e-001   4.903580939458863e-001
 3.933009554140108e+000  -6.120055742320205e-002  -4.870486464664912e-001   4.861129005067922e-001
 3.946650318471318e+000  -4.641190936408876e-002  -4.872491967606211e-001   4.824729228321027e-001
 3.960291082802528e+000  -3.045002615320692e-002  -4.871987253470662e-001   4.793954880978387e-001
 3.973931847133738e+000  -1.290986002265491e-002  -4.867981348914964e-001   4.768932813000215e-001
 3.987572611464948e+000   6.350370281671635e-003  -4.860546763417490e-001   4.749884969655225e-001
 4.001213375796158e+000   2.699242450761310e-002  -4.850837662169406e-001   4.736003272617508e-001
 4.014854140127368e+000   4.819071273370328e-002  -4.841336694580529e-001   4.726244414238766e-001
 4.028494904458579e+000   6.895682096840451e-002  -4.835461722413195e-001   4.721587114690229e-001
 4.042135668789789e+000   8.872846184644839e-002  -4.836050476565706e-001   4.725588419868446e-001
 4.055776433120999e+000   1.078844280809179e-001  -4.843465849591991e-001   4.741512333173665e-001
 4.069417197452210e+000   1.275036005076807e-001  -4.855067844033325e-001   4.768139724988947e-001
 4.083057961783420e+000   1.480652920727844e-001  -4.867604512856958e-001   4.798971151086414e-001
 4.096698726114631e+000   1.683618018039697e-001  -4.880152312243064e-001   4.825710859780810e-001
 4.110339490445841e+000   1.861656343050429e-001  -4.894546557246964e-001   4.842663393195424e-001
 4.123980254777051e+000   2.001590503777481e-001  -4.912397156108130e-001   4.848742428485042e-001
 4.137621019108262e+000   2.109751443808678e-001  -4.931907799041742e-001   4.846691288677683e-001
 4.151261783439472e+000   2.203544992798881e-001  -4.949532971027001e-001   4.840961321915168e-001
 4.164902547770683e+000   2.296604636398506e-001  -4.963413740124140e-001   4.835414605038036e-001
